L1 pattern,L2 sub-pattern,Example 1,Example 2,Example 3,Example 4,AIDP fit,AIDP — when it's an option,NVIDIA blueprint fit,NVIDIA blueprint,Oracle AI services fit,Oracle AI service,Applies to NATO,Proof (FreeTech # / pipeline client),Menu #,Highlight view,Karsten topic,Buyer,Public-sector reuse (EMEA Public),Distributed-cloud rung,GPU / model fit,L1 archetype (report §3.1)
Per-item processing pipelines,Batch media processing (VSS-lite),ISR analyst — drone / FMV archives turned into searchable scenes and events; returns clip plus summary,Base security — a month of perimeter CCTV searched for a described incident,"Maintenance inspector — defects on airframes, hulls or vehicles detected and classified from inspection video or photos",Safety officer — vehicle–pedestrian near-misses flagged from depot camera streams,○,Downstream analytics over clip/defect metadata only,●,VSS (Video Search & Summarization pack),◐,"Vision (stored-video, defect detection)",✅,FreeTech #06 · pipeline: Channel 4 · Belron,#1,first-wave,"1, 2",forces · agency · miltech,"✅ police CCTV, transport, border agencies",Dedicated Region (archive) · CC@C Isolated · Roving Edge (live ingest),VSS on H100/H200 or L40S; edge Nano Omni on L4,3 Perception
Per-item processing pipelines,Net-new content generation,Training developer — lesson modules and quizzes drafted from doctrine and SOPs for instructor sign-off,Exercise planner — scenario injects and storylines drafted against exercise objectives (the JWC 'AI in Audacious Training' analogue),Public-affairs officer — releases drafted against approved lines-to-take with a review gate,,○,Generation driven by structured catalog data,○,—,◐,OCI GenAI (+Ent AI for review gates),✅,—,#18,menu,5,NATO bodies (JWC / ACT) · forces,◐ training / communications departments,any rung,Lightning on L40S,1 Knowledge & document
Task & transaction agents,"Employee service fulfillment (IT, HR)","IT service desk — access requests, resets and provisioning executed end-to-end with policy approvals","HR operations — leave, letters and data changes handled in chat and written to the HR system (Fusion HCM at NCIA)","Facilities — accommodation, room and equipment requests executed from one conversational front door",,○,—,○,—,●,Fusion embedded agents / Digital Assistant (HCM skills),◐,—,#17 (write-back leg),—,5,agency (NCIA Fusion estate) · MoD,✅ any ministry HR / IT service desk,Dedicated Region (Fusion),Fusion agents; Lightning on L40S,1 Knowledge & document (#17 leg)
Task & transaction agents,Customer transaction agent,"Unit supply clerk — requisitions raised, validated against entitlement and stock, and submitted with an audit trail",Traveller — duty-travel bookings and changes executed within policy; exceptions escalated to a human,,,○,—,◐,Tokkio voice (front door),●,"Ent AI (identity checks, confirmation-gated actions)",◐,—,—,—,—,forces,"◐ citizen transactions (permits, payments)",Dedicated Region,Lightning on L40S,— (not on the map)
Task & transaction agents,Back-office exception worker (queues),Supply-chain ops — stuck requisitions and unmatched deliveries diagnosed across systems and repaired or routed with notes,"Finance ops — unmatched payments and reconciliation breaks worked from the queue: investigate, fix or escalate",,,◐,Exception detection via lakehouse reconciliation; remediation via agent tools,○,—,●,Ent AI,◐,—,bench (#5 / #6 variant),—,2,agency · forces,✅ finance shared services,Dedicated Region,Lightning on L40S,4 Planning & optimisation (variant)
Task & transaction agents,Long-running stateful orchestrator,"Deployment readiness — pre-deployment checks (medical, training currency, clearances, kit) tracked to completion across teams","Procurement agency — supplier onboarding coordinated over weeks: documents, security checks, system setup","People/IT ops — a new joiner's accounts, equipment, training and sign-offs tracked over weeks",,○,—,○,—,◐,OIC Process Automation + Ent AI,◐,—,bench (#5 variant),—,5,forces · agency,◐ onboarding / licensing workflows,Dedicated Region,OIC Process Automation + Lightning,4 Planning & optimisation (variant)
Closed-loop ops agents,ITOps / AIOps incident RCA,Network operations — mission-network incidents correlated and root-caused; remediation executed within guardrails,Platform team — recurring incident patterns detected across services with prevention recommendations,,,◐,Recurring-pattern mining over telemetry already centralized in the lakehouse,○,—,◐,Ent AI (DevOps incident response),✅,—,#15,menu,2,NCIA (ESOC) · agency · forces,✅ government network operators,Dedicated Region · CC@C Isolated,Lightning / Super on L40S–H100,2 Research & investigation
Closed-loop ops agents,SecOps investigation (CVE analysis),"Security analyst — new CVE triaged against the asset inventory; exposure, exploitability and patch plan drafted",SOC — alerts enriched and investigated to a verdict; containment steps proposed for approval,"Vulnerability manager — patch prioritisation per mission service, refreshed as threat intel changes",,○,Asset/exposure joins as a data mart only,●,"Vulnerability Analysis blueprint (container CVE, AI-Q-based)",◐,Ent AI + OCI security services,✅,—,#11,menu,2,NCIA (NCSC) · MoD · miltech,"✅ national CERTs, agency SOCs",any rung; Dedicated Region · CC@C Isolated,AI-Q + Nemotron on L40S–H100 (NVIDIA ref: CrowdStrike),2 Research & investigation
Closed-loop ops agents,Business-process watchdog (exceptions),"Readiness cell — fleet availability, maintenance-due and spares-short signals watched; draft mitigations triggered",Movement control — shipments and convoys monitored; late or short signals trigger re-planning proposals,Pay and allowances control — anomalies caught before the run executes and held for review,,●,Native: anomaly detection + scheduled workflows over process data in the lakehouse; fixes hand off to agents,○,—,◐,Ent AI (executes the suggested fixes),✅,FreeTech #04,#5,first-wave,"2, 3",forces · agency,"✅ payroll, procurement control",Dedicated Region (Lakehouse),"Lakehouse first, GPU optional",4 Planning & optimisation
EXT — Sensor & signal perception,EO/IR/FMV object & change detection,ISR analyst — objects and changes detected in satellite and drone imagery; candidates queued for review with confidence,Geospatial cell — change detection over an area of interest between passes; deltas summarised,,,○,—,●,Metropolis / TAO detection models; VSS for the archive,◐,Vision (custom models),✅,FreeTech #06 (drone imagery); satellite: — (UK DAIC analogue),#14 · #1 (FMV),menu,1,NCIA (APSS) · forces · agency,"◐ environment, agriculture, disaster agencies",Dedicated Region (training) · Roving Edge (inference),TAO / Metropolis on H100 → L4,3 Perception
EXT — Sensor & signal perception,RF signal clustering,EW operator — RF captures clustered into emitters and patterns; novel signals flagged for labelling,Spectrum manager — interference and congestion patterns visualised across bands and time,,,○,—,◐,RAPIDS / cuML on OCI GPU (no blueprint),○,—,✅,FreeTech #03,#8,menu,1,forces · miltech (EW/SDR vendors),"◐ spectrum regulators, critical infrastructure",CC@C Isolated / Isolated Region (captures); Dedicated Region (training),RAPIDS / cuML on L40S–H100,3 Perception
EXT — Sensor & signal perception,"Edge vision (perimeter, platform)",Base security — camera streams monitored at the edge for intrusions; alerts with clips and a summary,"Vehicle / vessel crew — on-platform inspection or hazard detection running offline, models updated over the air",,,○,—,●,DeepStream / Metropolis at the edge; VSS live monitoring in the tenancy,◐,Roving Edge RED v2 (3× L4) as the OCI edge runtime,✅,FreeTech #06,#13,menu,"1, 4 (sensing)",forces · miltech,✅ critical-infrastructure security,Roving Edge · CC@C Isolated,DeepStream / Metropolis on L4; VSS live on L40S,3 Perception
EXT — Autonomy & robotics (non-kinetic),Perception & GNSS-denied navigation models,Drone maker (miltech) — perception and navigation models trained and evaluated on synthetic + field data; packaged for the edge target,Test & evaluation lead — models regression-tested across generated scenarios before flight,,,○,—,●,Isaac Sim 6.0 / Cosmos 3 / Cosmos Reason 2 (synthetic data + sim); TAO,◐,OCI GPU shapes (H100–GB200) + OKE; OCI AI Blueprints for training,✅ (miltech),FreeTech #01,#9,menu,"4 (non-kinetic), 1",miltech · innovation units,—,Dedicated Region (Isaac Sim / Cosmos need H100+),H100 / H200 / B200,5 Simulation & autonomy
EXT — Autonomy & robotics (non-kinetic),Counter-UAS detection (sensing only),Air-defence sensor operator — small-UAS detections fused from RF and EO; tracks handed to the human decision,,,,○,—,◐,Metropolis + RF pipeline (custom),○,—,◐,FreeTech #03 · #06 (adjacent),bench (#13 + #8 variant),—,4,forces,"◐ airports, critical infrastructure",Roving Edge · CC@C Isolated,Metropolis on L4 / L40S,3 Perception (variant)
"EXT — Simulation, digital twins & physics-AI",Physics surrogates / digital twins,Naval engineer — hydrodynamic surrogate replaces hours of CFD per design iteration; scenarios visualised in Omniverse,Infrastructure planner — structural or blast surrogates for base and depot hardening options,,,○,—,●,PhysicsNeMo + Omniverse (the OMV pattern),◐,OCI GPU + model-as-API,✅ (miltech),FreeTech #05 · pipeline: OMV,#10,menu,5,miltech · R&D labs,"◐ infrastructure, energy agencies",Dedicated Region,PhysicsNeMo on H100+,5 Simulation & autonomy
"EXT — Simulation, digital twins & physics-AI",Exercise / after-action analytics,Exercise control — exercise logs and simulator outputs analysed against objectives; findings drafted for the AAR,,,,◐,Exercise telemetry landed in the lakehouse; findings via agents,◐,AI-Q over exercise records,◐,Ent AI + Select AI,◐,—,#18 phase 2,—,5,forces · NATO training bodies,◐ emergency-management exercises,Dedicated Region,Lakehouse + Lightning,1 Knowledge & document (#18 phase 2)
"EXT — Simulation, digital twins & physics-AI",Visual training simulators,Pilot / crew training — game-engine scenarios with AI-driven adversaries and instructors,,,,○,—,◐,Omniverse judged too slow by the team; game engine instead,○,—,✖ (not now),—,bench (#10 family),—,5,forces,◐ emergency-services training,Dedicated Region (workstation-class GPUs),L40S,5 Simulation & autonomy (parked)
EXT — Optimisation & planning (cuOpt family),Routing / convoys / resupply,"Movement controller — convoy and resupply routes planned with time windows, capacities and avoid-zones; dispatcher approves or rejects",Last-mile resupply planner — deliveries sequenced against priority and risk (the UK DAIC 'Last-Mile Resupply' case),,,○,—,●,cuOpt — Vehicle Route Optimizer pack,◐,OCI GPU + map/distance provider,✅,pipeline: Sky (proposal) · Bosch,#6,menu,"2, 3",forces · agency · miltech (fleet/MRO),"✅ municipal fleets, emergency services, waste / transport",any GPU rung,cuOpt on L40S,4 Planning & optimisation
EXT — Optimisation & planning (cuOpt family),Crew & maintenance scheduling,"Maintenance squadron — crew and bay schedules optimised against skills, hours and priorities; planner reviews on a map/board",,,,○,—,●,cuOpt — workforce scheduling (the Bosch WfO base),◐,OFS adjacency (Fusion Field Service),✅,pipeline: Bosch (delivered),#6 (scheduling skin),menu,3,forces · MRO providers,"✅ public transport, utilities field service",any GPU rung,cuOpt on L40S,4 Planning & optimisation
EXT — Optimisation & planning (cuOpt family),Depot / warehouse pick-path,Depot manager — pick and wave planning for issue and receipt across an ammunition or spares depot,,,,○,—,●,cuOpt — Warehouse Pick Path Optimizer pack,○,—,◐,—,bench (#6 variant),—,2,agency (NSPA-type) · forces,"◐ public logistics, health supply depots",any GPU rung,cuOpt on L40S,4 Planning & optimisation (variant)
EXT — Optimisation & planning (cuOpt family),Network / supply allocation,Sustainment planner — spares and fuel allocated across depots under disruption; plan compared with the manual baseline,,,,○,—,●,cuOpt engine (the 'talk to your supply chain' demo),◐,Select AI for the NL layer,◐,—,bench (#6 variant),—,3,forces · agency,◐ health / emergency supply chains,any GPU rung,cuOpt on L40S,4 Planning & optimisation (variant)
