Code,Canonical_pattern,Num_repos,Definition,Exemplars,Repos
SA-11,Dependency-wave fleet,6,Checker-gated parallel workers advancing across dependency waves.,eyaltoledano-adjacent — here automazeio/ccpm: 'Can Start: immediately' flags gate which streams launch now vs queue  •  gsd-build/get-shit-done: checker-gated waves across dependency tiers  •  AgriciDaniel/claude-seo: gated waves of specialist auditors,"automazeio/ccpm, anombyte93/prd-taskmaster, garrytan/gbrain, gsd-build/get-shit-done, rohitg00/awesome-claude-code-toolkit, AgriciDaniel/claude-seo"
SA-12,Swarm / hive-mind,2,"Queen + workers, shared memory, topologies.",ruvnet/claude-flow: Queen issues swarm/shared/royal-directives; workers coordinate via a blackboard memory namespace and carry trust scores  •  cdeust/ai-prd-generator-plugin: multi-agent swarm with shared memory for the debate rung,"cdeust/ai-prd-generator-plugin, ruvnet/claude-flow (rebranded ""ruflo"")"
SA-13,Context-handoff / memory transfer to fresh agents,11,A handoff doc passes working knowledge to a new agent instance.,sdi2200262/agentic-project-management: handoff.md channel transfers continuity to a respawned agent  •  coleam00/second-brain-starter: CLAUDE_INVOKED_BY env flag guards self-spawning agents against flush→flush recursion  •  alirezarezvani/claude-skills: redaction-linted handoff doc passed to the next session,"itseffi/personal-os, msitarzewski/agency-agents, bmad-code-org/BMAD-METHOD, eyaltoledano/claude-task-master, sdi2200262/agentic-project-management, garrytan/gbrain, gsd-build/get-shit-done, ruvnet/claude-flow (rebranded ""ruflo""), coleam00/second-brain-starter, smixs/agent-second-brain, alirezarezvani/claude-skills"
SA-14,Framework-defined agents,3,crewAI / LangGraph-style tasks.yaml role+task config.,nanagajui/agentic_prd: crewAI tasks.yaml whose every expected_output is written FOR a downstream coding agent  •  huytieu/COG-second-brain: framework-config role+task definitions  •  gsd-build/get-shit-done: tasks.yaml-style agent config,"nanagajui/agentic_prd, huytieu/COG-second-brain, gsd-build/get-shit-done"
SA-15,Sequential specialized pipeline,14,A fixed ordered chain (interrogator → researcher → writer → …).,bmad-code-org/BMAD-METHOD: numbered phase folders enforce a fixed analysis→plan→solution→implement chain  •  slgoodrich/agents: 6-stage product journey runs specialists in fixed order  •  jinjin1/Cursor-for-Product-Managers: OST-stage skills run in folder order,"product-on-purpose/pm-skills, itseffi/personal-os, slgoodrich/agents, jinjin1/Cursor-for-Product-Managers, msitarzewski/agency-agents, nanagajui/agentic_prd, bmad-code-org/BMAD-METHOD, rodrigorjsf/prd-generator-plugin, garrytan/gstack, gsd-build/get-shit-done, smixs/agent-second-brain, modimihir07/agentic-os, iusztinpaul/ai-research-os-workshop, rohitg00/awesome-claude-code-toolkit"
SA-16,Model-tiering per agent,15,"Fast/cheap model for triage, frontier model for reasoning.",anthropics/claude-plugins-official: cheap Haiku judge per issue filters an expensive Sonnet-panel's output  •  garrytan/gbrain: cost-mode bundles tie retrieval tier to downstream model (Haiku vs Opus)  •  cdeust/ai-prd-generator-plugin: escalation ladder reserves the frontier model for CRITICAL claims only,"slgoodrich/agents, anombyte93/prd-taskmaster, eyaltoledano/claude-task-master, rodrigorjsf/prd-generator-plugin, cdeust/ai-prd-generator-plugin, huytieu/COG-second-brain, garrytan/gbrain, garrytan/gstack, coleam00/second-brain-starter, smixs/agent-second-brain, modimihir07/agentic-os, VoltAgent/awesome-claude-code-subagents, wshobson/agents, AgriciDaniel/claude-seo, anthropics/claude-plugins-official"
SA-17,Tool-scoped agents,18,Least-privilege tool allowlist per agent.,VoltAgent/awesome-claude-code-subagents: per-agent tool allowlist across the catalog  •  automazeio/ccpm: file-scoped agents restricted to their stream's file list  •  garrytan/gstack: least-privilege tool scoping per skill agent,"product-on-purpose/pm-skills, slgoodrich/agents, contains-studio/agents, automazeio/ccpm, anombyte93/prd-taskmaster, eyaltoledano/claude-task-master, rodrigorjsf/prd-generator-plugin, huytieu/COG-second-brain, garrytan/gbrain, garrytan/gstack, gsd-build/get-shit-done, iusztinpaul/ai-research-os-workshop, alirezarezvani/claude-skills, VoltAgent/awesome-claude-code-subagents, wshobson/agents, rohitg00/awesome-claude-code-toolkit, AgriciDaniel/claude-seo, anthropics/claude-plugins-official"
SA-18,Persona-council deliberation,2,Multiple personas deliberate with a turn / PASS-DONE loop.,"eugeniughelbur/obsidian-second-brain: /obsidian-panel runs each advisor to an independent verdict, FORBIDS convergence, and surfaces the split as the deliverable  •  bmad-code-org/BMAD-METHOD: persona council with a turn/PASS loop","bmad-code-org/BMAD-METHOD, eugeniughelbur/obsidian-second-brain"
SA-19,Disagreement-preserving synthesis,2,"A final pass over independent parallel outputs deliberately reports BOTH points of convergence (high-confidence signal) AND unresolved tensions, refusing to manufacture consensus — preserved disagreement is the deliverable, escalated to a human.","msitarzewski/agency-agents: synthesis separates independent-convergence conclusions from genuine domain-expertise disagreements (pricing $29 vs $99, Rust-or-not) left for human judgment  •  eugeniughelbur/obsidian-second-brain: /obsidian-panel synthesis names where advisors agree/split and recommends WITHOUT resolving — 'the split is the most useful output'","msitarzewski/agency-agents, eugeniughelbur/obsidian-second-brain"
SA-20,Signal-gated conditional roster,2,"A gate selects WHICH specialist personas join a run based on detected signals (business type, MCP/credential availability, prior-state existence) — a per-run roster composition decision rather than wave scheduling or unconditional fan-out; the same workflow also degrades to sequential single-context when the host harness lacks subagent spawning.","AgriciDaniel/claude-seo: seo-audit detects industry from rendered HTML and includes local/maps/ecommerce/backlinks specialists only when their signal (industry class, DataForSEO MCP, valid creds, existing baseline) is satisfied; delegation degrades to inline-sequential on harnesses without subagents  •  huytieu/COG-second-brain: one agent_mode field gives uniform solo/team graceful degradation across all skills","AgriciDaniel/claude-seo, huytieu/COG-second-brain"
SA-21,Trust-scored agent reputation,1,"Continuous quantitative trust/reputation scoring per agent, used to gate or weight its contribution in coordination and consensus.","ruvnet/claude-flow: behavioral trust = 0.4×success + 0.2×uptime + 0.2×threat + 0.2×integrity, maintained per agent in a trust graph and used to weight consensus and peer reputation","ruvnet/claude-flow (rebranded ""ruflo"")"
