Repo,Scope,Pattern_raw_name,Canonical_codes,How_implemented,Notable,Source_links
coleam00/second-brain-starter,pattern-donor,Memory Flush sub-agent (memory_flush.py via Agent SDK),"SA-07, SA-13","A background Claude Agent SDK process spawned by the PreCompact/SessionEnd hooks, run with allowed_tools=[] (zero-tool, least-privilege) — its only job is to read the dumped conversation temp file and reason about what to persist, appending a distilled summary to the daily log. Pure reasoning agent acting as a context-handoff/memory-transfer worker from the dying session.",★,https://raw.githubusercontent.com/coleam00/second-brain-starter/main/.claude/skills/create-second-brain-prd/references/architecture-reference.md
coleam00/second-brain-starter,pattern-donor,Heartbeat reasoning agent + pre-flight guardrail agent,"SA-07, SA-16",The heartbeat's Claude phase is a scheduled Agent SDK invocation that reasons over Python-preloaded integration data and decides what merits a notification. The PRD's Phase 6/8 add a 'pre-flight guardrail agent' that vets proposed actions before execution. These are prescribed by the PRD/blueprint rather than shipped as standalone .md agent definitions in this repo.,,https://raw.githubusercontent.com/coleam00/second-brain-starter/main/.claude/skills/create-second-brain-prd/references/architecture-reference.md | https://raw.githubusercontent.com/coleam00/second-brain-starter/main/.claude/skills/create-second-brain-prd/SKILL.md
eugeniughelbur/obsidian-second-brain,pattern-donor,Parallel domain subagents in /obsidian-save and /obsidian-ingest,"SA-05, SA-02","Workflow commands fan out specialized parallel subagents by domain — save spawns people/projects/tasks/decisions/ideas/content agents that each search-then-write their slice; ingest spawns entities/concepts/projects/contradictions agents that each rewrite their page class concurrently. The main command acts as dispatcher/aggregator, then reports a consolidated 'what was saved + where' list (compact summary returns, not raw agent output).",★,https://raw.githubusercontent.com/eugeniughelbur/obsidian-second-brain/main/commands/obsidian-save.md | https://raw.githubusercontent.com/eugeniughelbur/obsidian-second-brain/main/commands/obsidian-ingest.md
eugeniughelbur/obsidian-second-brain,pattern-donor,Four parallel contradiction/synthesis subagents (reconcile & synthesize),"SA-05, SA-07",/obsidian-reconcile fans out claims/entity/decisions/source-freshness agents; /obsidian-synthesize fans out cross-source/entity-convergence/concept-evolution/orphan-rescue agents. Each works a different contradiction or pattern dimension concurrently; results merge into rewrites + synthesis pages with logged counts. The source-freshness/contradiction agents act as adversarial verifiers against the existing vault state.,★,https://raw.githubusercontent.com/eugeniughelbur/obsidian-second-brain/main/commands/obsidian-reconcile.md | https://raw.githubusercontent.com/eugeniughelbur/obsidian-second-brain/main/commands/obsidian-synthesize.md
eugeniughelbur/obsidian-second-brain,pattern-donor,/obsidian-panel persona council (advisor lenses),"SA-18, SA-01, SA-06","Decision deliberation across personas — custom advisor notes from an Advisors/ folder (each persona note used as a distinct lens) or a generic fallback panel (skeptic, user/customer, operator, long-game). Step 3 each persona gives an INDEPENDENT verdict (position, strongest reasoning, conditions to change) with explicit 'keep them genuinely distinct - do not let them converge prematurely'; Step 4 synthesis surfaces the split rather than forcing consensus ('the split is the most useful output'). Single-agent role-play, not separate spawned processes.",★,https://raw.githubusercontent.com/eugeniughelbur/obsidian-second-brain/main/commands/obsidian-panel.md
eugeniughelbur/obsidian-second-brain,pattern-donor,Scheduled background agents (morning/nightly/weekly/health),"SA-02, SA-03","Background agents run via obsidian-bg-agent.sh + obsidian-bg-agent.hook.yaml on a schedule: Morning 8AM (daily note + overdue tasks), Nightly 10PM (close day, reconcile contradictions, synthesize patterns, heal orphans), Weekly Fri 6PM (weekly review), Health Sun 9PM (vault audit). 'Maintain the vault while you sleep' — each fires the corresponding command pipeline unattended.",★,https://github.com/eugeniughelbur/obsidian-second-brain/tree/main/hooks | https://raw.githubusercontent.com/eugeniughelbur/obsidian-second-brain/main/README.md
garrytan/gbrain,pattern-donor,Minions — Postgres-native durable subagent queue (one queue for shell + LLM jobs),"SA-09, SA-13, SA-16, SA-17","skills/minion-orchestrator/SKILL.md exposes a single durable/observable/steerable queue backed by Postgres: jobs survive gateway restart, every job carries structured progress (step/total, last tool), token accounting (input/output/cache_read rolling up child->parent), and a full session transcript. Lifecycle ops (pause/resume/cancel/replay, replay with data_overrides) are MCP-callable; mid-flight STEERING via send_job_message injects a directive read on each agent iteration. Two lanes: deterministic shell jobs (CLI-only, gated by GBRAIN_ALLOW_SHELL_JOBS=1) and LLM subagent jobs (gbrain agent run, --tools restricted to a BRAIN_TOOL_ALLOWLIST, --model/--max-turns/--timeout-ms per job). PROTECTED_JOB_NAMES blocks MCP submission of shell/subagent jobs (agent observes, operator submits).",★,https://raw.githubusercontent.com/garrytan/gbrain/master/skills/minion-orchestrator/SKILL.md
garrytan/gbrain,pattern-donor,Fan-out manifest: N child subagents + 1 aggregator that claims after all children terminate,"SA-05, SA-03, SA-11","`gbrain agent run --fanout-manifest companies.json` submits a manifest describing N children (each handler name='subagent') + 1 aggregator (name='subagent_aggregator') that only claims AFTER every child terminates. Parent-child DAGs with configurable failure policies; child tokens roll up to parent on completion. The dream cycle uses the same pattern: one Sonnet subagent fanned out per worth-processing transcript, orchestrator collects new slugs from subagent_tool_executions (not pages.updated_at) to avoid picking up unrelated writes.",★,https://raw.githubusercontent.com/garrytan/gbrain/master/skills/minion-orchestrator/SKILL.md | https://raw.githubusercontent.com/garrytan/gbrain/master/skills/maintain/SKILL.md
garrytan/gbrain,pattern-donor,"Pain-triggered routing: native subagent first, durable Minion on specific pain signals",SA-02,"skills/conventions/subagent-routing.md reads ~/.gbrain/preferences.json minion_mode (always | pain_triggered[default] | off) before every spawn. In pain_triggered mode the agent defaults to zero-setup native subagents and only OFFERS the durable-Minion switch when a concrete pain signal fires: gateway restart mid-task, state-drop ('why did you forget'), parallel >3, runtime >5min, or explicit user frustration. An inline vs background decision table (single tool <30s / read-only / user-waiting -> inline; multi-step / parallel 2+ / survive-restart / wants-progress -> Minion). Concurrency budget: stagger when active jobs >5.",★,https://raw.githubusercontent.com/garrytan/gbrain/master/skills/conventions/subagent-routing.md
garrytan/gbrain,pattern-donor,Context-firewall convention propagated through any subagent depth,"SA-13, SA-17","brain-first.md notes sub-agents inherit gbrain tools but not the knowledge of when to use them, and mandates that when an agent spawns further sub-agents it MUST inject 'Read skills/conventions/brain-first.md before starting work' into the child's task prompt — so the convention propagates through any depth of chain. Subagent jobs run with a least-privilege --tools allow-list (rejected at submit if outside BRAIN_TOOL_ALLOWLIST); the dream synthesizer additionally runs under an allowed_slug_prefixes write allow-list.",,https://raw.githubusercontent.com/garrytan/gbrain/master/skills/conventions/brain-first.md | https://raw.githubusercontent.com/garrytan/gbrain/master/skills/maintain/SKILL.md
garrytan/gstack,pattern-donor,Role-as-skill virtual software team (23+ slash commands = CEO/eng-mgr/designer/QA/security/release-eng personas),"SA-01, SA-15","The whole product is a roster of named-role slash commands forming a virtual team along a fixed sprint: /office-hours (founder/PM brainstorm), /plan-ceo-review (CEO scope), /plan-eng-review (architect), /plan-design-review (designer), /plan-devex-review (DX), /review (staff engineer audit), /qa (QA), /cso (security/OWASP+STRIDE), /ship & /land-and-deploy (release engineer), /investigate (debugger), /learn (knowledge manager). Each role is a skill, not a separate agent process — the persona is encoded in the SKILL.md body + tier preamble (voice directive). The roles chain Think->Plan->Build->Review->Test->Ship->Reflect.",★,https://raw.githubusercontent.com/garrytan/gstack/main/README.md | https://github.com/garrytan/gstack/blob/main/CLAUDE.md
garrytan/gstack,pattern-donor,review-army — parallel fan-out specialist reviewers with consensus dedup,"SA-05, SA-06, SA-09, SA-17","scripts/resolvers/review-army.ts conditionally selects up to 7 specialist reviewers (Testing+Maintainability always-on for >50-line diffs; Security[auth/backend], Performance, Data-Migration, API-Contract, Design conditional on detected scope) plus a Red-Team reviewer (if diff>200 lines or any CRITICAL exists). Explicit instruction: 'Launch ALL selected specialists in a single message (multiple Agent tool calls) so they run in parallel', each with FRESH context (no prior-review bias). Findings deduped by {path}:{line}:{category} fingerprint; multi-specialist agreement bumps confidence +1 (cap 10) and tags 'MULTI-SPECIALIST CONFIRMED'; confidence 1-4 suppressed.",★,https://raw.githubusercontent.com/garrytan/gstack/main/scripts/resolvers/review-army.ts
garrytan/gstack,pattern-donor,Dual-voice cross-model review (Claude subagent + Codex) with consensus table,"SA-07, SA-08, SA-16","Within /autoplan each review phase runs TWO independent voices sequentially in foreground: a Claude subagent via the Agent tool that reads the plan with NO prior context (fresh-context verifier, avoids confirmation bias), and Codex (OpenAI, Bash exec, 10-min timeout) which receives prior-phase consensus summaries for cross-phase awareness. Outputs build a consensus table (CONFIRMED=both agree, DISAGREE=taste decision surfaced at the gate). /codex and /review (Claude) overlap-detection is the same idea at top level — consensus recommendations when both models agree.",★,https://raw.githubusercontent.com/garrytan/gstack/main/autoplan/SKILL.md | https://raw.githubusercontent.com/garrytan/gstack/main/README.md
garrytan/gstack,pattern-donor,"Independent spec-review subagent (quality-gate loop, max 3 iterations)","SA-07, SA-06","office-hours' handoff section dispatches an independent subagent reviewer that audits the design doc on 5 dimensions (completeness/consistency/clarity/scope/feasibility), returns a 1-10 score + PASS or numbered issues; issues are fixed and the reviewer is RE-DISPATCHED up to 3 times; unresolved items get logged as 'Reviewer Concerns' for downstream skills to read. Metrics appended to ~/.gstack/analytics/spec-review.jsonl.",★,https://raw.githubusercontent.com/garrytan/gstack/main/office-hours/sections/design-and-handoff.md
garrytan/gstack,pattern-donor,Conductor parallel sprints + Codex CLI adapter,"SA-10, SA-05","conductor.json wires Conductor integration to run 10-15 parallel sprints in ISOLATED workspaces, each with independent /office-hours, /review, /qa, /ship execution (separate API keys GSTACK_ANTHROPIC_API_KEY / GSTACK_OPENAI_API_KEY for paid evals). /pair-agent coordinates Claude Code with OpenClaw/Hermes/Codex in a shared browser with scoped tokens and tab isolation. agents/openai.yaml is the Codex host adapter.",,https://raw.githubusercontent.com/garrytan/gstack/main/README.md | https://github.com/garrytan/gstack/tree/main/agents
gsd-build/get-shit-done,pattern-donor,agents/*.md (33-39 named GSD subagents),"SA-09, SA-01, SA-17","~33+ agent definitions as markdown+frontmatter: name, description (states what spawns it, e.g. 'Spawned by /gsd:plan-phase orchestrator'), tools (least-privilege allowlist per agent — researcher gets WebSearch/Exa/Firecrawl/context7, executor gets Edit/Bash but no web), and color. Distinct role personas across the lifecycle: researchers (phase/domain/project/ai/advisor/ui), planner, plan-checker, executor, verifier, code-reviewer, security-auditor, ui-auditor, doc-synthesizer/classifier/verifier, codebase-mapper, pattern-mapper, nyquist-auditor, etc.",★,https://github.com/gsd-build/get-shit-done/tree/main/agents | https://raw.githubusercontent.com/gsd-build/get-shit-done/main/agents/gsd-executor.md
gsd-build/get-shit-done,pattern-donor,Sequential research→plan→check pipeline (/gsd:plan-phase),"SA-15, SA-03, SA-02, SA-13","plan-phase orchestrator runs three agents serially: gsd-phase-researcher (→RESEARCH.md, conditional on flags) → gsd-planner (→PLAN.md) → gsd-plan-checker (→VERIFICATION.md). On checker failure it re-spawns the planner with the checker's structured YAML feedback in a revision loop, max 3 iterations before escalation. Each agent is a fresh context receiving prior artifacts as the handoff baton.",★,https://raw.githubusercontent.com/gsd-build/get-shit-done/main/commands/gsd/plan-phase.md | https://raw.githubusercontent.com/gsd-build/get-shit-done/main/agents/gsd-plan-checker.md
gsd-build/get-shit-done,pattern-donor,Wave-based parallel executor fan-out (/gsd:execute-phase),"SA-03, SA-05, SA-11, SA-07","execute-phase orchestrator discovers all plans in a phase, computes a dependency graph, groups plans into parallel-safe waves, and dispatches each wave's plans to independent gsd-executor subagents via the Agent tool — each spawned with a fresh ~100% context budget plus its plan. Later waves gate on earlier-wave completion (dependency-wave fleet). Phase verification by gsd-verifier runs only after all waves complete.",★,https://raw.githubusercontent.com/gsd-build/get-shit-done/main/commands/gsd/execute-phase.md | https://raw.githubusercontent.com/gsd-build/get-shit-done/main/agents/gsd-executor.md
gsd-build/get-shit-done,pattern-donor,Adversarial goal-backward verifier (gsd-verifier),"SA-07, SA-06","Fresh-context skeptic that starts from 'falsify first' — hypothesis: tasks completed but goal missed; explicitly distrusts SUMMARY.md and treats file existence as insufficient. Applies a 4-level artifact hierarchy: Exists → Substantive (real code not stub) → Wired (imported/used) → Data Flows (dynamic, not hardcoded/empty); a component rendering an empty array is HOLLOW not verified. Scans for debt markers (TBD/FIXME/XXX), runs behavioral probes with pass/fail exit codes, and emits YAML gaps frontmatter consumable by /gsd:plan-phase --gaps.",★,https://raw.githubusercontent.com/gsd-build/get-shit-done/main/agents/gsd-verifier.md
gsd-build/get-shit-done,pattern-donor,Worktree-isolated parallel agents,SA-10,"Parallel executors run in git worktrees (per-agent branches); executor refuses to commit on protected refs, asserts its per-agent branch, and is forbidden from `git clean` in worktrees (would destroy concurrent agents' work). CONTEXT.md carries WORKTREE.SEAM predicates and worktree-safety tests guard the invariant.",★,https://raw.githubusercontent.com/gsd-build/get-shit-done/main/agents/gsd-executor.md | https://raw.githubusercontent.com/gsd-build/get-shit-done/main/CONTEXT.md
gsd-build/get-shit-done,pattern-donor,SDK runners (phase/session/milestone/init-runner.ts),"SA-14, SA-03","TypeScript SDK programmatically drives the multi-stage agent workflow: init-runner / phase-runner / session-runner / milestone-runner stage execution, prompt-builder + prompt-sanitizer compose and clean each agent's prompt, and query-* adapters (native + subprocess) invoke the underlying runtime — config-as-code orchestration sitting beneath the markdown commands.",,https://github.com/gsd-build/get-shit-done/tree/main/sdk/src
huytieu/COG-second-brain,pattern-donor,6 worker agents (.claude/agents/*.md) with model:sonnet,"SA-09, SA-16, SA-17","Each agent = markdown + frontmatter (name, description, model:sonnet). Set: worker-researcher (WebSearch/WebFetch, no synthesis), worker-data-collector, worker-file-ops, worker-publisher, worker-executor (pre-approved mutations only), brief-people-updater. Model-tiered by design: workers run Sonnet for cost, the lead runs Opus for reasoning (CLAUDE.md Model Routing table). Tool-scoped: each agent lists only the capabilities it needs (e.g. researcher = search/fetch/reads; executor = Jira/Linear/GitHub/curl).",★,https://raw.githubusercontent.com/huytieu/COG-second-brain/main/.claude/agents/worker-researcher.md | https://raw.githubusercontent.com/huytieu/COG-second-brain/main/.claude/agents/worker-executor.md | https://github.com/huytieu/COG-second-brain/tree/main/.claude/agents | https://raw.githubusercontent.com/huytieu/COG-second-brain/main/CLAUDE.md
huytieu/COG-second-brain,pattern-donor,Lead (Opus) -> Workers (Sonnet) orchestration,"SA-03, SA-02","CLAUDE.md hard rule: 'If it doesn't need judgment, delegate. Lead handles thinking only.' Lead decides + synthesizes; workers do data collection / I/O / publishing / pre-approved mutations and return status+path. worker-executor explicitly: 'You do NOT decide what to do — the lead already decided' — pure execution, no improvisation, continues on partial failure and reports which actions succeeded/failed.",★,https://raw.githubusercontent.com/huytieu/COG-second-brain/main/CLAUDE.md | https://raw.githubusercontent.com/huytieu/COG-second-brain/main/.claude/agents/worker-executor.md
huytieu/COG-second-brain,pattern-donor,Parallel fan-out in team mode,SA-05,agent_mode:team launches N specialist subagents in ONE message: team-brief fans out 6 named collectors (github/slack/meeting/linear/braindump/posthog) concurrently; auto-research launches 5-7 worker-researcher threads with run_in_background:true. Orchestrator then performs cross-reference synthesis. agent_mode:solo collapses to sequential passes in the main conversation. Mode read per-skill from MY-PROFILE.md.,★,https://raw.githubusercontent.com/huytieu/COG-second-brain/main/.claude/skills/team-brief/SKILL.md | https://raw.githubusercontent.com/huytieu/COG-second-brain/main/.claude/skills/auto-research/SKILL.md
huytieu/COG-second-brain,pattern-donor,7 role packs (.claude/roles/*.md),"SA-01, SA-14","Not personas that execute, but onboarding-time config presets: Product Manager / Engineering Lead / Engineer / Designer / Founder / Marketer (+custom). Each maps the role to recommended skills + essential integrations and a default agent_mode (PM pack -> 10 skills, integrations GitHub/Linear/Slack/PostHog/Notion, team mode). Skills carry matching roles:[...] frontmatter so recommendations are bidirectional; onboarding skill matches the user to a pack and writes MY-PROFILE.md accordingly.",,https://raw.githubusercontent.com/huytieu/COG-second-brain/main/.claude/roles/product-manager.md | https://raw.githubusercontent.com/huytieu/COG-second-brain/main/.claude-plugin/plugin.json | https://raw.githubusercontent.com/huytieu/COG-second-brain/main/CLAUDE.md
iusztinpaul/ai-research-os-workshop,pattern-donor,researcher.md,"SA-09, SA-05, SA-17, SA-15","Agent-definition markdown (frontmatter name/description/tools/model). One researcher spawned per query per round, all in parallel; each searches Obsidian/Readwise/NLM/YouTube seeds, weights user-created content (NLM notes, Readwise highlights) above raw imports, caps at ~15 findings, dedups, returns findings JSON (title, original_path, origin, relevance, topic-specific summary, key_concepts, author/date/url). Tool scope limited to search CLIs + read.",★,https://raw.githubusercontent.com/iusztinpaul/ai-research-os-workshop/main/plugins/ai-research-os/skills/research/agents/researcher.md
iusztinpaul/ai-research-os-workshop,pattern-donor,gap_analyzer.md,"SA-09, SA-03","Runs BETWEEN rounds; reads only findings metadata (jq), never source files. Maps discoveries to original key themes, grades each well-covered (3+)/thin(1-2)/missing(0), generates exactly N next-round queries targeting underrepresented themes while avoiding prior search strings; later rounds narrow toward specific tools/frameworks/authors. Returns a queries-manifest JSON so the orchestrator configures the next cycle without re-reading sources — a planner that steers worker waves.",★,https://raw.githubusercontent.com/iusztinpaul/ai-research-os-workshop/main/plugins/ai-research-os/skills/research/agents/gap_analyzer.md
iusztinpaul/ai-research-os-workshop,pattern-donor,source_writer.md,"SA-09, SA-05, SA-17","One per raw source, in parallel. The sole raw-file reader (context firewall, see CM-06). Tools strictly Read + Write (single md file). Writes wiki/sources/<slug>.md (Summary/Key claims/Notable quotes/Distinctive framing/Connections) with anchored wikilink citations; returns referenced + suggested-new entity/concept slugs JSON. No side effects on index or other pages.",★,https://raw.githubusercontent.com/iusztinpaul/ai-research-os-workshop/main/plugins/ai-research-os/skills/research/agents/source_writer.md
iusztinpaul/ai-research-os-workshop,pattern-donor,wiki_page_writer.md,"SA-09, SA-05","One per qualifying entity/concept slug, in parallel. Reads ONLY in-scope source pages (never raw); aggregates definition/claims/quotes/relationships/tensions/open-questions across sources; computes source_count/mention_count/confidence; word/quote caps (~300-700 words, <=125 char quotes); preserves <!-- KEEP --> edits; byte-identical noop skip; returns created/updated/noop JSON. Page created only when mention_count>=2 across distinct sources.",★,https://raw.githubusercontent.com/iusztinpaul/ai-research-os-workshop/main/plugins/ai-research-os/skills/research/agents/wiki_page_writer.md
iusztinpaul/ai-research-os-workshop,pattern-donor,wiki_summary_writer.md,"SA-09, SA-05","Two spawned in parallel — one writes overview.md (topic catalog + source breakdown), one writes synthesis.md (thesis integrating findings). Both discover wiki state via bash; never preloaded into orchestrator context (keeps orchestrator lean).",,https://raw.githubusercontent.com/iusztinpaul/ai-research-os-workshop/main/plugins/ai-research-os/skills/research/SKILL.md
iusztinpaul/ai-research-os-workshop,pattern-donor,builder.md,"SA-09, SA-15",Fetches/copies raw source content into raw/ (handling fetch/curl/transcript/PDF extraction) so source_writers have local files; explicitly no longer writes index.yaml (responsibility moved to a deterministic script). A pipeline-stage worker.,,https://raw.githubusercontent.com/iusztinpaul/ai-research-os-workshop/main/plugins/ai-research-os/skills/research/SKILL.md | https://github.com/iusztinpaul/ai-research-os-workshop/tree/main/plugins/ai-research-os/skills/research/agents
iusztinpaul/ai-research-os-workshop,pattern-donor,github_spec_writer.md,SA-09,Writes ARCHITECTURE.md + per-module docs for an ingested GitHub repo; ARCHITECTURE acts as the module index with inline relative wikilinks.,,https://github.com/iusztinpaul/ai-research-os-workshop/tree/main/plugins/ai-research-os/skills/research/agents
iusztinpaul/ai-research-os-workshop,pattern-donor,comparison_writer.md,"SA-09, SA-05","Writes A-vs-B comparison pages (alphabetized pair slug, e.g. bm25-vs-hybrid-retrieval.md) from entity/concept source pages when an entity pair has >=2 mutual links — synthesizing a dedicated comparison artifact.",,https://github.com/iusztinpaul/ai-research-os-workshop/tree/main/plugins/ai-research-os/skills/research/agents | https://raw.githubusercontent.com/iusztinpaul/ai-research-os-workshop/main/plugins/ai-research-os/skills/research/CONVENTIONS.md
modimihir07/agentic-os,pattern-donor,Three-agent roster: opencode / Hermes / Gemini CLI,"SA-01, SA-16, SA-09","Three named role-personas with distinct model/provider tiers: opencode (code/DevOps, deepseek-v4-flash-free via opencode-zen), Hermes (memory+scheduling+notifications, Owl Alpha on OpenRouter), Gemini CLI (research/analysis, Google OAuth). Each lives in agents/<name>/ with its own config. Roles are scoped by capability and all pinned to free/cheap models — model-tiering by task type.",★,https://raw.githubusercontent.com/modimihir07/agentic-os/main/AGENTS.md | https://github.com/modimihir07/agentic-os/tree/main/agents
modimihir07/agentic-os,pattern-donor,Smart router (keyword + confidence scoring),SA-02,"AGENTS.md routing rules classify each task: code/infra -> opencode, memory/scheduling -> hermes, research/analysis -> gemini, ambiguous -> opencode fallback. A keyword-match-with-confidence-score router suggests the agent; routing config persists in data/agent-routes.json. Dispatcher -> specialist pattern.",★,https://raw.githubusercontent.com/modimihir07/agentic-os/main/AGENTS.md
modimihir07/agentic-os,pattern-donor,Sequential agent chaining (research -> implement -> monitor),"SA-15, CM-08","Multi-step requests chain agents in a fixed pipeline: Gemini researches -> opencode implements -> Hermes monitors, with each step's brain/skill artifacts (specs, learnings, audit) read by the next. Document-handoff is the baton between runtimes.",,https://raw.githubusercontent.com/modimihir07/agentic-os/main/AGENTS.md
