Code,Canonical_pattern,Num_repos,Definition,Exemplars,Repos
SK-11,Worked-example / few-shot grounding,14,Sample outputs (often across fictional companies) ground the skill's expected quality.,pratikshadake/claude-product-management-skills: one shared 'AI Meeting Notes' fixture reused across all examples so the corpus is a single curriculum  •  phuryn/pm-skills: few-shot sample outputs per skill  •  aakashg/pm-claude-code-setup: worked examples across fictional companies,"phuryn/pm-skills, product-on-purpose/pm-skills, Digidai/product-manager-skills, pratikshadake/claude-product-management-skills, shawnpang/startup-founder-skills, aakashg/pm-claude-skills, aakashg/pm-claude-code-setup, jinjin1/Cursor-for-Product-Managers, Fission-AI/OpenSpec, huytieu/COG-second-brain, garrytan/gstack, coleam00/second-brain-starter, agentii-ai/growth-hacking-kit, anthropics/skills"
SK-12,Skill router / dispatcher,18,One entry skill routes to other skills or subagents.,"Digidai/product-manager-skills: root skill's 7 intent tables route natural-language asks to framework+file  •  itseffi/personal-os: dispatcher with KEYWORD_RULES, graded by a dedicated routing eval  •  product-on-purpose/pm-skills: ≥2 adversarial near-miss negatives per collision pair harden router boundaries","deanpeters/Product-Manager-Skills, product-on-purpose/pm-skills, itseffi/personal-os, Digidai/product-manager-skills, bmad-code-org/BMAD-METHOD, automazeio/ccpm, anombyte93/prd-taskmaster, eyaltoledano/claude-task-master, rodrigorjsf/prd-generator-plugin, buildermethods/agent-os, garrytan/gbrain, garrytan/gstack, smixs/agent-second-brain, modimihir07/agentic-os, iusztinpaul/ai-research-os-workshop, wshobson/agents, zubair-trabzada/ai-marketing-claude, AgriciDaniel/claude-seo"
SK-13,Executable skill,16,A skill bundles runnable code (e.g. rice_prioritizer.py) it invokes deterministically.,anombyte93/prd-taskmaster: bundled ship-check.py re-executes operator tests in a sandbox  •  anthropics/skills: skill-creator bundles a create_docx.py when transcripts show repeated reinvention  •  alirezarezvani/claude-skills: derive_counters.py runs as the skill's integrity check,"itseffi/personal-os, amanaiproduct/personal-os, aakashg/pm-claude-code-setup, automazeio/ccpm, anombyte93/prd-taskmaster, garrytan/gbrain, eugeniughelbur/obsidian-second-brain, smixs/agent-second-brain, modimihir07/agentic-os, iusztinpaul/ai-research-os-workshop, alirezarezvani/claude-skills, coreyhaines31/marketingskills, zubair-trabzada/ai-marketing-claude, AgriciDaniel/claude-seo, anthropics/skills, anthropics/claude-plugins-official"
SK-14,Single-skill multi-domain operator,8,One skill covers many sub-domains via internal routing.,Digidai/product-manager-skills: one root skill spans Discovery/Strategy/Finance/Career/Growth via internal tables  •  AgriciDaniel/claude-seo: one seo-audit skill internally routes across local/maps/ecommerce sub-domains  •  alirezarezvani/claude-skills: multi-domain operator skill with internal dispatch,"product-on-purpose/pm-skills, Digidai/product-manager-skills, automazeio/ccpm, cdeust/ai-prd-generator-plugin, eugeniughelbur/obsidian-second-brain, iusztinpaul/ai-research-os-workshop, alirezarezvani/claude-skills, AgriciDaniel/claude-seo"
SK-15,Meta-skill / skills-generator,13,Skills that generate project-specific skills.,rodrigorjsf/prd-generator-plugin: skills-generator compiles a finalized PRD into project-local guardrail skills wired to real requirement IDs (spec-to-guardrails compiler)  •  anthropics/skills: skill-creator generates new skills from observed eval transcripts  •  bmad-code-org/BMAD-METHOD: meta-skill scaffolds new phase skills,"product-on-purpose/pm-skills, bmad-code-org/BMAD-METHOD, sdi2200262/agentic-project-management, rodrigorjsf/prd-generator-plugin, Fission-AI/OpenSpec, huytieu/COG-second-brain, garrytan/gbrain, ruvnet/claude-flow (rebranded ""ruflo""), eugeniughelbur/obsidian-second-brain, coleam00/second-brain-starter, alirezarezvani/claude-skills, anthropics/skills, anthropics/claude-plugins-official"
SK-16,Cross-harness packaging,23,Adapters so one skill runs on Claude Code / Codex / Cursor / Gemini.,wshobson-style compiler — but here: msitarzewski/agency-agents: convert.sh demultiplexes one agent by markdown header into a 3-file persona split for the target tool  •  coreyhaines31/marketingskills: harness-specific !`command` power documented in AGENTS.md but firewalled OUT of the portable SKILL.md  •  eyaltoledano/claude-task-master: all logic in @tm/core so CLI/slash-command/MCP behave byte-identically (note: this repo's parity invariant primarily counted under SK-16 family),"phuryn/pm-skills, deanpeters/Product-Manager-Skills, product-on-purpose/pm-skills, itseffi/personal-os, Digidai/product-manager-skills, assimovt/productskills, shawnpang/startup-founder-skills, msitarzewski/agency-agents, bmad-code-org/BMAD-METHOD, github/spec-kit, sdi2200262/agentic-project-management, Fission-AI/OpenSpec, huytieu/COG-second-brain, garrytan/gbrain, garrytan/gstack, gsd-build/get-shit-done, eugeniughelbur/obsidian-second-brain, modimihir07/agentic-os, alirezarezvani/claude-skills, coreyhaines31/marketingskills, AgriciDaniel/claude-seo, agentii-ai/growth-hacking-kit, anthropics/skills"
SK-17,Plugin / marketplace bundling,22,plugin.json / marketplace manifest / installable packs.,"anthropics/claude-plugins-official: one vendor manifest aggregates 243 third-party plugins by sha-pinned git ref with a strict:false skills[] curation mode  •  phuryn/pm-skills: every plugin.json/marketplace.json/README count kept at one synchronized semver, enforced after structural changes  •  bmad-code-org/BMAD-METHOD: module registry keeps deprecated modules installable with 'replaced by X' routing","phuryn/pm-skills, deanpeters/Product-Manager-Skills, product-on-purpose/pm-skills, amanaiproduct/personal-os, assimovt/productskills, shawnpang/startup-founder-skills, msitarzewski/agency-agents, bmad-code-org/BMAD-METHOD, github/spec-kit, sdi2200262/agentic-project-management, Fission-AI/OpenSpec, huytieu/COG-second-brain, garrytan/gbrain, garrytan/gstack, gsd-build/get-shit-done, eugeniughelbur/obsidian-second-brain, alirezarezvani/claude-skills, rohitg00/awesome-claude-code-toolkit, coreyhaines31/marketingskills, AgriciDaniel/claude-seo, agentii-ai/growth-hacking-kit, anthropics/claude-plugins-official"
SK-18,Self-improving skill,6,"Auto-memory curation, taste profiles, skill quarantine until proven.",garrytan/gstack: inferred operator taste/disposition model tunes skill pacing over time  •  cdeust-style telemetry — here garrytan/gbrain: memory curation feeds back into retrieval quality  •  coreyhaines31/marketingskills: catalog auto-syncs itself from source on every push,"bmad-code-org/BMAD-METHOD, garrytan/gbrain, garrytan/gstack, modimihir07/agentic-os, alirezarezvani/claude-skills, coreyhaines31/marketingskills"
SK-19,CLI installer / package manager,23,ccpi / specify / davila7-style install + validate command.,github/spec-kit: specify CLI installs + validates the spec-driven scaffold  •  bmad-code-org/BMAD-METHOD: installer presents skills in phase-folder execution order  •  Fission-AI/OpenSpec: openspec CLI installs and drives the workflow engine,"phuryn/pm-skills, deanpeters/Product-Manager-Skills, amanaiproduct/personal-os, Digidai/product-manager-skills, pratikshadake/claude-product-management-skills, assimovt/productskills, shawnpang/startup-founder-skills, msitarzewski/agency-agents, bmad-code-org/BMAD-METHOD, github/spec-kit, sdi2200262/agentic-project-management, Fission-AI/OpenSpec, huytieu/COG-second-brain, garrytan/gbrain, garrytan/gstack, gsd-build/get-shit-done, eugeniughelbur/obsidian-second-brain, alirezarezvani/claude-skills, rohitg00/awesome-claude-code-toolkit, coreyhaines31/marketingskills, AgriciDaniel/claude-seo, agentii-ai/growth-hacking-kit, anthropics/skills"
SK-20,Commands-vs-skills split,24,Explicit /commands (user-invoked) vs auto-invoked skills — a deliberate division of invocation surface.,"anthropics/knowledge-work-plugins: inverse split — 8 skills all auto-invoke, exactly one (interactive brainstorm) gets a command wrapper because it needs a launch point  •  eyaltoledano/claude-task-master: same @tm/core behind both /commands and auto MCP tools  •  buildermethods/agent-os: user commands vs auto standards-discovery skills","phuryn/pm-skills, deanpeters/Product-Manager-Skills, product-on-purpose/pm-skills, anthropics/knowledge-work-plugins (product-management plugin), itseffi/personal-os, jinjin1/Cursor-for-Product-Managers, github/spec-kit, anombyte93/prd-taskmaster, eyaltoledano/claude-task-master, sdi2200262/agentic-project-management, Fission-AI/OpenSpec, buildermethods/agent-os, huytieu/COG-second-brain, garrytan/gstack, gsd-build/get-shit-done, eugeniughelbur/obsidian-second-brain, iusztinpaul/ai-research-os-workshop, alirezarezvani/claude-skills, rohitg00/awesome-claude-code-toolkit, coreyhaines31/marketingskills, zubair-trabzada/ai-marketing-claude, AgriciDaniel/claude-seo, agentii-ai/growth-hacking-kit, anthropics/claude-plugins-official"
SK-21,Skill quality validators / contracts,27,"CI checks on skills: count, trigger accuracy, cross-ref, output quality, linter.","product-on-purpose/pm-skills: trigger-fixtures.json requires ≥2 adversarial near-miss negatives per documented collision pair; run-router-evals measures accuracy  •  phuryn/pm-skills: validate_plugins.py checks semver + README/manifest description alignment after structural changes  •  anthropics/skills: run_loop.py treats the description as a tunable hyperparameter, selecting best by held-out trigger score","phuryn/pm-skills, deanpeters/Product-Manager-Skills, product-on-purpose/pm-skills, itseffi/personal-os, Digidai/product-manager-skills, assimovt/productskills, shawnpang/startup-founder-skills, bmad-code-org/BMAD-METHOD, automazeio/ccpm, github/spec-kit, anombyte93/prd-taskmaster, rodrigorjsf/prd-generator-plugin, cdeust/ai-prd-generator-plugin, Fission-AI/OpenSpec, huytieu/COG-second-brain, garrytan/gbrain, garrytan/gstack, eugeniughelbur/obsidian-second-brain, modimihir07/agentic-os, iusztinpaul/ai-research-os-workshop, alirezarezvani/claude-skills, wshobson/agents, coreyhaines31/marketingskills, AgriciDaniel/claude-seo, agentii-ai/growth-hacking-kit, anthropics/skills, anthropics/claude-plugins-official"
SK-22,Statistical reliability certification,1,"A probabilistic harness runs many simulated invocations and produces confidence intervals + a certification grade — treating a skill like a flaky test suite and certifying its reliability, beyond boolean lint.","wshobson/agents: plugin-eval certify runs ~50 Monte-Carlo invocations measuring activation/consistency/failure/token-efficiency, wraps in Wilson/Clopper-Pearson/bootstrap CIs, and emits a Platinum–Bronze letter grade for external partners",wshobson/agents
SK-23,Domain re-skin of a coding-agent OS,3,"Forking an entire spec-driven dev toolchain and rebinding its slots (tests→metrics, code→assets, constitution→domain principles) to a wholly different function while keeping the CLI/command/template machinery intact — the OS is the fork-and-rebind recipe, not the content.",agentii-ai/growth-hacking-kit: growthkit clones Spec-Kit's structure; one .growthkit/ source fans out to 34 agent/script variants; ships .specify/+.growthkit/+.blogkit/ proving the template is the reusable unit,"agentii-ai/growth-hacking-kit, coreyhaines31/marketingskills, zubair-trabzada/ai-marketing-claude"
