Repo,Scope,Pattern_raw_name,Canonical_codes,How_implemented,Notable,Source_links
AgriciDaniel/claude-seo,growth-marketing,Orchestrator routing table as index,CM-25,"seo/SKILL.md contains a Quick Reference markdown table mapping each /seo subcommand to the sub-skill that handles it — an explicit map of where each capability lives, used to dispatch without any vector store.",,https://raw.githubusercontent.com/AgriciDaniel/claude-seo/main/skills/seo/SKILL.md
AgriciDaniel/claude-seo,growth-marketing,Falsifiability / provenance in recommendations,CM-17,"Per CLAUDE.md and README, each recommendation carries 'the first-principle observation it rests on' plus explicit failure-mode checks and a success metric (observation basis, system dependencies, success metrics). Findings are graded by a 0-100 SEO Health Score weighted across 7 categories with severity tied to falsifiability checks — claims are source/observation-bound rather than asserted.",,https://raw.githubusercontent.com/AgriciDaniel/claude-seo/main/CLAUDE.md | https://raw.githubusercontent.com/AgriciDaniel/claude-seo/main/skills/seo-audit/SKILL.md
coreyhaines31/marketingskills,growth-marketing,.agents/product-marketing.md (shared product marketing context document),"CM-02, CM-24, CM-10","A single foundation skill (product-marketing) creates one canonical context file at .agents/product-marketing.md capturing 12 sections (positioning, ICP, personas, JTBD four-forces, competitive landscape, differentiation, objections, verbatim customer language, brand voice, proof points, goals). Every other skill opens with a 'Check for product marketing context first' step that reads this file (with .claude/ and legacy product-marketing-context.md fallbacks) before asking questions, so foundational context is written once and re-read by all 44 other skills. It is a written source-of-truth artifact agents execute against, scaffolded by a dedicated command into a fixed path.",★,https://raw.githubusercontent.com/coreyhaines31/marketingskills/main/skills/product-marketing/SKILL.md | https://raw.githubusercontent.com/coreyhaines31/marketingskills/main/skills/cro/SKILL.md | https://raw.githubusercontent.com/coreyhaines31/marketingskills/main/skills/launch/SKILL.md
coreyhaines31/marketingskills,growth-marketing,AGENTS.md (CLAUDE.md is a one-line pointer to it),CM-02,"Root AGENTS.md is the agent identity/rules/output-standards doc: repo overview, structure map, frontmatter field-constraint tables, writing-style + tone guidelines, description-field best practices, git/PR checklist, and tool-integration routing. CLAUDE.md contains literally the single line 'AGENTS.md' to redirect Claude Code to the cross-agent doc — deliberate single-source-of-truth so Claude-specific and generic guidance never diverge.",★,https://raw.githubusercontent.com/coreyhaines31/marketingskills/main/AGENTS.md | https://raw.githubusercontent.com/coreyhaines31/marketingskills/main/CLAUDE.md
coreyhaines31/marketingskills,growth-marketing,tools/REGISTRY.md + tools/integrations/*.md (tool index as map-of-where-knowledge-lives),"CM-25, CM-04","REGISTRY.md is an explicit index table (51 tools x API/MCP/CLI/SDK columns) that agents read to discover capabilities, then drill into the just-in-time per-tool integration guide (tools/integrations/<tool>.md) only for the tool actually needed. Skills cite tools by name; the agent loads the full integration doc lazily rather than carrying all 51 in context.",,https://raw.githubusercontent.com/coreyhaines31/marketingskills/main/tools/REGISTRY.md | https://raw.githubusercontent.com/coreyhaines31/marketingskills/main/AGENTS.md
coreyhaines31/marketingskills,growth-marketing,Dynamic context injection via !`command` (Claude Code-only enhancement note),"CM-03, CM-04","AGENTS.md documents (but deliberately keeps OUT of cross-agent SKILL.md files) a Claude Code pattern: placing !`cat .agents/product-marketing.md 2>/dev/null || echo ""...ask the user""` at the top of a skill body so Claude Code executes the shell and injects the product context inline at invocation — the model sees the file contents, not a 'go read this file' instruction. Same trick suggested for injecting today's date / current git branch / recent commits for recency-sensitive skills.",★,https://raw.githubusercontent.com/coreyhaines31/marketingskills/main/AGENTS.md
zubair-trabzada/ai-marketing-claude,growth-marketing,market/SKILL.md main orchestrator + Routing Logic table,"CM-02, CM-25","A single root orchestrator SKILL.md acts as identity + command map + output standards: a 15-row `/market <command>` table maps each command to its sub-skill file and named output artifact (MARKETING-AUDIT.md, COMPETITOR-REPORT.md, etc.), plus global Output Standards (actionable/prioritized/revenue-focused/example-driven/client-ready) and a Business Context Detection rubric (6 business types). Functions as the always-loaded map of where each capability and its output live.",★,https://raw.githubusercontent.com/zubair-trabzada/ai-marketing-claude/main/market/SKILL.md
zubair-trabzada/ai-marketing-claude,growth-marketing,Cross-skill data-file integration (file-presence-based context loading),"CM-08, CM-25","Skills coordinate purely through named Markdown artifacts written to the current working directory and re-read by later skills by literal filename. market-audit's 'Cross-Skill Integration' section: if COMPETITOR-REPORT.md or BRAND-VOICE.md exists in cwd, fold its findings in. market-report-pdf 'Step 1: Collect All Available Data' enumerates 9 expected files (MARKETING-AUDIT.md, LANDING-CRO.md, SEO-AUDIT.md, BRAND-VOICE.md, COMPETITOR-ANALYSIS.md, FUNNEL-ANALYSIS.md, ...) and assembles them into the PDF — a doc-as-baton chain keyed on file existence, no DB/index.",★,https://raw.githubusercontent.com/zubair-trabzada/ai-marketing-claude/main/skills/market-audit/SKILL.md | https://raw.githubusercontent.com/zubair-trabzada/ai-marketing-claude/main/skills/market-report-pdf/SKILL.md
zubair-trabzada/ai-marketing-claude,growth-marketing,Phase-1 Discovery shared payload (business type + page map + fetched content),CM-20,"Before fan-out, the orchestrator runs a Discovery phase that WebFetches homepage + up to 5 interior pages, classifies the business into 1 of 6 types via a detection-signals table, and builds a 'page map' of site architecture. These three objects (business type, page map, raw fetched content) are explicitly described as passed to every subagent so all 5 analyze the same shared context — an informal typed context packet handed to the fan-out workers.",★,https://raw.githubusercontent.com/zubair-trabzada/ai-marketing-claude/main/skills/market-audit/SKILL.md
alirezarezvani/claude-skills,pattern-donor,Root CLAUDE.md + per-domain CLAUDE.md + GEMINI.md,"CM-02, CM-03","Root /CLAUDE.md is the governance/identity doc: hard rules (PRs target dev not main; stdlib-only no-LLM Python tools; 'no silent chaining' for orchestrators), output standards (5-7 sourced references with explicit confidence levels, 125-char quote caps, persona voice differentiation), a domain coverage table, and an explicit 'Always-Loaded Facts' block (no build system, current version, multi-platform list, reference-canon rule). Each domain folder also carries its own CLAUDE.md (e.g. product-team/CLAUDE.md states 'all product Python tools must' be CLI-first/stdlib-only and indexes its skills). GEMINI.md mirrors for the Gemini harness.",★,https://raw.githubusercontent.com/alirezarezvani/claude-skills/main/CLAUDE.md | https://raw.githubusercontent.com/alirezarezvani/claude-skills/main/product-team/CLAUDE.md
alirezarezvani/claude-skills,pattern-donor,SKILL.md 'Before Starting' context-first checkpoint + company-context.md single source of truth,"CM-24, CM-05","The SKILL-AUTHORING-STANDARD mandates every SKILL.md open with a 'Before Starting' section: a context-first checkpoint naming WHICH domain context file to read first, plus a three-tier forcing-question pattern (Current State / Goals / Domain-Specific). A paired setup skill (cs-onboard-style) + /cs:setup command run a guided interview that writes a canonical company-context.md that all downstream skills reference before asking anything — preventing redundant discovery and enforcing one strategic-context source of truth. References load on demand to 'keep startup cost zero' (progressive disclosure).",★,https://raw.githubusercontent.com/alirezarezvani/claude-skills/main/SKILL-AUTHORING-STANDARD.md
alirezarezvani/claude-skills,pattern-donor,handoff plugin (skills/handoff + SessionStart/SessionEnd hooks),"CM-09, CM-19, CM-08","Self-contained plugin (.claude-plugin/, agents/, commands/, hooks/, skills/handoff/). Writes a markdown handoff-XXXXXX.md to a configured location (.handoff/ or OS temp) with a strict 5-section template: Goal of next session / State of play / Open decisions / Skills to use (3-5, capped) / Artifacts. hooks.json wires SessionStart→session_start.py (scans the save dir for the latest handoff within a retention window and injects it as <handoff_from_previous_session> context, framed as background NOT directives) and SessionEnd→session_end.py (non-blocking reminder if no handoff < 30 min old). Both toggle via HANDOFF_SESSIONSTART/SESSIONEND env flags. Discipline: reference artifacts by path/commit hash, never duplicate diffs/PRDs.",★,https://github.com/alirezarezvani/claude-skills/tree/main/productivity/handoff | https://github.com/alirezarezvani/claude-skills/tree/main/productivity/handoff/hooks | https://raw.githubusercontent.com/alirezarezvani/claude-skills/main/productivity/handoff/hooks/hooks.json
alirezarezvani/claude-skills,pattern-donor,self-improving-agent three-tier memory (MEMORY.md / topic files / CLAUDE.md),"CM-14, CM-15, CM-16, CM-27","Three-tier memory: (1) MEMORY.md project-level auto-capture written continuously during sessions, (2) overflow topic files under ~/.claude/projects/<path>/memory/*.md, (3) CLAUDE.md curated enforced rules. Promotion lifecycle: a pattern recurs 2-3x → /si:review (memory-analyst agent) flags it as a promotion candidate and identifies consolidation/dedup groups → human approves → /si:promote graduates it to CLAUDE.md or rules/ → the MEMORY.md entry is REMOVED to free space. Explicit tiering of transient (MEMORY.md) vs permanent (CLAUDE.md) with periodic reconciliation; an end-of-session capture loop feeds it.",★,https://raw.githubusercontent.com/alirezarezvani/claude-skills/main/engineering-team/self-improving-agent/skills/self-improving-agent/SKILL.md | https://github.com/alirezarezvani/claude-skills/tree/main/engineering-team
alirezarezvani/claude-skills,pattern-donor,Confidence-tagged provenance (🟢/🟡/🔴 + 5-7 sourced references),CM-17,"Authoring standard requires every reference doc cite 5-7 authoritative 'canon' sources (peer-reviewed/industry-standard/documented framework) each with an explicit confidence level, and every finding in skill output be tagged 🟢 verified / 🟡 medium / 🔴 assumed. Bottom-line-first 'Communication Standard' baked into the SKILL.md template.",,https://raw.githubusercontent.com/alirezarezvani/claude-skills/main/SKILL-AUTHORING-STANDARD.md | https://raw.githubusercontent.com/alirezarezvani/claude-skills/main/CLAUDE.md
alirezarezvani/claude-skills,pattern-donor,Multi-Agent Handoff context-carry-forward (ORCHESTRATION.md),"CM-08, CM-20","Orchestration Pattern C passes a structured handoff summary between personas (decisions made / artifacts created / open questions) as a document-as-baton — e.g. 'Switching to Phase 2. Load growth-marketer persona and launch-strategy skill.' Explicitly NO typed payload/context_packet schema is defined; coordination relies on disciplined summary format, so this is CM-08 doc-handoff, only weakly CM-20.",,https://raw.githubusercontent.com/alirezarezvani/claude-skills/main/orchestration/ORCHESTRATION.md
coleam00/second-brain-starter,pattern-donor,Markdown memory vault (SOUL.md / USER.md / MEMORY.md / daily/YYYY-MM-DD.md),"CM-01, CM-02, CM-03, CM-12, CM-27","Local markdown files are the single source of truth — no DB for the canonical store. Tier-1 always-loaded identity = SOUL.md (personality/values/boundaries) + USER.md (profile, account IDs, prefs); Tier-2 curated KB = MEMORY.md with fixed sections (Decisions / Lessons Learned / Important Facts / Active Projects / Upcoming Events / Preferences Confirmed); Tier-3 append-only granular logs = daily/YYYY-MM-DD.md. A curation model promotes only material items from daily logs up into MEMORY.md during heartbeats — a living LLM-maintained KB plus end-of-session capture.",★,https://raw.githubusercontent.com/coleam00/second-brain-starter/main/templates/memory/SOUL.md | https://raw.githubusercontent.com/coleam00/second-brain-starter/main/templates/memory/MEMORY.md | https://raw.githubusercontent.com/coleam00/second-brain-starter/main/.claude/skills/create-second-brain-prd/references/architecture-reference.md
coleam00/second-brain-starter,pattern-donor,SOUL.md constitution / behavioral guardrails,CM-22,"SOUL.md is a non-negotiable identity+values doc loaded every session: four 'core values' pillars (Be Genuinely Helpful, Have Opinions, Be Resourceful Before Asking, Earn Trust Through Competence) plus a proactivity spectrum rule (internally bold: read/search/organize without asking; externally cautious: ask before any outbound/public action). Functions as an anti-drift governance gate the agent re-reads on SessionStart.",★,https://raw.githubusercontent.com/coleam00/second-brain-starter/main/templates/memory/SOUL.md
coleam00/second-brain-starter,pattern-donor,SessionStart context injection (session-start-context.py),"CM-19, CM-03, CM-09","A SessionStart hook script reads SOUL.md + USER.md + MEMORY.md + recent daily-log entries and injects them into the new conversation automatically, so identity and recent decisions persist with no user prompting. The daily log doubles as a HANDOFF-style continuity journal across sessions.",★,https://raw.githubusercontent.com/coleam00/second-brain-starter/main/.claude/skills/create-second-brain-prd/references/architecture-reference.md
coleam00/second-brain-starter,pattern-donor,PreCompact + SessionEnd memory flush (pre-compact-flush.py / session-end-flush.py → memory_flush.py),"CM-19, CM-27, CM-06, CM-07","Both hooks share one pattern: extract conversation turns → write to a temp file → spawn a background memory_flush.py via the Claude Agent SDK. The flush sub-agent runs with allowed_tools=[] (pure reasoning, no tool access = a context firewall) to distill only noteworthy decisions/lessons/facts into bullet summaries appended to the daily log, or writes 'FLUSH_OK' if nothing matters. Recursion guard: every SDK invocation sets os.environ['CLAUDE_INVOKED_BY']; the hooks skip if it's set so a flush can't trigger another flush.",★,https://raw.githubusercontent.com/coleam00/second-brain-starter/main/.claude/skills/create-second-brain-prd/references/architecture-reference.md
coleam00/second-brain-starter,pattern-donor,Hybrid vector+keyword memory search (db.py / embeddings.py / memory_index.py / memory_search.py),"CM-14, CM-04, CM-16","Memory markdown is chunked into ~400-token overlapping chunks, embedded locally by FastEmbed ONNX (all-MiniLM-L6-v2, 384-dim, no external API), stored in SQLite via sqlite-vec (or Postgres pgvector on VPS). Keyword side uses SQLite FTS5 (or Postgres tsvector+GIN). Retrieval fuses scores at 0.7 vector + 0.3 keyword. Incremental indexing re-processes only changed files. The store is a search index over the markdown, not the source of truth — DB-backed retrieval layered on a markdown vault.",★,https://raw.githubusercontent.com/coleam00/second-brain-starter/main/.claude/skills/create-second-brain-prd/references/architecture-reference.md | https://raw.githubusercontent.com/coleam00/second-brain-starter/main/README.md
coleam00/second-brain-starter,pattern-donor,Heartbeat state-diffed proactive snapshot (heartbeat.py + heartbeat-state.json),"CM-23, CM-04","Cron/Task-Scheduler runs heartbeat.py every 30 min in active hours. Two-phase: Python pre-loads data from all enabled integrations BEFORE invoking Claude (cheap, deterministic gather), then Claude reasons over the preloaded context. State diffing compares a freshly-built snapshot against the prior run's snapshot stored in .claude/data/state/heartbeat-state.json so notifications fire only on change — ~$0.05/run vs ~$0.38 with live MCP tool calls.",★,https://raw.githubusercontent.com/coleam00/second-brain-starter/main/.claude/skills/create-second-brain-prd/references/architecture-reference.md
coleam00/second-brain-starter,pattern-donor,BOOTSTRAP.md self-deleting onboarding wizard,"CM-24, CM-02","On first run BOOTSTRAP.md drives a one-question-at-a-time interview (name/email, timezone, role+projects, primary use case, comms style, active hours, integrations, proactivity boundaries) and writes the answers into USER.md, SOUL.md (comms style + proactive rules), HEARTBEAT.md (checks only for configured integrations) and the first daily log — then runs `rm Memory/BOOTSTRAP.md` to remove itself so it never re-fires. Context-scaffolding setup that populates the always-loaded files then disappears.",★,https://raw.githubusercontent.com/coleam00/second-brain-starter/main/templates/memory/BOOTSTRAP.md
coleam00/second-brain-starter,pattern-donor,PreToolUse credential firewall (block-secrets.py + sanitize.py),CM-19,"block-secrets.py is a PreToolUse hook intercepting Read/Bash/Grep/Edit/Write/Glob: a path blocklist (.env, .pem, .key, credentials.json, google_token.json, SSH keys) plus command sanitization (blocks cat .env, printenv, echo $TOKEN, python -c os.environ, and scripts that exfiltrate secrets to stdout; recurses into subshells). sanitize.py wraps external text (emails/API responses) in XML trust boundaries + markdown-escaping to defend against injection.",★,https://raw.githubusercontent.com/coleam00/second-brain-starter/main/.claude/skills/create-second-brain-prd/references/architecture-reference.md
coleam00/second-brain-starter,pattern-donor,Generated PRD as durable build spec (.agent/plans/second-brain-prd.md),"CM-10, CM-08","The skill's whole output is a written, phased PRD (9 phases, each with dependencies/complexity/personalization notes) that the user then executes against — the spec is the durable context artifact. The skill chains read-requirements → load-architecture-reference → web-research → generate-PRD as a document handoff chain where each step's artifact feeds the next.",,https://raw.githubusercontent.com/coleam00/second-brain-starter/main/.claude/skills/create-second-brain-prd/SKILL.md
eugeniughelbur/obsidian-second-brain,pattern-donor,Layered identity files: SOUL.md / CRITICAL_FACTS.md (~120 tokens) / CORE_VALUES.md,"CM-03, CM-02","L0 of the context engine reads three tiny always-loaded files: SOUL.md (or About Me.md) for identity/comms style, CRITICAL_FACTS.md (~120 tokens: timezone, role, manager, location, company), and CORE_VALUES.md/Values.md for decision principles. Total L0 budget ~170 tokens. CRITICAL_FACTS is explicitly token-budgeted as the always-loaded core preamble.",★,https://raw.githubusercontent.com/eugeniughelbur/obsidian-second-brain/main/commands/obsidian-world.md | https://raw.githubusercontent.com/eugeniughelbur/obsidian-second-brain/main/README.md
eugeniughelbur/obsidian-second-brain,pattern-donor,/obsidian-world progressive context engine (L0-L3 token budgets),"CM-01, CM-04, CM-05, CM-25","Single command loads vault state in four ascending token tiers, 'start light, go deeper only as needed': L0 identity (~170 tok: SOUL/CRITICAL_FACTS/CORE_VALUES); L1 navigation (~1-2K: index.md catalog + last 10 log entries); L2 current state (~2-5K: Home/Dashboard, last 3 daily notes, active kanban boards, prior session digests); L3 deep context (on-demand 5-20K: active project notes, references, key contacts loaded only when a question requires). L0-L2 shown without loading L3 so the user can resume immediately.",★,https://raw.githubusercontent.com/eugeniughelbur/obsidian-second-brain/main/commands/obsidian-world.md
eugeniughelbur/obsidian-second-brain,pattern-donor,_CLAUDE.md vault operating manual + index.md page catalog,"CM-02, CM-25, CM-19","Vault root holds _CLAUDE.md (operating manual) and index.md ('Page catalog (read first by Claude)'). A SessionStart hook (load_vault_context.py) injects _CLAUDE.md once per session when cwd is inside the vault, prints absolute paths for _CLAUDE.md/index.md/log.md, and explicitly instructs Claude NOT to run ls/Glob/Bash discovery — replacing filesystem exploration with a curated map.",★,https://raw.githubusercontent.com/eugeniughelbur/obsidian-second-brain/main/hooks/load_vault_context.py | https://raw.githubusercontent.com/eugeniughelbur/obsidian-second-brain/main/README.md
eugeniughelbur/obsidian-second-brain,pattern-donor,Bi-temporal facts via timeline: frontmatter array,"CM-18, CM-17","Rather than overwriting a fact, the system APPENDS to a `timeline:` frontmatter array preserving both event time (when something was true) and transaction time (when the vault learned it). Enables historical queries and reflective thinking ('You believed X on Tuesday; after ingesting Y on Wednesday you shifted to Z') with a full audit trail. Reinforced by inline recency markers '(as of 2026-04, source.com)' and confidence levels (stated|high|medium|speculation).",★,https://raw.githubusercontent.com/eugeniughelbur/obsidian-second-brain/main/SKILL.md | https://raw.githubusercontent.com/eugeniughelbur/obsidian-second-brain/main/references/ai-first-rules.md
eugeniughelbur/obsidian-second-brain,pattern-donor,"Self-rewriting LLM-Wiki (Karpathy pattern, rewrite-not-append)","CM-12, CM-16, CM-21","/obsidian-ingest spawns parallel subagents (entities/concepts/projects/contradictions) that SEARCH then REWRITE 5-15 existing pages — merging new info into integrated biographies/concepts rather than timestamped additions. Explicit success metric: 'If an ingest only creates new pages and doesn't rewrite anything, it wasn't deep enough.' Cross-source patterns trigger automatic synthesis pages; stale claims replaced with history preserved.",★,https://raw.githubusercontent.com/eugeniughelbur/obsidian-second-brain/main/commands/obsidian-ingest.md | https://raw.githubusercontent.com/eugeniughelbur/obsidian-second-brain/main/SKILL.md
eugeniughelbur/obsidian-second-brain,pattern-donor,/obsidian-reconcile contradiction resolution + memory consolidation,"CM-16, CM-18, CM-17","Four parallel subagents (claims/entity/decisions/source-freshness) scan for conflicts, then score each across three axes — temporal (which source newer), authority (peer-reviewed > blog > transcript), nature (genuine contradiction vs intentional evolution). Three resolution paths: clear winner -> rewrite outdated page + add ## History section; ambiguous -> create wiki/decisions/Conflict — Topic.md with status: open; evolution -> update + preserve history. Compares raw/ source dates against wiki/ publication dates for staleness ordering.",★,https://raw.githubusercontent.com/eugeniughelbur/obsidian-second-brain/main/commands/obsidian-reconcile.md
eugeniughelbur/obsidian-second-brain,pattern-donor,Propagation matrix / two-output rule (no orphans),"CM-27, CM-08",Every answer also writes a vault update (Two-Output Rule). A propagation matrix mandates every write cascade to 3-5 related locations: e.g. project creation triggers board updates + daily-note links + index modifications. Hard rule 'Never create in isolation' and 'No orphans — every note linked from boards/daily note.' Synthesis Hook auto-creates a concept page when a pattern appears across 3+ sources.,★,https://raw.githubusercontent.com/eugeniughelbur/obsidian-second-brain/main/SKILL.md | https://raw.githubusercontent.com/eugeniughelbur/obsidian-second-brain/main/commands/obsidian-save.md
eugeniughelbur/obsidian-second-brain,pattern-donor,Append-only operation log (log.md / Logs/YYYY-MM-DD.md),"CM-09, CM-17","Append-only operation logs (per-day Logs/YYYY-MM-DD.md or monolithic log.md) record every save/ingest/reconcile with counts ('X synthesis pages created, Y orphans rescued, Z connections found') as a full audit trail; the context engine reads the last 10 entries at L1 to restore session continuity.",,https://raw.githubusercontent.com/eugeniughelbur/obsidian-second-brain/main/commands/obsidian-reconcile.md | https://raw.githubusercontent.com/eugeniughelbur/obsidian-second-brain/main/commands/obsidian-world.md
eugeniughelbur/obsidian-second-brain,pattern-donor,Wikilink-graph traversal over RAG,"CM-28, CM-25",Mandatory [[wikilinks]] for every person/project/idea/decision/concept; missing targets get stub notes. Retrieval is markdown traversal of the index.md catalog + wikilink graph (no vector DB); a /obsidian-retrieval-eval command exists to evaluate retrieval quality on this file-based graph.,,https://raw.githubusercontent.com/eugeniughelbur/obsidian-second-brain/main/references/ai-first-rules.md | https://raw.githubusercontent.com/eugeniughelbur/obsidian-second-brain/main/README.md
