Repo,Scope,Standout_idea
Digidai/product-manager-skills,pm-core,"Per-module Coaching-Mode interaction tables (Trigger / Action / Stop-When) turn 'be a tough peer' into deterministic, finishable challenge loops with explicit exit conditions (e.g. stop pushing after 2 rounds, or when the user segments the churn data)."
Digidai/product-manager-skills,pm-core,"Always-on Framing gate separated from opt-in Coaching: quality-control pushback (solution smuggling, no metrics, scope mixing) fires once on every artifact request, while interrogation-style coaching only fires on explicit consent — a clean separation of 'never ship garbage' from 'don't nag.'"
pratikshadake/claude-product-management-skills,pm-core,"Radical minimalism: each skill is ~20-40 lines of Markdown — 2-field frontmatter (name+description only) + Purpose + Steps + an Output section of empty headings — proving a usable, auto-invocable PM skill needs almost no scaffolding."
pratikshadake/claude-product-management-skills,pm-core,"The output contract IS the skill: behavior is steered almost entirely by a fixed set of required Markdown subheadings plus a constrained verdict enum (Worth Solving / Build Now-Later-Do Not Build / Ready-At Risk-Not Ready), forcing every run to terminate in a discrete decision."
pratikshadake/claude-product-management-skills,pm-core,"One shared fictional product ('AI Meeting Notes') threads through every skill's example.md, so the 15 worked examples read as a coherent end-to-end case study (problem -> JTBD -> assumptions -> prioritization -> PRD critique -> launch readiness) rather than 15 unrelated samples."
pratikshadake/claude-product-management-skills,pm-core,"Description field doubles as the router: with no trigger/tools fields, the 'Use when ...' clause in description is the sole auto-invocation signal, a clean demonstration of description-as-dispatcher."
assimovt/productskills,pm-core,"Radically minimal frontmatter as a deliberate design choice: ONLY `name` + `description`, with all trigger logic ('Use when asked about X, Y, Z') written into the description prose so auto-invocation is pure semantic match — no custom trigger DSL, maximally portable."
assimovt/productskills,pm-core,"Trigger phrases embedded directly in the description as natural-language 'Use when...' clauses, making each skill self-documenting about its own activation conditions."
assimovt/productskills,pm-core,"Method-as-imperative-rules: frameworks are compiled into terse ALWAYS/NEVER/CRITICAL directives with a concrete counter-example attached (e.g. 'the job is share a polished doc with investors, not export to PDF'), which reads more like a checklist than an essay."
assimovt/productskills,pm-core,"Output-contract discipline baked into individual skills (RICE: show all math, confidence<100% without data; PRD: mandatory counter-metrics and Out-of-Scope section) — lightweight gap/anti-hallucination enforcement without any external validator."
assimovt/productskills,pm-core,"Citable-framework requirement as a hard authoring rule: every skill must name its source methodology (Intercom RICE, Linear Method, Mom Test, Christensen/Klement Forces of Progress, Dunford positioning, Torres OST, Basecamp Shape Up), giving the whole pack provenance."
shawnpang/startup-founder-skills,pm-core,One shared `startup-context` foundation file (8 fixed sections) that EVERY skill is contractually required to `reads:` first — a single-source-of-truth context anchor that converts a generic skill library into a company-tailored one without any vector DB.
shawnpang/startup-founder-skills,pm-core,"Declarative `reads:` + `related:` frontmatter forms a static skill graph: `reads` points every skill at the context file, `related` wires the workflow chain (prd-writing → roadmap-planning → mvp-scoping) — a map-file approach to chaining with zero runtime retrieval machinery."
shawnpang/startup-founder-skills,pm-core,"prd-writing's lightweight(2-3pg)-vs-full(5-8pg) branch as step 1 — an explicit scope gate that right-sizes the artifact to company stage before any drafting, plus assumption-tracking with evidence + invalidation criteria baked into the workflow."
shawnpang/startup-founder-skills,pm-core,"A CONTRIBUTING.md that codifies a strict 7-section body + 4-field frontmatter contract for all 50 skills, making the library uniform and forkable — an authoring constitution rather than ad-hoc skills."
aakashg/pm-claude-skills,pm-core,"Header-based SKILL.md contract (Trigger/Context/Instructions/Constraints/Output Format/Examples/Anti-patterns) with a shipped templates/SKILL-TEMPLATE.md as the reusable skeleton — a deliberately minimal, no-frontmatter, no-bundled-resources skill format optimized for copy-paste adoption."
aakashg/pm-claude-skills,pm-core,"Contrastive 'Good vs Bad' worked examples on the SAME input, each annotated with the failure reason, teaching the model the discrimination boundary rather than just the target output."
aakashg/pm-claude-skills,pm-core,"Scoring GUIDES with numeric thresholds baked into each rubric dimension (Strong/Moderate/Weak defined by concrete economics like '<1,000 customers to $1M ARR'), turning subjective PM judgment into a repeatable scorecard + GO/ITERATE/STOP verdict."
aakashg/pm-claude-skills,pm-core,"README-as-architecture-doc: the 'CLAUDE.md = identity / skills = tasks' split is the repo's actual product, taught with a token-economy rationale (always-loaded vs on-demand) and a from-scratch skill-authoring tutorial."
aakashg/pm-claude-skills,pm-core,Mandatory interactive 'Step 1' elicitation gate with coded pushback rules (refuse vague 'everyone' answers) before any generation.
slgoodrich/agents,pm-team,"Filesystem-as-context-firewall: context-scanner explicitly returns NO JSON to callers — it writes validated, provenance-stamped facts to .claude/product-context/* and the invoking agent re-reads the files after control returns, keeping the scan's raw output out of the caller's window."
slgoodrich/agents,pm-team,"Model-tiered fleet by frontmatter: Haiku for the file-grinding context-scanner, Sonnet for routing/doc-gen specialists, Opus for the adversarial idea-skeptic — cost/capability matched per role in one line of YAML."
slgoodrich/agents,pm-team,"A debate-protocol encoded as a reusable SKILL (team-coordination): named challenge formats, steel-man-before-attack rule, weighted synthesis percentages, and five named anti-patterns (Consensus Theater, False Precision...) make multi-agent disagreement a first-class, auditable mechanism rather than vibes."
slgoodrich/agents,pm-team,PRD template auto-selection via a transparent 3-axis 0-10 complexity score that reads the product-context files to inform scoring and shows the user its reasoning before generating.
slgoodrich/agents,pm-team,"Progressive context scaffolding: pm-setup writes only the 2 essential files up front and delegates creation of the other 6 to journey-stage agents, so the context tree grows as the product matures instead of demanding a 20-question intake."
aakashg/pm-claude-code-setup,pm-team,"Config-not-manual minimalism as a stated design principle: a sub-60-line CLAUDE.md with a 9-field fill-in form, an explicit 'every rule must earn its place / prune at ~150 lines' anti-bloat gate, and the claim that short instructions outperform long ones — context engineering by subtraction."
aakashg/pm-claude-code-setup,pm-team,"Reviewer personas as a 6-row markdown table + a verbal 'review as [role]' contract and a prescribed sequential chain, delivering 80% of a critic-agent panel with zero agent infrastructure (no agents/ dir, no tool scoping) — a cheap, copyable pattern for non-engineer PMs."
aakashg/pm-claude-code-setup,pm-team,"PRD-writer as a 6-stage lifecycle state machine where the SAME doc evolves (speclet -> full PRD -> post-launch results link that 'closes the build-test-learn loop'), with stage-specific verification checklists — spec-as-source-of-truth done as delta edits."
aakashg/pm-claude-code-setup,pm-team,"Pervasive Good-vs-Bad few-shot grounding: every skill carries side-by-side vague-vs-specific example pairs, and prd-writer adds an 'Anti-Patterns (From Analyzing 500+ PRDs)' catalogue — teaching the model the failure mode, not just the target."
aakashg/pm-claude-code-setup,pm-team,"Mandatory anti-metric rule in metrics-definer ('if you cannot identify one, you have not thought hard enough about perverse incentives') — encoding adversarial measurement thinking as a non-skippable output slot."
aakashg/pm-claude-code-setup,pm-team,"Self-improvement protocol that routes corrections: trivial -> propose CLAUDE.md rule (with approval), recurring -> propose a scoped .claude/rules/ file 'instead of bloating this file' — a capture loop with a built-in placement/altitude decision."
jinjin1/Cursor-for-Product-Managers,pm-team,"Agents-as-skill-orchestrators: the 3 .md agents contain almost no domain logic — they are pure pipelines that invoke the 20 atomic /slash skills in a fixed order with approval gates between phases, so the same skill is reusable both standalone (user types /create-prd) and as a pipeline step. Clean separation of orchestration from capability."
jinjin1/Cursor-for-Product-Managers,pm-team,"The whole Opportunity Solution Tree is realized as a filesystem-as-state-machine: snapshots/ → synthesis/ → opportunities/ → solutions/ → assumptions/ folders ARE the discovery state, and each skill reads the predecessor folder and writes the successor — no database, the directory tree is the memory and the index."
jinjin1/Cursor-for-Product-Managers,pm-team,"Anti-sycophancy is encoded as a first-class always-on rule: the root .mdc bans specific hedging phrases ('interesting', 'you might consider'), names PM failure patterns to flag (solution-seeking-problem, hypothetical users, interest/demand conflation), and demands named personas over categories — a reusable 'sparring partner' governance layer."
jinjin1/Cursor-for-Product-Managers,pm-team,"ICE scoring as a fully declarative skill with calibrated evidence-weighting tables (self-belief 0.01× up to market data 3.0×, with caps) and a hard 'score only on stated evidence' rule — sophisticated quantitative prioritization with zero executable code, just prompt-encoded rubrics."
jinjin1/Cursor-for-Product-Managers,pm-team,"Approval-gated, resumable pipelines: every agent step offers Proceed/Revise/Go-Deeper/Go-Back and can resume from any phase using already-saved artifacts, making long PM workflows interruptible and idempotent across sessions."
msitarzewski/agency-agents,pm-team,"Each agent ships method + structure together: the PM file embeds five copy-paste deliverable templates (PRD, Opportunity Assessment w/ RICE table, Now/Next/Later roadmap with a mandatory 'What We're NOT Building and why' table, GTM brief, Sprint Health snapshot) as fenced blocks, so the agent is a self-contained PM toolkit, not just a persona."
msitarzewski/agency-agents,pm-team,"One canonical agent source compiled to 12+ tool formats by convert.sh, including header-keyword-driven file SPLITS (OpenClaw SOUL.md/AGENTS.md/IDENTITY.md) and format-specific frontmatter injection (Antigravity SKILL.md gets risk/source/date_added; Codex gets TOML-escaped instructions; Kimi gets split yaml+system.md)."
msitarzewski/agency-agents,pm-team,The nexus 8-agent parallel discovery deliberately ENGINEERS for both convergence and divergence: a synthesis pass reports the 4 conclusions all agents reached independently as strong signals AND preserves 4 unresolved cross-domain TENSIONS for human judgment rather than forcing consensus.
msitarzewski/agency-agents,pm-team,Receiver-addressed memory tagging: a deliverable is tagged with the DOWNSTREAM agent's name ('frontend-developer') so the next agent auto-discovers its inputs on recall by project name—turning a copy-paste handoff chain into autonomous tag-routed retrieval over an MCP memory server with remember/recall/rollback/search.
msitarzewski/agency-agents,pm-team,"Hardwired filesystem memory contract: the Senior PM reads its spec from a fixed `ai/memory-bank/site-setup.md` path with a 125-char max-quote rule and a no-scope-creep gate, and writes 30-60min tasks to `ai/memory-bank/tasks/[slug]-tasklist.md`—a concrete spec-as-source-of-truth + doc-handoff convention."
contains-studio/agents,pm-team,"The `description` frontmatter field is engineered as the auto-invocation classifier: each agent embeds 3-4 structured <example> blocks (Context / user / assistant / <commentary>) that act as few-shot routing exemplars — the repo's whole 'orchestration' is just Claude Code matching a request against these example-rich descriptions, no router code at all."
contains-studio/agents,pm-team,"A near-identical RIGID system-prompt skeleton is reused across all ~39 agents (identity → 6 numbered '**primary responsibilities**' each with 6 sub-bullets → named framework blocks → Anti-Patterns → fenced Templates → Metrics), making the prompts feel authored by one template — a replicable house style for at-scale agent authoring."
contains-studio/agents,pm-team,PM methodology is encoded as a literal bulleted MENU inside the prompt (RICE/Kano/JTBD/OST/OKR in sprint-prioritizer) rather than as runnable code or a separate reference file — frameworks-as-prose.
contains-studio/agents,pm-team,"trend-researcher hard-codes NUMERIC decision gates in natural language (trend 1-4wk momentum = build it; >50% WoW hashtag growth = high potential; min 100K users), turning a vibe judgment into a quasi-deterministic rubric."
contains-studio/agents,pm-team,"The 6-day/6-week sprint metaphor is the unifying context substitute: with no CLAUDE.md or shared context file, every agent re-states the cadence in its own prompt (sprint-prioritizer W1-6, studio-producer W0-6), so 'studio culture' is distributed redundantly across agents instead of centralized."
contains-studio/agents,pm-team,studio-coach is a pure-prompt orchestrator distinguished ONLY by being granted the `Task` tool plus a 'PROACTIVELY' description — least-privilege tool allowlists are the actual capability/role boundary between agents.
nanagajui/agentic_prd,pm-team,"The entire multi-role product team is pure declarative config: role/goal/backstory in agents.yaml + description/expected_output/context/agent in tasks.yaml, with crew.py being nearly boilerplate — the 'team' is data, not code, so adding/reordering roles is a YAML edit."
nanagajui/agentic_prd,pm-team,"tasks.yaml `context:` lists make dependencies explicit and form a fan-in: the final PRD task pulls all five upstream artifacts (purpose, backlog, QA, features, design) into one synthesis step — a clean doc-handoff DAG expressed in config."
nanagajui/agentic_prd,pm-team,"Every expected_output repeats the meta-constraint 'written in a way that is optimal for an agentic coder to create the product', and the final task is bound to obey knowledge/rules.txt — the PRD is purpose-built as downstream agent context, not human reading."
nanagajui/agentic_prd,pm-team,"knowledge/rules.txt functions as a portable 'constitution for writing agentic-coder specs' (design-before-code, start small, TDD, ask humans, keep docs current) injected as crew-level knowledge so all agents share the same governing rules."
bmad-code-org/BMAD-METHOD,pm-framework,"bmad-spec's append-only .memlog.md with a re-derived SPEC.md: the kernel doc is never hand-edited but regenerated from a chronological log on every run, so any number of upstream skills can update the same spec in any order without merge drift while stable capability IDs survive — a CM-21 self-rederiving-doc pattern that solves multi-writer context collision."
bmad-code-org/BMAD-METHOD,pm-framework,"The story file as a self-contained context-handoff baton: bmad-create-story SELECTIVE_LOADs only the relevant shards of PRD/architecture/epics, distills them into a fat 'Dev Notes + References (with source paths/sections)' block, and emits a status-gated {epic}-{num}-title.md — so a fresh dev agent gets exactly the compacted context it needs, cited, without re-reading the whole planning corpus."
bmad-code-org/BMAD-METHOD,pm-framework,"base→team→user 3-layer customize.toml resolution: personas (role/identity/style/principles/persistent_facts/activation hooks) are tunable per org and per user WITHOUT forking the skill, while core identity stays locked — a clean self/team-tuning layer over shared skills."
bmad-code-org/BMAD-METHOD,pm-framework,Persona-council 'party mode' with a resolve_party.py roster script and four escalating execution modes (inline-voiced → auto → subagent → persistent agent-team) plus per-party memory — multi-persona deliberation that scales from cheap inline role-play to real independent subagents.
bmad-code-org/BMAD-METHOD,pm-framework,"A deterministic skill-validator (12 rules, JSON output, in CI via npm run quality) that enforces description 'Use when' triggers, step-NN-description.md naming with ## NEXT links, and bans cross-skill file paths in favor of skill:name invocation — making a 34-skill catalog mechanically consistent and safely refactorable."
automazeio/ccpm,pm-framework,"GitHub Issues used as the agents' shared database: tasks leave local files and become real issues/sub-issues (via gh-sub-issue) so humans and multiple agents read/write the same external state, surviving any single context window."
automazeio/ccpm,pm-framework,Five-phase doc-as-baton pipeline (PRD -> epic -> tasks -> issues -> code) where every artifact is a frontmatter'd markdown file in a fixed .claude/ tree and each phase's reference doc reads the previous artifact and writes the next.
automazeio/ccpm,pm-framework,"A per-issue analysis file (<N>-analysis.md) that pre-computes independent 'streams' with explicit file scope and 'Can Start' flags, turning one issue into a parallel-agent launch plan with least-privilege file ownership."
automazeio/ccpm,pm-framework,"One epic = one git worktree shared by all its parallel agents, with coordination by 'Issue #N' commits + git status checks and a hard 'never --force' rule, instead of a worktree-per-agent explosion."
automazeio/ccpm,pm-framework,"Tracking is deliberately LLM-free: 14 bash scripts scan the file tree for status/standup/blocked/next, with track.md explicitly telling the model to just run the script and present output."
github/spec-kit,pm-framework,"Document-as-baton chain: a clean specs/<feature>/ folder where each command writes exactly one artifact the next reads (spec → research → data-model/contracts → plan → tasks → code), making the written spec the executable source of truth rather than throwaway scaffolding."
github/spec-kit,pm-framework,"Declarative `handoffs:` frontmatter with labeled next-step prompts and `send: true` auto-advance — the multi-step workflow is wired into each command's YAML, not buried in prose, so any harness can render it as next-action buttons."
github/spec-kit,pm-framework,"A versioned constitution (semver + auto-generated Sync Impact Report) loaded by every downstream command and treated by /analyze as a non-negotiable CRITICAL gate — governance encoded as durable context, not a one-time prompt."
github/spec-kit,pm-framework,"Checklists reframed as 'unit tests for English' that validate the REQUIREMENTS' clarity/completeness, with /implement hard-gating on their PASS/FAIL counts before writing any code."
github/spec-kit,pm-framework,A documented decision to DISABLE subagent forking (FORK_CONTEXT_COMMANDS empty) because the would-be context-firewall actually leaked a 500-line report back into main context and froze sessions — a rare real-world negative result on the 'fresh-context subagent' pattern.
github/spec-kit,pm-framework,"Four-layer runtime template resolution (overrides > presets > extensions > core) plus version-pinned bundles, letting an org enforce its own spec/plan formats and role-based provisioning without forking the framework."
snarktank/ai-dev-tasks,pm-framework,"Lettered multiple-choice clarifying questions: forcing the AI to phrase its 3–5 PRD questions as numbered items with A/B/C/D options so a non-technical user can answer the entire intake in one terse line ('1A, 2C, 3B') — friction-free elicitation that any PM enablement program could copy verbatim."
snarktank/ai-dev-tasks,pm-framework,"The literal 'Go' gate: a hard, human-spoken confirmation token between high-level plan and detailed breakdown — cheap to implement (it's one sentence in a prompt), but it converts a runaway planner into a reviewable two-phase process."
snarktank/ai-dev-tasks,pm-framework,"Tasks-file-as-progress-ledger: the same markdown artifact is plan, spec, and live state — the agent edits `- [ ]`→`- [x]` in place after each sub-task, so the file alone reconstructs 'where are we' for any fresh session with zero extra memory machinery."
snarktank/ai-dev-tasks,pm-framework,"One-sub-task-then-stop-for-approval loop: the entire 'safety' of the framework is a human checkpoint after every atomic step, not tooling — a maximally tool-agnostic way to keep a human in the loop."
snarktank/ai-dev-tasks,pm-framework,"Radical minimalism: an entire opinionated SDLC (spec → plan → checkpointed build) delivered as TWO plain .md files with zero code, frontmatter, or runtime — proof that 'prompt templates referenced by @filename' is a viable cross-tool distribution format."
anombyte93/prd-taskmaster,pm-framework,"Deterministic, unfakable completion token: SHIP_CHECK_OK only emits after a HARD exit-code oracle (Gate 5, re-runs operator tests in a network-isolated podman sandbox, fail-closed, 'no override path') AND a reachability sweep proving new code is WIRED/EXEMPT not ORPHAN — completion is structural, not a claim, with exactly one audit-logged [OVERRIDE] escape hatch."
anombyte93/prd-taskmaster,pm-framework,"Letter-graded, placeholder-proof PRD as a deterministic gate: validate_prd scores EXCELLENT/GOOD/ACCEPTABLE/NEEDS_WORK and HARD-fails on any bare TBD/TODO/{{...}}, but lets a deferred decision pass IF tagged with an explicit `reason:` — turning 'is this spec actually done' into a non-zero exit code."
anombyte93/prd-taskmaster,pm-framework,"Stateless orchestrator that survives context loss: the `go` router holds no state — every phase skill re-reads current_phase() from pipeline.json on entry, so compaction or a fresh session resumes exactly where it left off; the file IS the memory."
anombyte93/prd-taskmaster,pm-framework,"Dependency-wave fleet with checker-gated sequential merges: file-disjoint waves of model-agnostic worktree workers report through a durable inbox (4 fixed terminal statuses, never trusted prose), merge one-at-a-time behind a checker gate, and never touch main until a final green PR — with a sole-writer rule on the control plane."
anombyte93/prd-taskmaster,pm-framework,"PreToolUse phase-gate hook (gate_enforcer.py) that intercepts advance_phase and returns permissionDecision:'deny' with concrete reasons unless typed per-phase evidence is present (e.g. GENERATE needs grade EXCELLENT/GOOD + ≥1 task + ≥1.0 subtask coverage) — the engine, not the prompt, enforces the gate."
anombyte93/prd-taskmaster,pm-framework,"Token-economy cross-vendor routing: Claude/Codex/Gemini are separate quota pools on a capability ladder (Fable→haiku); complexity-2 scaffolding gets cheap models, escalation only on failure, with conservative/balanced/performance economy settings and a local economy-report proving per-model success-rate/latency."
eyaltoledano/claude-task-master,pm-framework,"Orchestrator→Executor→Checker triad with model tiering AND a privilege firewall: opus orchestrator plans and fans out, sonnet executors implement, a sonnet checker with READ-ONLY tools verifies against spec and can only flag (never fix), so failures loop back — a clean separation of plan/do/verify that mirrors a real dev team and structurally prevents self-grading."
eyaltoledano/claude-task-master,pm-framework,"The Task object itself is the inter-agent context packet: a single typed record carries details, testStrategy, dependencies, acceptanceCriteria, scopeBoundaries, relevantFiles, codebasePatterns and an operation-surviving user `metadata` block — so the orchestrator hands an executor just an id and the full execution context travels with the store, not the chat."
eyaltoledano/claude-task-master,pm-framework,One tag-partitioned tasks.json behind a pluggable IStorage adapter (FormatHandler/FileOperations/PathResolver) that transparently swaps a local file for a Supabase API store via a 'file'|'api'|'auto' StorageType — the same agents work identically against local or cloud state.
eyaltoledano/claude-task-master,pm-framework,"Complexity analysis is wired into expansion: analyze-complexity scores tasks 1-10 and emits a recommendedSubtasks count plus a pre-baked expansionPrompt, which expand-task then consumes to break the task down using a work-type template (feature/bug/refactor) — analysis output directly parameterizes the next generation step."
