Repo,Scope,Takeaway
deanpeters/Product-Manager-Skills,pm-core,"Encode the house writing/output standard in a root CLAUDE.md/AGENTS.md (fixed skill anatomy, a Quality Checklist, Tone Do/Don't, and a load-bearing 'don't strip the teaching' rule) so every generated skill is consistent and pedagogic — and ship the same markdown skills cross-harness (Claude Code plugin + Codex zip + Streamlit playground) so the enablement program isn't locked to one tool."
deanpeters/Product-Manager-Skills,pm-core,"Generate the skill catalog/index from frontmatter via a script (+ CI) so the 'map of skills' never drifts from reality — a cheap, vector-DB-free discoverability layer for a growing library."
product-on-purpose/pm-skills,pm-core,"Ship every internal PM skill as a triad — method (SKILL.md) + fill-in structure (TEMPLATE.md) + a worked, company-specific EXAMPLE.md — so enablement output calibrates to your org's good artifacts, not generic AI prose."
product-on-purpose/pm-skills,pm-core,"Make auto-invocation a tested contract: give each skill a small labeled eval set (trigger / no-trigger + near-miss negatives against confusable sibling skills) and run router evals in CI so 'the right skill fires' is measured, not hoped for."
product-on-purpose/pm-skills,pm-core,"Encode refusal and anti-fabrication rules inside the skill itself (no invented baselines/targets, label assumptions/placeholders, require guardrail counter-metrics) so quality and honesty travel with the skill rather than depending on reviewer vigilance."
product-on-purpose/pm-skills,pm-core,Use a separate read-only critic agent that reviews each artifact against its originating skill's own contract and grades P0–P3 with a mandatory concrete fix per finding — one source of truth for both authoring and judging.
product-on-purpose/pm-skills,pm-core,"Drive workflow governance off a PRODUCED/EMPTY/FAILED result taxonomy with explicit go/no-go checkpoints (auto-advance only on substantive output, halt on failure) so multi-step PM workflows are safely automatable."
product-on-purpose/pm-skills,pm-core,Prime sessions with a lightweight phase-detection hook (branch + artifact signals → top-N relevant skills injected) so PMs get the right tool surfaced without knowing the catalog.
product-on-purpose/pm-skills,pm-core,"Back the whole library with multi-platform CI validators (count parity, cross-references, placeholder/fabricated-metric/quote-sourcing scans, validator-parity) so a growing skill catalog can't silently rot."
anthropics/knowledge-work-plugins,vendor-baseline,"Write trigger-rich skill descriptions, not commands: the production-grade pattern here is one SKILL.md per PM activity with a description that literally lists 'Use when...' scenarios, so the model auto-selects the skill from the user's natural phrasing — a corporate AI-PM program should invest enablement effort in description quality + the underlying methodology, not in slash-command UX."
anthropics/knowledge-work-plugins,vendor-baseline,"Abstract integrations behind capability categories (~~tracker, ~~chat, ~~analytics) with one connector-resolution doc, so the same skill library ships unchanged across an org running Jira-vs-Linear or Slack-vs-Teams — critical for enterprise rollout where tool stacks vary by team."
anthropics/knowledge-work-plugins,vendor-baseline,"Encode the PM craft as hard output contracts + named frameworks inside the skill: P0 discipline ('if everything is P0, nothing is P0'), RICE/ICE/MoSCoW, RAG+ROAM, thematic-analysis 5-steps, North-Star/L1/L2 metric tiers, and explicit anti-hallucination rules (attribute quotes by participant type, report confidence, use ranges) — this is what makes outputs senior-PM-grade rather than generic."
anthropics/knowledge-work-plugins,vendor-baseline,Reserve an explicit slash command only for interactive/stateful work (the brainstorming thinking-partner) and let document-generation skills self-trigger — minimizes command sprawl and matches commands to where a user genuinely needs a deliberate launch point.
anthropics/knowledge-work-plugins,vendor-baseline,"Connector config as declarative .mcp.json (remote HTTP-MCP + OAuth), versioned per plugin, makes the integration surface auditable and swappable without touching skill logic — a clean template for an internal AI-PM plugin that must pass security review."
anthropics/knowledge-work-plugins,vendor-baseline,"Trust-but-verify the README: the advertised '7 slash commands' did not match the code (1 command, 8 skills, including an undocumented sprint-planning skill) — for an enablement program, treat the actual SKILL.md/.mcp.json files as ground truth, not the marketing README."
itseffi/personal-os,pm-core,"Encode each PM framework as a SKILL.md with a hard Output contract (required deliverables) plus explicit When-to-Use / When-Not-to-Use gates, and enforce that structure with a linter so skills can't degrade — copy crux-diagnosis's scored-rubric + options-table shape and validate_skills.py's checks."
itseffi/personal-os,pm-core,"Ship every skill with a cross-runtime sidecar manifest (one method file, two front-doors) so the same enablement library works whether a PM is on Claude Code, Codex, or Cursor — and lint name/version/trigger consistency between them."
itseffi/personal-os,pm-core,Make skill ROUTING itself a tested artifact: a small keyword/route-cases eval that asserts 'this prompt should trigger JTBD-extraction' catches mis-firing skills before users do.
itseffi/personal-os,pm-core,"Adopt the session-eval → instruction-file loop: a fixed eval template with axial-code checkboxes and an explicit 'what to change in AGENTS.md' field, reviewed weekly, turns every agent session into durable process improvement."
itseffi/personal-os,pm-core,"Use a thin two-stage intake→synthesis split (like ost-intake) for any heavy analysis: a normalization skill that interrogates inputs, reframes them to the right shape, and hands a clean typed artifact to the analysis skill — better inputs beat better prompts."
itseffi/personal-os,pm-core,"Constrain subagents with a 3-field output contract (assumptions / result / checks-run) and a fixed Research→Plan→Verify order, with explicit 'don't use subagents for trivial work' rules — gives a context firewall without overhead."
amanaiproduct/personal-os,pm-core,"Make goal-citation a hard gate in the agent contract: an AI-PM task generator should refuse to create a task that doesn't cite an OKR/goal, and should cap how many top-priority items can exist — enforced relevance beats aspirational prioritization."
amanaiproduct/personal-os,pm-core,Ship deterministic guardrail tools (dedup + ambiguity-detection) as MCP/code rather than relying on the LLM to 'remember' to avoid duplicates; a cheap SequenceMatcher + vague-verb regex prevents the two most common backlog failure modes and forces clarifying questions.
amanaiproduct/personal-os,pm-core,"Adopt the session-eval loop as enablement telemetry: trace participants' Claude Code sessions into graded eval cards with a small fixed taxonomy of axial codes; this gives a corporate program a concrete, reviewable way to coach 'good context gathering' and 'efficient tool use'."
amanaiproduct/personal-os,pm-core,"Keep memory as a small, ordered, always-read file stack (instructions → goals → state → knowledge) with markdown traversal instead of a vector store — far easier for PMs to inspect, edit, and trust than opaque RAG."
amanaiproduct/personal-os,pm-core,"Package integrations as a self-installing skill triad (README + SETUP_SKILL.md + mcp-config.json) so non-technical PMs can add tools by asking the agent, lowering the setup barrier for an enablement rollout."
amanaiproduct/personal-os,pm-core,"Use a one-command scaffolder (setup.sh) that generates a personalized GOALS.md and the folder tree, so every participant starts from a populated, consistent context structure."
Digidai/product-manager-skills,pm-core,"For a corporate AI-PM enablement skill, prefer ONE well-routed multi-domain skill over many fragmented skills when domains share a voice and workflow: a single intent→framework→file routing table is cheaper to maintain and lets the model lazy-load only the needed module — keeps the always-on context tiny."
Digidai/product-manager-skills,pm-core,"Ship quality gates in two tiers: a small universal set in the root file (assumptions labeled, outcomes measurable, roles specific, tradeoffs named) plus domain-specific gates colocated inside each knowledge module so they only load with that domain. This is a directly copyable pattern for enforcing SoftServe output standards."
Digidai/product-manager-skills,pm-core,Adopt a STATUS completion contract (DONE / DONE_WITH_CONCERNS / BLOCKED / NEEDS_CONTEXT) for every deliverable — it makes AI-PM outputs auditable and surfaces weak work instead of papering over it; pair with a '3 attempts then escalate' rule to prevent low-quality grinding.
Digidai/product-manager-skills,pm-core,Separate an always-on 'framing gate' (one-turn quality-control pushback) from opt-in 'coaching' (multi-round interrogation). The framing gate prevents garbage on every request without nagging; coaching is consent-gated. This balances rigor against annoyance for a wide internal user base.
Digidai/product-manager-skills,pm-core,"Encode coaching as Trigger/Action/Stop-When tables with explicit exit conditions (max 2 rounds, or stop when the user supplies the missing segmentation). Bounded challenge loops are what make 'be a demanding peer' usable in production rather than an infinite Socratic loop."
Digidai/product-manager-skills,pm-core,"Use the Skill+Template+Example triad per deliverable (method file / structure scaffold / worked output with 'why this matters'), and treat templates explicitly as scaffolding-not-filler ('thinking matters more than format') to avoid placeholder-filling behavior."
Digidai/product-manager-skills,pm-core,"Add a release validator (bin/validate-release-style) to CI for the skill repo: version sync, required files present, manifest covers assets, docs aligned across languages, and regression guards on prompt content — a cheap way to keep a growing skill pack trustworthy."
pratikshadake/claude-product-management-skills,pm-core,"A high-value PM skill can be ~25 lines: name+description frontmatter, a 3-5 step method, and an Output section of required headings ending in a forced verdict. Lower the authoring bar this far and non-engineer PMs can write their own skills."
pratikshadake/claude-product-management-skills,pm-core,"Steer output with an empty-heading skeleton plus a constrained verdict enum (e.g. Ready/At Risk/Not Ready) rather than prose instructions — it's self-documenting, lint-able, and produces consistent, decision-terminating outputs."
pratikshadake/claude-product-management-skills,pm-core,Favor decision/diagnosis skills (return a judgment) over doc-generators for an AI-PM program — they augment reasoning and are easier to evaluate against a 'did it reach a defensible verdict' bar.
pratikshadake/claude-product-management-skills,pm-core,"Pair every skill with exactly one filled worked-example file, and make the whole skill set share a single fictional product so the example corpus doubles as an end-to-end training case study."
pratikshadake/claude-product-management-skills,pm-core,"Put the auto-invocation trigger inside the description's 'Use when ...' clause; with no separate trigger field, a well-written description is both discovery and routing."
pratikshadake/claude-product-management-skills,pm-core,Organizing skills into lifecycle categories (Problem Discovery / Prioritization / Validation / Delivery & Launch) in the README — even with a flat skills/ folder — gives newcomers a mental map without needing an index file or orchestration layer.
assimovt/productskills,pm-core,"A flat library of 12-20 named-methodology skills, each one SKILL.md of 50-150 lines, is a high-leverage starting point for an AI-PM enablement program — small enough to author and review by hand, broad enough to cover discovery->strategy->prioritization->PRD->launch."
assimovt/productskills,pm-core,"Enforce an authoring checklist (CONTRIBUTING-style): every skill must cite a real framework, use ALWAYS/NEVER/CRITICAL rules with a concrete counter-example, ban corporate jargon, and stay 50-150 lines. This keeps a crowd-sourced skill pack consistent without needing CI."
assimovt/productskills,pm-core,"Encode method as imperative rules + one worked counter-example, not prose — agents follow 'NEVER define jobs as features; the job is X' far more reliably than a paragraph explaining JTBD."
assimovt/productskills,pm-core,"Bake trigger phrases into the description ('Use when asked to write a PRD, product spec, feature requirements...') so skills auto-fire on natural PM language and stay portable across harnesses (no per-tool config)."
assimovt/productskills,pm-core,"Bake output contracts into the skill itself (mandatory sections, P0/P1/P2, counter-metrics, 'show the RICE math', confidence<100% without data) so deliverables are gap-aware by construction rather than relying on a separate review agent."
assimovt/productskills,pm-core,Ship a one-line install path (plugin marketplace + npx CLI + submodule) and a manifest that enumerates every skill — distribution friction is what kills internal enablement libraries.
assimovt/productskills,pm-core,"Selectively bundle fill-in templates in a references/ subfolder only where a structured artifact is the deliverable (interview guide), rather than forcing a template on every skill."
shawnpang/startup-founder-skills,pm-core,"Anchor an entire skill library to ONE shared context file (company/product/market/metrics/goals) that every skill is required to read first — this is the cheapest, highest-leverage way to make generic PM skills produce org-specific output without RAG."
shawnpang/startup-founder-skills,pm-core,"Encode skill relationships declaratively in frontmatter (`reads:` for context deps, `related:` for workflow chaining) so the agent can traverse a skill graph by following pointers — a map-file approach that scales to 50 skills with no retrieval infra."
shawnpang/startup-founder-skills,pm-core,Right-size artifacts with an explicit scope gate (lightweight vs full PRD by company stage) as workflow step 1 — prevents over-engineering early-stage docs.
shawnpang/startup-founder-skills,pm-core,Publish an authoring contract (fixed frontmatter fields + fixed body sections + 'must read shared context') so contributed skills stay uniform and trustworthy — treat the contract as the quality gate even before CI exists.
shawnpang/startup-founder-skills,pm-core,"Bake assumption-tracking with evidence + invalidation criteria into doc-generation skills so outputs are falsifiable, not just plausible."
shawnpang/startup-founder-skills,pm-core,"Ship a one-command, harness-agnostic installer (`npx skills add`) with cherry-pick and list flags so an enablement program can roll out a curated subset per role."
aakashg/pm-claude-skills,pm-core,Teach the 'CLAUDE.md = durable identity/company-context/voice (loads every session); skills = task playbooks (load on trigger)' split as the first principle of an AI-PM enablement program — it's the cleanest token-economy mental model and the repo's whole thesis.
aakashg/pm-claude-skills,pm-core,Ship a SKILL-TEMPLATE.md with a fixed section contract (Trigger / Context / Instructions / Constraints / Output Format / Examples / Anti-patterns) so every PM authors skills in one shape; pair it with a 5-step 'create your own skill' tutorial to make authoring self-serve.
aakashg/pm-claude-skills,pm-core,"Use contrastive Good-vs-Bad examples on the same input, annotated with the failure reason — this raises output consistency faster than adding more instructions (the repo explicitly notes 'Examples teach Claude patterns faster than instructions')."
aakashg/pm-claude-skills,pm-core,"Encode PM frameworks as scoring GUIDES with concrete numeric thresholds + a final verdict label (GO/ITERATE/STOP) so judgment becomes a repeatable, auditable scorecard."
aakashg/pm-claude-skills,pm-core,"Build an interactive elicitation gate (3-4 clarifying questions, with coded pushback on vague answers) into every generation skill so the model never produces confident output on thin input."
aakashg/pm-claude-skills,pm-core,"Bake anti-hallucination markers ('[NEED: …]', 'ASSUMPTION: …') and rating caps into the output contract so missing data is surfaced rather than fabricated."
slgoodrich/agents,pm-team,"Anchor every PM agent on a small, fixed, version-controllable context folder (8 markdown files) and make 'read context first, ask only for gaps' a hard rule in each agent's prompt — this is the single biggest lever for product-specific (vs generic) AI output and the cheapest thing to replicate in an enterprise PM enablement kit."
slgoodrich/agents,pm-team,"Use the filesystem as the inter-agent bus: have discovery/research subagents WRITE provenance-stamped facts to shared context files and have downstream agents re-read them, rather than passing large blobs back through the orchestrator — keeps the main window clean and makes every artifact auditable."
slgoodrich/agents,pm-team,"Encode methodology AND its anti-patterns: skills here name the framework's author (RICE=Intercom, Devil's Advocacy) AND list failure modes (Consensus Theater, False Precision, TAM-fantasy), which trains better judgment than templates alone."
slgoodrich/agents,pm-team,"Model-tier the fleet in frontmatter: a cheap model for mechanical file-scanning, frontier models for reasoning and adversarial review — a one-line cost-control pattern worth standardizing across a corporate agent catalog."
slgoodrich/agents,pm-team,Make high-stakes decisions go through a structured 3-phase debate (independent -> cross-examine -> weighted synthesis with documented dissent) and bake a named adversary that rates its own confidence — turns 'ask the AI' into a defensible BUILD/DON'T-BUILD verdict suitable for stakeholder review.
slgoodrich/agents,pm-team,Auto-select the right artifact heavyweight via a transparent scored rubric (3-axis 0-10 complexity -> Lean/Comprehensive/Google PRD) and show the reasoning — gives non-PMs right-sized rigor without choosing templates themselves.
slgoodrich/agents,pm-team,Ship as installable Claude Code plugins with a marketplace.json so an org can roll out a versioned PM toolkit (core + optional advanced team presets) and let users install only what they need.
aakashg/pm-claude-code-setup,pm-team,"Ship enablement as a sub-60-line fill-in CLAUDE.md form (Role/Product/Primary metric/Guardrails/OKRs/Terminology) rather than a wiki — a PM is productive in 2 minutes, and the brevity itself improves instruction-following. Pair with a hard 'prune at ~150 lines, move domain knowledge to skills' rule."
aakashg/pm-claude-code-setup,pm-team,A reviewer-persona TABLE plus a 'review as [role]' verbal contract gives every PM a multi-lens critique (engineer/designer/exec/skeptic/customer/data-analyst) with zero agent tooling — the cheapest high-leverage piece to standardize across a team.
aakashg/pm-claude-code-setup,pm-team,"Make every skill an elicitation gate first: 3-5 mandatory clarifying questions with 'do NOT proceed until answered' kills blind generation, the #1 complaint about AI PM output."
aakashg/pm-claude-code-setup,pm-team,"Bake anti-hallucination into the output contract with `[NEED: data from X]` / `[NEEDS INSTRUMENTATION]` placeholders and a banned-words list — turns 'don't fabricate' from a hope into a visible, gradable artifact."
aakashg/pm-claude-code-setup,pm-team,"Teach via Good-vs-Bad pairs and an Anti-Patterns catalogue inside each skill, not just a target template; PMs learn the failure mode (vague metric, evidence-free problem statement) faster than the ideal."
aakashg/pm-claude-code-setup,pm-team,"Encode the deliverable as a staged lifecycle (PRD stages 1-6 ending in a post-launch results link) so the same doc is the durable source of truth across the build-measure-learn loop — a reusable pattern for roadmaps, launches, OKRs."
aakashg/pm-claude-code-setup,pm-team,"Standardize session hygiene as policy: /clear between unrelated tasks, a ~40-50 exchange cap, and a HANDOFF.md (state/decisions/open-questions/next-steps) round-trip with `claude --continue` — portable to any corporate Claude Code rollout."
aakashg/pm-claude-code-setup,pm-team,Add a self-improvement protocol that routes corrections by altitude (one-off -> propose a CLAUDE.md rule with approval; recurring -> a scoped rules file) so team configs compound without bloating.
jinjin1/Cursor-for-Product-Managers,pm-team,"Separate orchestration from capability: build a flat library of single-purpose /slash skills (each a SKILL.md with name+description frontmatter and an enforced output contract), then add thin 'agent' files that just sequence those skills with approval gates. AI-PMs can run any skill alone or invoke a full pipeline, and you maintain logic in one place."
jinjin1/Cursor-for-Product-Managers,pm-team,"Make the folder taxonomy the context store: a fixed initiatives/<name>/{interviews,opportunities,assumptions,solutions,prd,tasks} tree (scaffolded by one setup command copying a _templates dir with .gitkeep) gives every skill predictable read/write slots — no vector DB needed, and onboarding is 'just open the repo'."
jinjin1/Cursor-for-Product-Managers,pm-team,"Encode a named methodology end-to-end, not as a topic but as a sequenced artifact chain: Continuous Discovery becomes snapshots→synthesis→opportunities→solutions→assumptions, each step a skill that consumes the prior artifact — teaches the framework by making the tool enforce it."
jinjin1/Cursor-for-Product-Managers,pm-team,"Bake an always-on anti-sycophancy / sparring rule into the root instruction file: ban hedging phrases, enumerate the domain's classic failure patterns to flag, and demand specificity (named users over categories). This single alwaysApply rule raises the quality of every interaction."
jinjin1/Cursor-for-Product-Managers,pm-team,"Use interactive elicitation gates before generation (ask 3–5 numbered+lettered clarifying questions; refuse to proceed past ideation until the human supplies their own ideas) to prevent the agent from producing confident, ungrounded PM docs."
jinjin1/Cursor-for-Product-Managers,pm-team,Quantitative prioritization can be fully prompt-encoded: ICE with explicit mapping tables and evidence-type weighting + a 'score only on stated evidence' guard delivers rigor without shipping or maintaining code.
msitarzewski/agency-agents,pm-team,"Standardize a single agent-file anatomy and enforce it across every role: frontmatter (name/description-as-trigger/tools-allowlist/persona-vibe) + body sections Identity&Memory → Mission → Critical Rules (hard gates) → Deliverable Templates → Workflow Phases → Success Metrics. New PM agents become fill-in-the-blanks, and the uniformity is what makes downstream tooling (install, lint, transpile) possible."
msitarzewski/agency-agents,pm-team,"Bundle the OUTPUT TEMPLATES inside the agent, not just the persona. An AI-PM enablement skill should carry the actual PRD/Opportunity-Assessment/Roadmap/GTM/Sprint-Health markdown skeletons (with metric tables that force baseline/target/measurement-window and a 'what we are NOT building' section) so the model produces house-style artifacts, not generic prose."
msitarzewski/agency-agents,pm-team,"Encode hard process gates as 'Critical Rules' the agent must obey: ≥5 problem interviews before solution talk, no roadmap item without owner+metric+horizon, PRFAQ before PRD, a blocker open >24h is a failure. These convert a methodology into checkable behavior."
msitarzewski/agency-agents,pm-team,"For discovery, run a fan-out of role-scoped agents on the SAME brief with an explicit 'work independently, do not coordinate' instruction, then a synthesis pass that reports BOTH where they converged (signals) and where they disagreed (tensions for a human to decide)—a fast, honest alternative to a single mega-prompt."
msitarzewski/agency-agents,pm-team,"Keep one canonical source and a converter so the same PM playbook runs in whatever tool the org uses (Claude Code, Cursor, Copilot, Codex). Author once in markdown+frontmatter; let a build step inject each harness's required metadata."
msitarzewski/agency-agents,pm-team,"Adopt a fixed memory-bank path convention (spec-as-source-of-truth file in, task/decision artifacts out, keyed by project slug) so multi-step agent work is resumable and auditable without bespoke plumbing."
contains-studio/agents,pm-team,"A reusable house-style system-prompt skeleton (identity → numbered responsibilities → named-framework blocks → anti-patterns → output templates → metrics) lets a team author many consistent, high-quality PM agents fast — give AI-PM trainees this skeleton as a fill-in-the-blanks template."
contains-studio/agents,pm-team,"Put the framework knowledge (RICE/Kano/JTBD/OKR) INSIDE the agent prompt as an explicit menu plus a fenced decision template — this is the cheapest way to make a generalist model behave like a disciplined PM, and it's directly liftable into a SoftServe AI-PM enablement pack."
contains-studio/agents,pm-team,"Encode invocation as few-shot <example> blocks in the description field: teach PMs that WHEN an agent fires is itself an artifact you curate (add examples for the cases you want caught), not magic."
contains-studio/agents,pm-team,"Per-agent least-privilege `tools:` allowlists are a simple, auditable governance lever — only the orchestrator gets `Task`; researchers get web tools; planners get TodoWrite — a clean model for role/permission boundaries in an enterprise rollout."
contains-studio/agents,pm-team,Numeric decision gates written in prose (trend-researcher's momentum/growth thresholds; sprint-prioritizer's P0/P1/P2 + Include/Defer/Cut) turn fuzzy PM judgment into repeatable rubrics — a pattern worth standardizing across an org's prioritization agents.
contains-studio/agents,pm-team,"CAUTION for a corporate program: this repo's lack of any shared context file means every cadence/value is duplicated per agent and can drift — a jumpstart should ADD a CLAUDE.md/constitution layer that these agents reference rather than re-state, getting the best of both."
contains-studio/agents,pm-team,Install simplicity (clone → copy .md into ~/.claude/agents/ → restart) lowers adoption friction to near-zero; a corporate pack can mirror this with a one-command installer while adding the missing governance/context layer.
nanagajui/agentic_prd,pm-team,"The cheapest way to stand up a multi-role AI-PM team is crewAI's two-file config pattern: roles in agents.yaml (role/goal/backstory), workflow in tasks.yaml (description/expected_output/context/agent) — a SoftServe jumpstart could ship a parameterizable team where trainees only edit YAML, never Python."
nanagajui/agentic_prd,pm-team,Model the PM artifact pipeline as a DAG via per-task `context:` lists; the final synthesis task fans in all upstream artifacts. This teaches doc-handoff thinking (each role produces the input for the next) without any orchestration code.
nanagajui/agentic_prd,pm-team,"Inject a shared 'spec-writing constitution' (rules.txt) as crew-level knowledge so every agent obeys the same standards — a reusable governance file (design-before-code, start small, TDD, gap-flag) is more durable than baking rules into each persona prompt."
nanagajui/agentic_prd,pm-team,"Make 'optimized for the downstream agentic coder' an explicit, repeated output requirement; framing PRDs as machine-consumed context (not human docs) is a concrete, teachable shift for AI-PM enablement."
nanagajui/agentic_prd,pm-team,"Embed a critic role inside the sequential chain (the SME review task feeding the designer) as a low-cost quality gate, instead of relying on a separate adversarial verification pass."
bmad-code-org/BMAD-METHOD,pm-framework,"Encode named PM frameworks directly into the agent persona, not just the docs: BMAD's PM bakes 'think like Cagan/Torres, write with Bezos six-pager discipline; PRDs from interviews not template-filling' into customize.toml — a corporate AI-PM program can ship role personas whose principles ARE the company's product operating model."
bmad-code-org/BMAD-METHOD,pm-framework,"Make the artifact the handoff contract: a status-gated, checklist-validated story/PRD file with a mandatory 'References (source path+section)' block lets each stage hand a fresh agent exactly the cited context it needs — adopt 'every step writes the doc the next step reads, and citations are required' as the enablement standard."
bmad-code-org/BMAD-METHOD,pm-framework,"Shard big docs into ##-section files + an index.md and load only the relevant shard (SELECTIVE_LOAD) — gives just-in-time retrieval over a knowledge base with zero vector infrastructure, ideal for a PM org that lives in markdown/Confluence-style docs."
bmad-code-org/BMAD-METHOD,pm-framework,"Separate the persona-router (human-facing menu agent) from the worker skills it dispatches to, and force skill:name invocation (no cross-skill file paths) — keeps a growing skill library refactorable and lets non-engineers navigate via numbered menus."
bmad-code-org/BMAD-METHOD,pm-framework,"Ship a base→team→user customization layer so a central skills team owns the canonical methodology while each squad/PM tunes voice, persistent project facts, and activation steps without forking — the key to scaling one skill set across many teams."
bmad-code-org/BMAD-METHOD,pm-framework,"Run a deterministic skill-validator in CI (frontmatter triggers, naming, cross-ref hygiene, JSON output) before any skill merges — a corporate program needs this to keep dozens of contributed skills consistent and trustworthy."
bmad-code-org/BMAD-METHOD,pm-framework,"Distribute planning skills as web bundles for ChatGPT/Gemini so non-technical PMs do discovery in cheap subscriptions, then graduate the artifacts into the engineering harness — a pragmatic cost/adoption on-ramp."
bmad-code-org/BMAD-METHOD,pm-framework,"Add a fresh-context adversarial reviewer that must find ≥N issues and treats zero findings as suspicious, run against every spec/PRD before sign-off, to counter confirmation bias in agent-generated docs."
automazeio/ccpm,pm-framework,"Make the spec the database: have PMs produce a frontmatter'd PRD/epic/task tree that agents read and write, and round-trip it into your existing issue tracker (Jira/GitHub) so AI work is visible in the same tooling the org already uses — no separate 'AI memory' silo."
automazeio/ccpm,pm-framework,"Force an elicitation gate before any generation: a mandatory 5-question discovery (problem/users/success/out-of-scope/constraints) plus quality gates (every user story needs acceptance criteria, every success metric measurable) is a cheap, copyable anti-placeholder contract for PM artifacts."
automazeio/ccpm,pm-framework,"Separate deterministic from probabilistic work: push all status/rollup/validation to plain scripts and tell the model to just run them — saves tokens, removes hallucinated status, and gives reproducible standups."
automazeio/ccpm,pm-framework,"A single router skill + per-phase reference docs + shared conventions.md is a clean, low-token pattern for a multi-step PM workflow: one always-loaded entry point, progressive disclosure into the active phase only."
automazeio/ccpm,pm-framework,"For parallel AI execution, pre-compute a per-task 'stream analysis' that assigns explicit file scopes and dependency gates, then fan out one agent per scope inside a shared git worktree — gives speed without merge chaos, and the file-scope assignment is the practical 'firewall'."
github/spec-kit,pm-framework,"Anchor an enablement program on a fixed artifact chain (problem-brief → spec → plan → tasks → build) where each step produces ONE markdown file the next consumes; the written spec, not the chat, is the durable deliverable a PM can review and version."
github/spec-kit,pm-framework,"Ship a 'constitution' per team: a short semver-versioned principles file that every generated artifact must pass against, with conflicts flagged CRITICAL — gives leadership an anti-drift governance lever over AI output."
github/spec-kit,pm-framework,"Adopt the 'checklist = unit test for the requirement' framing: before any build, auto-generate quality checks on the SPEC's clarity/completeness and hard-gate downstream steps on their pass rate — teaches PMs to write testable requirements."
github/spec-kit,pm-framework,"Use a clarify step with a fixed ambiguity taxonomy that asks ≤5 targeted questions and writes answers back into the spec, before planning — institutionalizes 'reduce ambiguity early' as a tool, not a habit."
github/spec-kit,pm-framework,"Package one prompt/template set that installs natively into whatever harness each employee uses (Claude Code skills, Copilot/Cursor markdown, Gemini TOML) via per-agent base classes — one source of truth, many runtimes, no per-team forks."
github/spec-kit,pm-framework,Provide org-level customization via a layered template-resolution stack + version-pinned role bundles so a central team can enforce compliant spec/plan formats without blocking local overrides.
github/spec-kit,pm-framework,Heed the documented forking postmortem: don't route a step to a fresh subagent for 'context savings' unless it truly returns a compact summary — measure the returned payload size first.
snarktank/ai-dev-tasks,pm-framework,"Encode a multi-stage PM workflow as a small set of @-referenceable markdown prompt files — no runtime, no plugin, instantly portable across Cursor/Claude Code/Windsurf/Amp. Lowest-friction way to ship an enablement 'method' to a mixed-tool org."
