Place,County,Type,Data status,"Drive to SF (min, off-peak)",Miles to SF (straight line),Urban rank (1=most urban),Population,2BR median rent $,3BR median rent $,2BR under $4k supply,3BR under $4k supply,Violent crime /1k,Property crime /1k,School district,Sources
Tenderloin,San Francisco,SF neighbourhood,Partly measured (2/6),7.1,1.4,7,28000,2995,,Plenty,-,37.0,,San Francisco Unified School District,zumper.com; yahoo.com (syndicated news analysis of 2025 SFPD neighborhood data); composition stats from niche.com / civichub.us
Treasure Island,San Francisco,SF neighbourhood,Partly measured (1/6),9.8,2.3,40,2500,5579,,Few,-,,,San Francisco Unified School District,apartments.com; safemap.io
Twin Peaks,San Francisco,SF neighbourhood,Measured,15.6,4.3,11,7000,3043,5183,Plenty,Few,3.9,34.7,San Francisco Unified School District,rentable.co; crimegrade.org (rates); areavibes.com (violent-crime odds)
Visitacion Valley,San Francisco,SF neighbourhood,Measured,19.9,5.8,32,19000,5051,3972,Few,Some,4.9,17.8,San Francisco Unified School District,apartmenthomeliving.com; crimegrade.org
West of Twin Peaks,San Francisco,SF neighbourhood,Partly measured (3/6),19.1,5.5,21,39000,4367,,Some,-,2.6,28.6,San Francisco Unified School District,apartmenthomeliving.com; areavibes.com (rates); philipfarrproperties.com / reolink.com (Grade A / safest-neighborhood ranking)
Western Addition,San Francisco,SF neighbourhood,Partly measured (3/6),10.3,2.4,6,25000,4109,,Some,-,10.6,47.6,San Francisco Unified School District,renthop.com; crimegrade.org (violent rate); areavibes.com (property odds); safemap.io / doorprofit.com (grades)
Ashland,Alameda,Unincorporated community,NOT YET MEASURED - search budget exhausted,29.7,16.8,60,23192,,,-,-,,,,
Castro Valley,Alameda,Unincorporated community,NOT YET MEASURED - search budget exhausted,31.4,18.2,62,66441,,,-,-,,,,
Cherryland,Alameda,Unincorporated community,NOT YET MEASURED - search budget exhausted,31.2,18.0,58,15882,,,-,-,,,,
Fairview,Alameda,Unincorporated community,NOT YET MEASURED - search budget exhausted,35.2,21.3,72,10003,,,-,-,,,,
Hayward,Alameda,City,NOT YET MEASURED - search budget exhausted,32.7,19.2,64,162954,,,-,-,,,,
Livermore,Alameda,City,NOT YET MEASURED - search budget exhausted,52.5,35.1,161,87955,,,-,-,,,,
Pleasanton,Alameda,City,NOT YET MEASURED - search budget exhausted,45.9,29.8,134,79871,,,-,-,,,,
San Leandro,Alameda,City,NOT YET MEASURED - search budget exhausted,26.0,13.9,63,91008,,,-,-,,,,
San Lorenzo,Alameda,Unincorporated community,NOT YET MEASURED - search budget exhausted,29.6,16.7,61,29581,,,-,-,,,,
Sunol,Alameda,Unincorporated community,NOT YET MEASURED - search budget exhausted,47.4,31.0,137,913,,,-,-,,,,
Union City,Alameda,City,NOT YET MEASURED - search budget exhausted,38.3,23.7,77,70143,,,-,-,,,,
Acalanes Ridge,Contra Costa,Unincorporated community,NOT YET MEASURED - search budget exhausted,33.8,18.8,108,1137,,,-,-,,,,
Alamo,Contra Costa,Unincorporated community,NOT YET MEASURED - search budget exhausted,37.9,20.1,118,14570,,,-,-,,,,
Antioch,Contra Costa,City,NOT YET MEASURED - search budget exhausted,56.3,35.2,154,115291,,,-,-,,,,
Bay Point,Contra Costa,Unincorporated community,NOT YET MEASURED - search budget exhausted,48.4,28.7,151,25275,,,-,-,,,,
Bethel Island,Contra Costa,Unincorporated community,NOT YET MEASURED - search budget exhausted,66.9,43.8,185,2137,,,-,-,,,,
Blackhawk,Contra Costa,Unincorporated community,NOT YET MEASURED - search budget exhausted,47.5,26.4,150,9354,,,-,-,,,,
Brentwood,Contra Costa,City,NOT YET MEASURED - search budget exhausted,61.3,39.2,170,64292,,,-,-,,,,
Byron,Contra Costa,Unincorporated community,NOT YET MEASURED - search budget exhausted,64.2,41.5,191,1277,,,-,-,,,,
Clayton,Contra Costa,City,NOT YET MEASURED - search budget exhausted,45.9,26.9,148,11070,,,-,-,,,,
Concord,Contra Costa,City,NOT YET MEASURED - search budget exhausted,40.7,23.5,126,125410,,,-,-,,,,
Contra Costa Centre,Contra Costa,Unincorporated community,NOT YET MEASURED - search budget exhausted,36.4,20.6,112,6097,,,-,-,,,,
Crockett,Contra Costa,Unincorporated community,NOT YET MEASURED - search budget exhausted,41.6,20.3,142,3268,,,-,-,,,,
Danville,Contra Costa,Town,NOT YET MEASURED - search budget exhausted,40.2,21.6,125,43582,,,-,-,,,,
Diablo,Contra Costa,Unincorporated community,NOT YET MEASURED - search budget exhausted,43.7,23.9,141,1113,,,-,-,,,,
Discovery Bay,Contra Costa,Unincorporated community,NOT YET MEASURED - search budget exhausted,67.2,44.0,192,15235,,,-,-,,,,
El Cerrito,Contra Costa,City,NOT YET MEASURED - search budget exhausted,25.1,9.5,67,25962,,,-,-,,,,
El Sobrante,Contra Costa,Unincorporated community,NOT YET MEASURED - search budget exhausted,31.3,13.6,106,14169,,,-,-,,,,
Hercules,Contra Costa,City,NOT YET MEASURED - search budget exhausted,35.6,16.4,129,26016,,,-,-,,,,
Kensington,Contra Costa,Unincorporated community,NOT YET MEASURED - search budget exhausted,25.8,9.9,65,5077,,,-,-,,,,
Knightsen,Contra Costa,Unincorporated community,NOT YET MEASURED - search budget exhausted,64.4,41.7,176,1568,,,-,-,,,,
Lafayette,Contra Costa,City,NOT YET MEASURED - search budget exhausted,30.1,16.3,100,25391,,,-,-,,,,
Martinez,Contra Costa,City,NOT YET MEASURED - search budget exhausted,37.0,21.0,136,37287,,,-,-,,,,
Moraga,Contra Costa,Town,NOT YET MEASURED - search budget exhausted,27.7,14.7,88,16870,,,-,-,,,,
North Richmond,Contra Costa,Unincorporated community,NOT YET MEASURED - search budget exhausted,27.3,10.9,98,4079,,,-,-,,,,
Oakley,Contra Costa,City,NOT YET MEASURED - search budget exhausted,61.9,39.7,166,43357,,,-,-,,,,
Orinda,Contra Costa,City,NOT YET MEASURED - search budget exhausted,25.2,13.0,78,19514,,,-,-,,,,
Pacheco,Contra Costa,Unincorporated community,NOT YET MEASURED - search budget exhausted,38.0,21.6,127,4022,,,-,-,,,,
Pinole,Contra Costa,City,NOT YET MEASURED - search budget exhausted,34.1,15.3,124,19038,,,-,-,,,,
Pittsburg,Contra Costa,City,NOT YET MEASURED - search budget exhausted,52.5,32.1,152,76416,,,-,-,,,,
Pleasant Hill,Contra Costa,City,NOT YET MEASURED - search budget exhausted,37.1,21.0,114,34613,,,-,-,,,,
Richmond,Contra Costa,City,NOT YET MEASURED - search budget exhausted,25.9,10.0,73,116448,,,-,-,,,,
Rodeo,Contra Costa,Unincorporated community,NOT YET MEASURED - search budget exhausted,37.8,17.8,132,10563,,,-,-,,,,
San Pablo,Contra Costa,City,NOT YET MEASURED - search budget exhausted,28.7,11.8,97,31845,,,-,-,,,,
San Ramon,Contra Costa,City,NOT YET MEASURED - search budget exhausted,41.9,22.7,121,84605,,,-,-,,,,
Saranap,Contra Costa,Unincorporated community,NOT YET MEASURED - search budget exhausted,33.3,18.5,109,5652,,,-,-,,,,
Tara Hills,Contra Costa,Unincorporated community,NOT YET MEASURED - search budget exhausted,33.1,14.7,119,5126,,,-,-,,,,
Vine Hill,Contra Costa,Unincorporated community,NOT YET MEASURED - search budget exhausted,37.8,21.5,135,3761,,,-,-,,,,
Walnut Creek,Contra Costa,City,NOT YET MEASURED - search budget exhausted,35.0,19.6,111,70127,,,-,-,,,,
Belvedere,Marin,City,NOT YET MEASURED - search budget exhausted,19.4,6.6,82,2126,,,-,-,,,,
Black Point-Green Point,Marin,Unincorporated community,NOT YET MEASURED - search budget exhausted,35.2,23.2,179,1306,,,-,-,,,,
Bolinas,Marin,Unincorporated community,NOT YET MEASURED - search budget exhausted,49.2,17.8,184,1620,,,-,-,,,,
Corte Madera,Marin,Town,NOT YET MEASURED - search budget exhausted,24.2,11.6,133,10222,,,-,-,,,,
Fairfax,Marin,Town,NOT YET MEASURED - search budget exhausted,29.3,17.0,162,7605,,,-,-,,,,
Greenbrae,Marin,Unincorporated community,NOT YET MEASURED - search budget exhausted,25.1,12.6,139,1586,,,-,-,,,,
Inverness,Marin,Unincorporated community,NOT YET MEASURED - search budget exhausted,69.1,32.9,216,1304,,,-,-,,,,
Kentfield,Marin,Unincorporated community,NOT YET MEASURED - search budget exhausted,26.5,14.0,147,6485,,,-,-,,,,
Lagunitas-Forest Knolls,Marin,Unincorporated community,NOT YET MEASURED - search budget exhausted,54.9,22.1,195,1435,,,-,-,,,,
Larkspur,Marin,City,NOT YET MEASURED - search budget exhausted,24.9,12.3,140,13064,,,-,-,,,,
Lucas Valley-Marinwood,Marin,Unincorporated community,NOT YET MEASURED - search budget exhausted,31.5,19.3,169,6043,,,-,-,,,,
Marin City,Marin,Unincorporated community,NOT YET MEASURED - search budget exhausted,20.9,8.1,107,3061,,,-,-,,,,
Mill Valley,Marin,City,NOT YET MEASURED - search budget exhausted,23.9,11.2,138,14231,,,-,-,,,,
Novato,Marin,City,NOT YET MEASURED - search budget exhausted,35.6,23.6,174,53225,,,-,-,,,,
Point Reyes Station,Marin,Unincorporated community,NOT YET MEASURED - search budget exhausted,64.4,29.3,212,848,,,-,-,,,,
Ross,Marin,Town,NOT YET MEASURED - search budget exhausted,27.0,14.5,149,2338,,,-,-,,,,
San Anselmo,Marin,Town,NOT YET MEASURED - search budget exhausted,27.8,15.4,153,12830,,,-,-,,,,
San Rafael,Marin,City,NOT YET MEASURED - search budget exhausted,26.9,14.4,145,61271,,,-,-,,,,
Santa Venetia,Marin,Unincorporated community,NOT YET MEASURED - search budget exhausted,28.2,15.8,155,4834,,,-,-,,,,
Sausalito,Marin,City,NOT YET MEASURED - search budget exhausted,19.5,6.7,83,7269,,,-,-,,,,
Sleepy Hollow,Marin,Unincorporated community,NOT YET MEASURED - search budget exhausted,29.0,16.6,157,2428,,,-,-,,,,
Stinson Beach,Marin,Unincorporated community,NOT YET MEASURED - search budget exhausted,46.1,15.5,171,632,,,-,-,,,,
Strawberry,Marin,Unincorporated community,NOT YET MEASURED - search budget exhausted,21.8,9.0,117,5393,,,-,-,,,,
Tamalpais-Homestead Valley,Marin,Unincorporated community,NOT YET MEASURED - search budget exhausted,22.3,9.6,128,10377,,,-,-,,,,
Tiburon,Marin,Town,NOT YET MEASURED - search budget exhausted,19.3,6.4,80,9148,,,-,-,,,,
Woodacre,Marin,Unincorporated community,NOT YET MEASURED - search budget exhausted,52.6,20.3,181,1566,,,-,-,,,,
American Canyon,Napa,City,NOT YET MEASURED - search budget exhausted,44.8,27.2,165,21837,,,-,-,,,,
Angwin,Napa,Unincorporated community,NOT YET MEASURED - search budget exhausted,80.8,53.9,215,3051,,,-,-,,,,
Calistoga,Napa,City,NOT YET MEASURED - search budget exhausted,82.3,55.1,208,5228,,,-,-,,,,
Deer Park,Napa,Unincorporated community,NOT YET MEASURED - search budget exhausted,76.4,50.7,210,1200,,,-,-,,,,
Napa,Napa,City,NOT YET MEASURED - search budget exhausted,55.5,35.2,178,79246,,,-,-,,,,
St. Helena,Napa,City,NOT YET MEASURED - search budget exhausted,74.4,49.2,209,5438,,,-,-,,,,
Yountville,Napa,Town,NOT YET MEASURED - search budget exhausted,64.6,41.9,204,2933,,,-,-,,,,
Japantown,San Francisco,SF neighbourhood,NOT YET MEASURED - search budget exhausted,9.3,2.1,12,3900,,,-,-,,,San Francisco Unified School District,doorprofit.com; safemap.io
Atherton,San Mateo,Town,NOT YET MEASURED - search budget exhausted,34.8,25.5,94,7188,,,-,-,,,,
Belmont,San Mateo,City,NOT YET MEASURED - search budget exhausted,28.1,20.1,104,28335,,,-,-,,,,
Brisbane,San Mateo,City,NOT YET MEASURED - search budget exhausted,13.2,7.9,47,4851,,,-,-,,,,
Broadmoor,San Mateo,Unincorporated community,NOT YET MEASURED - search budget exhausted,15.7,8.7,53,4176,,,-,-,,,,
Burlingame,San Mateo,City,NOT YET MEASURED - search budget exhausted,22.2,15.2,90,31386,,,-,-,,,,
Burlingame Hills,San Mateo,Unincorporated community,NOT YET MEASURED - search budget exhausted,23.8,15.5,99,1545,,,-,-,,,,
Colma,San Mateo,Town,NOT YET MEASURED - search budget exhausted,16.0,9.0,52,1507,,,-,-,,,,
Daly City,San Mateo,City,NOT YET MEASURED - search budget exhausted,15.5,8.5,49,104901,,,-,-,,,,
East Palo Alto,San Mateo,City,NOT YET MEASURED - search budget exhausted,36.0,26.5,81,30034,,,-,-,,,,
El Granada,San Mateo,Unincorporated community,NOT YET MEASURED - search budget exhausted,31.9,20.7,164,5417,,,-,-,,,,
Emerald Lake Hills,San Mateo,Unincorporated community,NOT YET MEASURED - search budget exhausted,33.8,23.8,116,4528,,,-,-,,,,
Foster City,San Mateo,City,NOT YET MEASURED - search budget exhausted,25.2,17.7,96,33805,,,-,-,,,,
Half Moon Bay,San Mateo,City,NOT YET MEASURED - search budget exhausted,36.1,23.0,168,11795,,,-,-,,,,
Highlands-Baywood Park,San Mateo,Unincorporated community,NOT YET MEASURED - search budget exhausted,27.9,18.9,120,4376,,,-,-,,,,
Hillsborough,San Mateo,Town,NOT YET MEASURED - search budget exhausted,23.6,15.3,103,11387,,,-,-,,,,
La Honda,San Mateo,Unincorporated community,NOT YET MEASURED - search budget exhausted,54.9,33.6,175,928,,,-,-,,,,
Ladera,San Mateo,Unincorporated community,NOT YET MEASURED - search budget exhausted,41.3,30.0,130,1499,,,-,-,,,,
Menlo Oaks,San Mateo,Unincorporated community,NOT YET MEASURED - search budget exhausted,35.1,25.7,85,3127,,,-,-,,,,
Menlo Park,San Mateo,City,NOT YET MEASURED - search budget exhausted,35.9,26.4,89,33780,,,-,-,,,,
Millbrae,San Mateo,City,NOT YET MEASURED - search budget exhausted,20.2,13.6,87,23216,,,-,-,,,,
Montara,San Mateo,Unincorporated community,NOT YET MEASURED - search budget exhausted,28.1,18.5,160,2833,,,-,-,,,,
Moss Beach,San Mateo,Unincorporated community,NOT YET MEASURED - search budget exhausted,30.1,19.7,167,3103,,,-,-,,,,
North Fair Oaks,San Mateo,Unincorporated community,NOT YET MEASURED - search budget exhausted,33.7,24.6,92,14687,,,-,-,,,,
Pacifica,San Mateo,City,NOT YET MEASURED - search budget exhausted,19.2,13.5,113,38640,,,-,-,,,,
Pescadero,San Mateo,Unincorporated community,NOT YET MEASURED - search budget exhausted,61.5,37.3,207,643,,,-,-,,,,
Portola Valley,San Mateo,Town,NOT YET MEASURED - search budget exhausted,41.0,29.7,144,4456,,,-,-,,,,
Redwood City,San Mateo,City,NOT YET MEASURED - search budget exhausted,31.8,23.1,101,84292,,,-,-,,,,
San Bruno,San Mateo,City,NOT YET MEASURED - search budget exhausted,17.5,11.4,68,43908,,,-,-,,,,
San Carlos,San Mateo,City,NOT YET MEASURED - search budget exhausted,29.5,21.2,102,30722,,,-,-,,,,
San Mateo,San Mateo,City,NOT YET MEASURED - search budget exhausted,23.7,16.5,93,105661,,,-,-,,,,
South San Francisco,San Mateo,City,NOT YET MEASURED - search budget exhausted,15.4,9.8,56,66105,,,-,-,,,,
West Menlo Park,San Mateo,Unincorporated community,NOT YET MEASURED - search budget exhausted,38.5,27.6,110,3712,,,-,-,,,,
Woodside,San Mateo,Town,NOT YET MEASURED - search budget exhausted,37.0,26.4,131,5309,,,-,-,,,,
Alum Rock,Santa Clara,Unincorporated community,NOT YET MEASURED - search budget exhausted,55.3,42.9,70,13479,,,-,-,,,,
Burbank,Santa Clara,Unincorporated community,NOT YET MEASURED - search budget exhausted,53.3,41.2,44,5157,,,-,-,,,,
Cambrian Park,Santa Clara,Unincorporated community,NOT YET MEASURED - search budget exhausted,57.6,45.0,86,3281,,,-,-,,,,
Campbell,Santa Clara,City,NOT YET MEASURED - search budget exhausted,55.0,42.7,57,42726,,,-,-,,,,
Cupertino,Santa Clara,City,NOT YET MEASURED - search budget exhausted,50.0,38.2,59,60381,,,-,-,,,,
East Foothills,Santa Clara,Unincorporated community,NOT YET MEASURED - search budget exhausted,54.9,42.6,71,8269,,,-,-,,,,
Gilroy,Santa Clara,City,NOT YET MEASURED - search budget exhausted,86.7,70.9,197,59520,,,-,-,,,,
Lexington Hills,Santa Clara,Unincorporated community,NOT YET MEASURED - search budget exhausted,60.6,47.6,156,2530,,,-,-,,,,
Los Altos,Santa Clara,City,NOT YET MEASURED - search budget exhausted,43.1,32.2,74,31625,,,-,-,,,,
Los Altos Hills,Santa Clara,Town,NOT YET MEASURED - search budget exhausted,43.7,32.0,95,8489,,,-,-,,,,
Los Gatos,Santa Clara,Town,NOT YET MEASURED - search budget exhausted,58.0,45.3,115,33529,,,-,-,,,,
Loyola,Santa Clara,Unincorporated community,NOT YET MEASURED - search budget exhausted,46.8,34.6,84,3477,,,-,-,,,,
Milpitas,Santa Clara,City,NOT YET MEASURED - search budget exhausted,48.5,36.9,69,80273,,,-,-,,,,
Monte Sereno,Santa Clara,City,NOT YET MEASURED - search budget exhausted,57.0,44.4,123,3479,,,-,-,,,,
Morgan Hill,Santa Clara,City,NOT YET MEASURED - search budget exhausted,75.8,61.3,187,45952,,,-,-,,,,
Mountain View,Santa Clara,City,NOT YET MEASURED - search budget exhausted,44.0,33.0,66,82376,,,-,-,,,,
Palo Alto,Santa Clara,City,NOT YET MEASURED - search budget exhausted,37.9,28.0,79,68572,,,-,-,,,,
San Jose,Santa Clara,City,NOT YET MEASURED - search budget exhausted,54.3,42.1,45,983489,,,-,-,,,,
San Martin,Santa Clara,Unincorporated community,NOT YET MEASURED - search budget exhausted,80.3,65.3,200,7027,,,-,-,,,,
Santa Clara,Santa Clara,City,NOT YET MEASURED - search budget exhausted,50.7,38.8,41,127647,,,-,-,,,,
Saratoga,Santa Clara,City,NOT YET MEASURED - search budget exhausted,54.2,42.0,105,31051,,,-,-,,,,
Stanford,Santa Clara,Unincorporated community,NOT YET MEASURED - search budget exhausted,38.5,28.5,91,21150,,,-,-,,,,
Sunnyvale,Santa Clara,City,NOT YET MEASURED - search budget exhausted,47.0,35.4,54,155805,,,-,-,,,,
Benicia,Solano,City,NOT YET MEASURED - search budget exhausted,36.2,21.7,143,27131,,,-,-,,,,
Dixon,Solano,City,NOT YET MEASURED - search budget exhausted,66.4,54.6,206,18988,,,-,-,,,,
Fairfield,Solano,City,NOT YET MEASURED - search budget exhausted,50.1,36.8,158,119881,,,-,-,,,,
Rio Vista,Solano,City,NOT YET MEASURED - search budget exhausted,58.2,45.6,203,10265,,,-,-,,,,
Suisun City,Solano,City,NOT YET MEASURED - search budget exhausted,49.5,36.1,159,29518,,,-,-,,,,
Vacaville,Solano,City,NOT YET MEASURED - search budget exhausted,57.3,44.6,172,102386,,,-,-,,,,
Vallejo,Solano,City,NOT YET MEASURED - search budget exhausted,37.0,22.6,146,126090,,,-,-,,,,
Bodega Bay,Sonoma,Unincorporated community,NOT YET MEASURED - search budget exhausted,93.6,51.4,219,1077,,,-,-,,,,
Boyes Hot Springs,Sonoma,Unincorporated community,NOT YET MEASURED - search budget exhausted,57.1,36.1,193,6656,,,-,-,,,,
Cloverdale,Sonoma,City,NOT YET MEASURED - search budget exhausted,86.8,77.5,218,8995,,,-,-,,,,
Cotati,Sonoma,City,NOT YET MEASURED - search budget exhausted,51.7,40.6,177,7584,,,-,-,,,,
El Verano,Sonoma,Unincorporated community,NOT YET MEASURED - search budget exhausted,55.4,34.9,190,4282,,,-,-,,,,
Fetters Hot Springs-Agua Caliente,Sonoma,Unincorporated community,NOT YET MEASURED - search budget exhausted,58.0,36.7,196,2500,,,-,-,,,,
Forestville,Sonoma,Unincorporated community,NOT YET MEASURED - search budget exhausted,97.0,54.0,202,3293,,,-,-,,,,
Geyserville,Sonoma,Unincorporated community,NOT YET MEASURED - search budget exhausted,78.4,68.7,217,862,,,-,-,,,,
Glen Ellen,Sonoma,Unincorporated community,NOT YET MEASURED - search budget exhausted,62.7,40.0,199,1101,,,-,-,,,,
Graton,Sonoma,Unincorporated community,NOT YET MEASURED - search budget exhausted,61.7,51.1,198,1815,,,-,-,,,,
Guerneville,Sonoma,Unincorporated community,NOT YET MEASURED - search budget exhausted,103.5,59.0,213,4534,,,-,-,,,,
Healdsburg,Sonoma,City,NOT YET MEASURED - search budget exhausted,72.0,61.9,205,11340,,,-,-,,,,
