Rank,SF neighbourhood,TOTAL SCORE,Safety,Rent cost,Close to downtown,Urban density,2BR median rent $,3BR median rent $,2BR under $4k supply,3BR under $4k supply,2BR listings (live),3BR listings (live),Violent crime /1k,Property crime /1k,Drive to Ferry Bldg (min),Population,Schools,School/TK capacity,Sources,Notes
11,Inner Richmond,51.1,80.2,56.2,40.3,27.8,3695,5495,Plenty,Few,30,13,3.4,40.0,14.8,23800,SFUSD (district-wide; school-level variation not measured),"Open seats (~14,000 unfilled) but citywide choice lottery with attendance-area tiebreaker; TK expanding",renthop.com; hotpads.com; crimegrade.org,"CONVERSION FLAG: CrimeGrade published odds, not rates, for this neighborhood - '1 in 295' chance of violent victimization and '1 in 25' for property crime. I converted to per-1,000 (1000/295 = 3.39; 1000/25 = 40.0). These are conversions of a stated odds figur"
12,North Beach,50.8,32.5,37.5,94.4,38.9,5422,,Few,-,27,,7.5,88.0,5.9,13000,SFUSD (district-wide; school-level variation not measured),"Open seats (~14,000 unfilled) but citywide choice lottery with attendance-area tiebreaker; TK expanding",zumper.com; crimegrade.org; wesanfrancisco.org,"2BR rent $5,422 from Zumper; RentHop reported $4,995 (Dec 2025, up 37.7% YoY) and Apartments.com ~$2,493 - the low Apartments.com figure looks like rent-controlled/older stock skew. 3BR rent left null deliberately: Apartments.com stated ~$2,528 for 3BR, which "
13,Haight Ashbury,48.4,34.9,28.1,52.8,77.8,5203,7667,Few,Almost none,27,,8.4,43.6,12.9,17000,SFUSD (district-wide; school-level variation not measured),"Open seats (~14,000 unfilled) but citywide choice lottery with attendance-area tiebreaker; TK expanding",zumper.com; reconstructed from 2BR x 1.47 bedroom premium; crimegrade.org,"2BR: search results reported a 2BR range of $3,950-$6,899 with an average of $5,203, alongside the Zumper 2-bed page title '27 Rentals'; a competing figure of $4,495 was stated as the average for a 2BR 'near Haight-Ashbury' (wider radius, not neighborhood-scop"
14,Chinatown,47.8,7.1,31.2,97.2,55.6,4471,7752,Some,Almost none,,,17.4,,5.3,14800,SFUSD (district-wide; school-level variation not measured),"Open seats (~14,000 unfilled) but citywide choice lottery with attendance-area tiebreaker; TK expanding",apartments.com; crimegrade.org,"Rent figures carry wide cross-source spread. 2BR: $4,471 (apartments.com, recorded), with $3,994 and $3,800 also appearing in results. 3BR: $7,752 (apartments.com, recorded) versus $4,295 as of July 2026 from renthop.com -- an ~80% gap, so treat the 3BR number"
15,Potrero Hill,46.6,32.1,12.5,61.1,80.6,6500,8206,Very few,Almost none,47,21,9.3,,10.7,15000,SFUSD (district-wide; school-level variation not measured),"Open seats (~14,000 unfilled) but citywide choice lottery with attendance-area tiebreaker; TK expanding",zumper.com; apartments.com; trulia.com; rent.com; crimegrade.org,"2BR rent: Zumper reports 2BR up $1,550 (31.31%) YoY from $4,950 to $6,500 (Aug 2026). Other sources in the same results disagree materially: $6,493 (Aug 6 2026), $6,103, and $5,265 (Jan 2026) - treat the 2BR figure as a wide band ~$5.3k-$6.5k. 3BR is very thin"
16,Marina,46.3,46.4,50.0,66.7,22.2,3878,5373,Some,Few,29,3,7.6,,10.0,24000,SFUSD (district-wide; school-level variation not measured),"Open seats (~14,000 unfilled) but citywide choice lottery with attendance-area tiebreaker; TK expanding",apartments.com; hotpads.com; crimegrade.org,"Rent spread here is very wide and source-dependent -- Apartments.com 2BR ~$3,878 (used), Rentable ~$4,960 (Jul 2026), RentHop $6,098 (May 2026), Zumper $6,200 (May 2026), ApartmentList $6,805; RentCafe quoted a $3,099-$5,000 band (Feb 2026). I used the Apartme"
17,Presidio Heights,46.1,53.6,53.1,47.2,30.6,4616,,Some,-,21,6,7.3,,13.1,11000,SFUSD (district-wide; school-level variation not measured),"Open seats (~14,000 unfilled) but citywide choice lottery with attendance-area tiebreaker; TK expanding",rentable.co; trulia.com; apartments.com; crimegrade.org,"2BR rent $4,616 is from Rentable's May 2026 San Francisco Apartment Report and is phrased as 'near Presidio Heights' (radius-based), so treat as approximate. A separate all-bedroom neighborhood average of $2,816 (range $1,616-$3,578) also appeared but is impla"
18,Visitacion Valley,44.7,88.4,62.5,11.1,16.7,5051,3972,Few,Some,12,,4.9,17.8,19.9,19000,SFUSD (district-wide; school-level variation not measured),"Open seats (~14,000 unfilled) but citywide choice lottery with attendance-area tiebreaker; TK expanding",apartmenthomeliving.com; apartments.com; crimegrade.org,"TREAT BOTH RENT FIGURES WITH CAUTION - they are internally inconsistent and look radius-inflated. ApartmentHomeLiving gives 2BR $5,051 (range $3,593-$7,989) and 3BR $3,972 (range $1,692-$6,047), i.e. its 3BR average is BELOW its 2BR average, which cannot both "
19,Bayview Hunters Point,43.9,51.8,65.6,33.3,25.0,4398,,Some,-,,,8.3,31.6,16.3,37700,SFUSD (district-wide; school-level variation not measured),"Open seats (~14,000 unfilled) but citywide choice lottery with attendance-area tiebreaker; TK expanding",apartments.com; crimegrade.org,"2BR $4,398 is apartments.com for the Bayview neighborhood. The Hunters Point sub-area showed a separate apartments.com 2BR figure of ~$3,750, so the combined district likely sits between the two. 3BR rent left null: a '$2,335 for 3BR in Bayview' figure appeare"
20,Mission,43.9,14.3,3.1,58.3,100.0,4097,11672,Some,Almost none,,,12.4,,11.0,58800,SFUSD (district-wide; school-level variation not measured),"Open seats (~14,000 unfilled) but citywide choice lottery with attendance-area tiebreaker; TK expanding",apartments.com; crimegrade.org,"2BR: Apartments.com ~$4,097 (used for cross-row consistency); other sources ran much higher -- RentHop $5,617 (Jul 2026), ApartmentList $6,002 (Jun 2026), ApartmentHomeLiving $6,932 (Jun 2026), with a quoted 2BR range of $3,000-$17,290. WARNING on 3BR: the $11"
21,Pacific Heights,43.7,30.8,21.9,69.4,52.8,5282,8119,Few,Almost none,,15,8.1,59.1,9.9,24000,SFUSD (district-wide; school-level variation not measured),"Open seats (~14,000 unfilled) but citywide choice lottery with attendance-area tiebreaker; TK expanding",apartments.com; hotpads.com; crimegrade.org,"Consistent bedroom ladder from Apartments.com: studio ~$3,138, 1BR ~$3,693, 2BR ~$5,282, 3BR ~$8,119 - internally coherent, which is why these were used. Cross-checks: RentCafe gave a 2BR band of $3,500-$6,300 and an all-types average of $4,516; Zumper gave $5"
22,Financial District/South Beach,41.6,3.6,15.6,100.0,47.2,5797,8464,Very few,Almost none,5,5,26.9,,4.0,19000,SFUSD (district-wide; school-level variation not measured),"Open seats (~14,000 unfilled) but citywide choice lottery with attendance-area tiebreaker; TK expanding",apartments.com; zumper.com; crimegrade.org,"Recorded rents are apartments.com figures for South Beach, the residential bulk of this combined district. Financial District equivalents differ: 2BR ~$6,500 (zumper.com), 3BR ~$7,152 (apartments.com). South Beach 2BR estimates spread widely by publisher: $5,7"
23,Inner Sunset,41.3,57.6,45.3,29.2,33.3,4795,,Few,-,25,,6.6,37.6,17.0,22000,SFUSD (district-wide; school-level variation not measured),"Open seats (~14,000 unfilled) but citywide choice lottery with attendance-area tiebreaker; TK expanding",zumper.com; crimegrade.org,"2BR: Zumper $4,795 (dated June 2026) is the best-attributed figure; RentHop gave $3,995 (July 2026) and Apartments.com $2,553. The Apartments.com number is its 'usually priced around' stat and is implausibly low for this market. Listed 2BR asking prices in res"
24,Russian Hill,35.9,21.4,0.0,86.1,36.1,7495,11045,Almost none,Almost none,27,31,10.8,,7.3,18900,SFUSD (district-wide; school-level variation not measured),"Open seats (~14,000 unfilled) but citywide choice lottery with attendance-area tiebreaker; TK expanding",zumper.com; reconstructed from 2BR x 1.47 bedroom premium; trulia.com; crimegrade.org,"2BR rent: Zumper reports 2BR up $1,566 (26.41%) YoY from $5,929 to $7,495 as of March 2026. Sources disagree widely - apartmentfinder-type data gives an average of $7,345 (range $5,000-$7,550), while ApartmentList-type data gives ~$4,660 and one source says $4"
25,Sunset/Parkside,26.3,67.9,25.0,4.2,8.3,5248,7733,Few,Almost none,25,,6.1,,21.8,84600,SFUSD (district-wide; school-level variation not measured),"Open seats (~14,000 unfilled) but citywide choice lottery with attendance-area tiebreaker; TK expanding",renthop.com; reconstructed from 2BR x 1.47 bedroom premium; zumperrentals.com; crimegrade.org,"Confidence downgraded to partial because nearly every number available is scoped to the OUTER SUNSET sub-area, not the whole Sunset/Parkside district (pop ~84,600) - the district as a whole has no aggregated market page. 2BR $5,248 is RentHop for Outer Sunset "
,Tenderloin,,,100.0,88.9,83.3,2995,,Plenty,-,14,,37.0,,7.1,28000,SFUSD (district-wide; school-level variation not measured),"Open seats (~14,000 unfilled) but citywide choice lottery with attendance-area tiebreaker; TK expanding",zumper.com; trulia.com; yahoo.com (syndicated news analysis of 2025 SFPD neighborhood data); composition stats from niche.com / civichub.us,"2BR: Zumper reports a Tenderloin median 2BR of $2,995 (up 6.3%); RentHop separately reports $2,750 average, down 32% YoY. Zumper also lists 69 total apartment rentals in the neighborhood (all bedroom counts); Trulia's 2BR-filtered page showed 14. 3BR: NO relia"
,Japantown,,,,77.8,69.4,,,-,-,8,1,,,9.3,3900,SFUSD (district-wide; school-level variation not measured),"Open seats (~14,000 unfilled) but citywide choice lottery with attendance-area tiebreaker; TK expanding",trulia.com; apartments.com; doorprofit.com; safemap.io,"Small neighborhood (~3,900 people) with a very thin, volatile rental market - no reliable median for either bedroom count. 2BR: the only price signal was ApartmentGuide's '2-bedroom apartments listed starting at $3,940+', a floor not an average, so rent_2br_us"
,Lone Mountain/USF,,,90.6,50.0,58.3,2834,4303,Plenty,Some,29,,,,13.0,24000,SFUSD (district-wide; school-level variation not measured),"Open seats (~14,000 unfilled) but citywide choice lottery with attendance-area tiebreaker; TK expanding",apartments.com; trulia.com; niche.com,"Rent: Apartments.com 2BR ~$2,834 and 3BR ~$4,303 (its stated neighbourhood range is $1,326-$4,303). Apartments.com skews low vs city-wide feeds -- RentCafe puts SF-wide 2BR at $4,969 and Zumper at ~$5,250 (Jul 2026), so treat $2,834 as the advertised-listing f"
,Hayes Valley,,,9.4,75.0,94.4,5954,8774,Very few,Almost none,4,1,,,9.6,9500,SFUSD (district-wide; school-level variation not measured),"Open seats (~14,000 unfilled) but citywide choice lottery with attendance-area tiebreaker; TK expanding","rental aggregator result, exact publisher unresolved (rent.com / rentcafe.com results set); reconstructed from 2BR x 1.47 bedroom premium; rentcafe.com; apartments.com; safemap.io (with niche.com corroborating the 'higher than most' read)","2BR rent: the $5,954 figure was phrased as 'average rent for a two-bedroom near Hayes Valley' in the aggregated result, and I could not pin it to a single publisher domain - treat as indicative, not authoritative. Better-attributed anchors: RentCafe puts the H"
,Mission Bay,,,18.8,80.6,66.7,6644,7032,Very few,Very few,162,18,,,8.3,17000,SFUSD (district-wide; school-level variation not measured),"Open seats (~14,000 unfilled) but citywide choice lottery with attendance-area tiebreaker; TK expanding",apartments.com; hotpads.com; safemap.io,"The most expensive row in this batch and the most internally consistent: Apartments.com 2BR ~$6,644 and 3BR ~$7,032; RentCafe/ApartmentAdvisor put the 2BR average at $6,169 (range $6,074-$6,783), and a separate quoted 2BR band was $7,107-$13,070. Unlike the ot"
,Portola,,,84.4,25.0,41.7,3975,,Some,-,,,,,17.4,17000,SFUSD (district-wide; school-level variation not measured),"Open seats (~14,000 unfilled) but citywide choice lottery with attendance-area tiebreaker; TK expanding",rentable.co; niche.com; doorprofit.com,"CRIME DATA WARNING: CrimeGrade's 'Portola, CA' pages (violent 6.253 per 1,000, overall 34.83 per 1,000, D-/D+ grades) describe the CITY of Portola in Plumas County, ~200 miles away - NOT this San Francisco district. Those numbers were deliberately excluded; do"
,Excelsior,,78.6,,22.2,50.0,,,-,-,,,5.2,,18.4,40300,SFUSD (district-wide; school-level variation not measured),"Open seats (~14,000 unfilled) but citywide choice lottery with attendance-area tiebreaker; TK expanding",crimegrade.org,"BEDROOM-SPECIFIC RENT DELIBERATELY LEFT NULL. The only 2BR-labelled figures returned were apartments.com's $1,143 (Dec 2024) and $1,157, which are implausible for any San Francisco neighborhood and are contradicted by Excelsior's own all-bedroom medians: rentc"
,Treasure Island,,,34.4,72.2,5.6,5579,,Few,-,,1,,,9.8,2500,SFUSD (district-wide; school-level variation not measured),"Open seats (~14,000 unfilled) but citywide choice lottery with attendance-area tiebreaker; TK expanding",apartments.com; rentcafe.com; safemap.io,"Tiny neighborhood (~2,400-2,500 residents, ZIP 94130) currently mid-redevelopment, so the rental stock is a handful of new buildings (Hawkins, Isle House, 490 Avenue of the Palms) rather than a real open market. 2BR: $5,579 average was stated as 'today's avera"
,Lakeshore,,,96.9,0.0,11.1,3251,,Plenty,-,25,61,,,23.4,14000,SFUSD (district-wide; school-level variation not measured),"Open seats (~14,000 unfilled) but citywide choice lottery with attendance-area tiebreaker; TK expanding",apartmenthomeliving.com; zumperrentals.com; rent.com (count not from a neighborhood-scoped page title - see notes),"Cheapest 2BR of this batch by a clear margin: 2BR range $2,886-$4,378, average $3,251 (site uses the spelling 'Lake Shore'); most of that range sits under $4,000, but no explicitly sub-$4,000 filtered page was found so listings_2br_under4k stays null. Zumper's"
,Oceanview/Merced/Ingleside,,,87.5,4.2,13.9,3710,,Plenty,-,,,,,21.8,28800,SFUSD (district-wide; school-level variation not measured),"Open seats (~14,000 unfilled) but citywide choice lottery with attendance-area tiebreaker; TK expanding",rentable.co; crimegrade.org; goodmigrations.com,"2BR rent $3,710 average from Rentable.co (Oceanview), with a stated range of $2,950-$6,751; a second figure of ~$3,300 was given for 'near Oceanview' and was not used. No neighborhood-specific 2BR or 3BR live listing count surfaced - rental sites index this ar"
,Outer Richmond,,71.4,,13.9,2.8,,,-,-,,,6.1,,19.3,45000,SFUSD (district-wide; school-level variation not measured),"Open seats (~14,000 unfilled) but citywide choice lottery with attendance-area tiebreaker; TK expanding",crimegrade.org,"No publisher stated a 2BR or 3BR median/average for Outer Richmond in three searches, so both rent fields are null rather than guessed. What was actually published: Rent.com said 2BR apartments 'start at $3,900' (a floor, not a median), with individual comps a"
,Seacliff,,60.7,,19.4,0.0,,,-,-,1,,6.5,,18.5,2500,SFUSD (district-wide; school-level variation not measured),"Open seats (~14,000 unfilled) but citywide choice lottery with attendance-area tiebreaker; TK expanding",apartments.com; crimegrade.org,"Tiny, almost entirely owner-occupied single-family luxury enclave - effectively no rental market of its own. Apartments.com's 2BR page title shows just 1 rental; one source says Seacliff averages about 3 rentals available per month across all sizes. Rent field"
