Rank,Place,County,Type,TOTAL SCORE,Crime & safety,Schools,Rent cost,Close to SF,School/TK place,Urban density,2BR median rent $,3BR median rent $,2BR under $4k (est. listings),2BR under $4k supply,3BR under $4k (est. listings),3BR under $4k supply,Violent crime /1k,Property crime /1k,Elementary district,Elementary CAASPP % met,Elementary rating /10,Middle/high district,Middle/high CAASPP % met,Middle/high rating /10,"Drive to Ferry Bldg (min, off-peak)",Miles to SF (straight line),Urbanicity index,Population,District enrolment change 2023-25 %,School assignment system,TK capacity,Rank status,Sources,Notes
11,Sunnyvale,Santa Clara,City,64.3,88.1,94.6,38.9,32.6,54.5,77.2,4290,4950,40% of 2BR stock,Some,22% of 3BR stock,Few,2.5,12.4,Cupertino Union,81.2,10,Fremont Union High,76.5,10,47.0,35.4,492306,155805,-1.9,address-based attendance area,"Constrained. The 2026-27 Open Enrollment page lists ""Transitional Kindergarten (TK): No sites available"" among attendance-area schools, and states Open Enrollment ""is not a backup plan for students who are overflowed to another attendance area school because their home attendance area school is too full"" — schools do fill and overflow students. Only the alternative school McAuliffe (TK-8) took TK through that pathway.",Ranked,crimegrade.org; CAASPP 2025 (CDE); cusdk8.org,"enrolment -1.9% 2023-25 (flat); address-based assignment; TK constrained; Complete row. RENT: 2BR $4,290 and 3BR $4,950 from the SAME Zumper page (1BR $3,192) — same-publisher rule satisfied. CRIME: violent 2.495, property 12.43 (crimegrade.org/property-crime-sunnyvale-ca/). DISTRICT: the city is served by TWO K-8 elementary districts — Sunnyvale School District (5,764 students, 10 schools) and Cupertino Union School District (13,533 students, 23 schools) — so the elementary field names the same-named district first and records the second, since which one applies depends on the address. "
12,Corte Madera,Marin,Town,64.1,42.5,92.5,44.9,71.6,92.6,40.5,3800,4850,57% of 2BR stock,Some,25% of 3BR stock,Few,4.4,25.6,Larkspur-Corte Madera,78.8,10,Larkspur-Corte Madera,75.9,10,24.2,11.6,241439,10222,-10.9,"address-based attendance area with a lottery overflow — students inside a school's neighborhood attendance parameters (The Cove or Neil Cummins) get priority placement; ""All others will be placed in the lottery,"" and parents may only state a preference","Constrained in the extreme — no TK at all: ""The Larkspur-Corte Madera School District is not offering Transitional Kindergarten (TK) during the 2025-2026 or 2026-2027 school years.""",Ranked,crimegrade.org; CAASPP 2025 (CDE); lcmschools.org,"enrolment -10.9% 2023-25 (seats opening); address-based assignment; TK constrained; Standard Zumper city slug worked; 2BR and 3BR from the same page. Crime from the two matching CrimeGrade pages. GreatSchools listed only Larkspur-Corte Madera School District (TK-8) and named no high school district, so high_school_district is null — not inferred."
13,Saranap,Contra Costa,Unincorporated community,63.5,95.1,81.5,57.5,54.9,40.5,51.6,2900,4500,87% of 2BR stock,Plenty,34% of 3BR stock,Some,1.6,6.8,Walnut Creek Elementary,70.2,10,Acalanes Union High,73.2,10,33.3,18.5,309486,5652,2.0,,not established,Ranked,areavibes.com (modelled from demographics; place not in FBI UCR reporting); CAASPP 2025 (CDE),"enrolment trend only; assignment system and TK position not established; enrolment +2.0% 2023-25 (flat); CRIME RESOLVED via alternate. crimegrade.org/violent-crime-saranap-ca/ 404s. areavibes.com/saranap-ca/crime/ carries both figures on ONE page (same publisher, same page): violent 158 per 100,000 and property 676 per 100,000. I CONVERTED both to per-1,000 by dividing by 100: 158/100,000 -> 1.58 per 1,000; 676/100,000 -> 6.76 per 1,000. Page confirms Contra Costa County. CAVEAT the page states about itself: 'Saranap crime rates are not available from the FBI crime report' - these are areavibes estimates modeled from "
14,San Bruno,San Mateo,City,63.5,36.9,68.5,35.3,84.7,84.8,70.7,4045,5386,48% of 2BR stock,Some,14% of 3BR stock,Few,4.7,26.5,San Bruno Park Elementary,50.8,8,San Mateo Union High,62.0,9,17.5,11.4,417898,43908,-3.3,address-based attendance area,"Not TK-specific, but the district twice states enrollment is space-gated: ""All students in the District are assigned to a school based on their address of residence, however, actual enrollment is based on space availability at the school site,"" and the locator gives only ""a preliminary school assignment."" No TK waitlist, TK lottery, or TK seat cap is stated, so TK capacity itself is not established.",Ranked,crimegrade.org; CAASPP 2025 (CDE); sbpsd.org,"enrolment -3.3% 2023-25 (seats opening); address-based assignment; Zumper primary pattern worked; 2BR and 3BR both off that one page (1BR was $3,253), so same-publisher rule satisfied. Property crime 26.50 from the parallel https://crimegrade.org/property-crime-san-bruno-ca/ - same publisher as violent. COLLISION NOTE: San Mateo COUNTY vs San Mateo CITY - the high school district is genuinely named 'San Mateo Union High School District' and is the countywide-area union HS district serving San Bruno; that is what the page says, not a mis-hit on the city of San Mateo. GreatSchools l"
15,Dublin,Alameda,City,62.8,85.7,87.8,64.1,40.5,53.3,45.6,3110,3732,82% of 2BR stock,Plenty,60% of 3BR stock,Some,2.5,13.7,Dublin Unified,78.5,10,Dublin Unified,75.3,10,40.9,25.8,281218,72589,2.2,address-based attendance area,not established,Ranked,crimegrade.org; CAASPP 2025 (CDE); dublinusd.org,"enrolment +2.2% 2023-25 (flat); address-based assignment; 2BR $3,110 from apartments.com; results also showed $4,172 (rent.com), $3,427+ (apartmentlist.com, July 2026), $3,221 (rentcafe.com, June 2026). 3BR $3,732 from rentcafe.com (1,271 sq ft); zillow.com listings seen ranged $3,950-$4,800/mo and zillow gave a $4,000 median across all house sizes, so $3,732 may sit low for single-family 3BR. No bedroom-specific in-city listing counts appeared in result titles (Zillow showed 33 houses / 373 rentals across all bedroom counts; point2homes cited 3,473 total Dublin rentals w"
16,Lafayette,Contra Costa,City,62.5,57.2,93.9,71.0,59.3,38.1,55.8,3147,3250,80% of 2BR stock,Plenty,77% of 3BR stock,Plenty,3.5,23.0,Lafayette Elementary,84.0,10,Acalanes Union High,73.2,10,30.1,16.3,333110,25391,2.4,,not established,Ranked,crimegrade.org; CAASPP 2025 (CDE),"enrolment trend only; assignment system and TK position not established; enrolment +2.4% 2023-25 (flat); Complete — all three URL patterns worked first try, no collisions to resolve. Zumper: 1BR $2,033, 2BR $3,147, 3BR $3,250, with 2BR and 3BR from the SAME page (the narrow $103 2BR→3BR gap is what the page actually shows; not adjusted). CrimeGrade pair both self-identified as Lafayette, CA: violent 3.506, property 22.99. GreatSchools shows the classic California split-district arrangement — Lafayette Elementary School District (K-8, 3,235 students, 5 schools) for elementary and Acalanes Union High School District (9-"
17,Loyola,Santa Clara,Unincorporated community,62.5,98.0,93.2,24.0,33.0,63.3,63.3,4915,6000,23% of 2BR stock,Few,7% of 3BR stock,Very few,0.9,4.0,Los Altos Elementary,83.4,10,Mountain View-Los Altos Union High,73.0,10,46.8,34.6,371714,3477,-2.7,address-based attendance area,"Constrained — but stated district-wide across grades, not TK-specifically",Ranked,"areavibes.com (modeled estimate, NOT FBI-reported) (modelled from demographics; place not in FBI UCR reporting); CAASPP 2025 (CDE); lasdschools.org","enrolment -2.7% 2023-25 (flat); address-based assignment; TK constrained; IN SCOPE THIS PASS: crime + district. IDENTITY CHECK PASSED: the AreaVibes livability page gives population 3,526 (brief says ~3,477) and names Los Altos as the adjacent city, confirming this is the Santa Clara County Loyola CDP and not a namesake. CRIME: converted from AreaVibes per-100,000 by dividing by 100 — violent 93/100k = 0.93 per 1k, property 396/100k = 3.96 per 1k. IMPORTANT CAVEAT: page states 'Loyola crime rates are not available from the FBI crime report'; figures are demographic estimates, not observe"
18,Fremont,Alameda,City,62.4,77.2,80.3,63.5,37.2,49.0,67.0,3265,3659,77% of 2BR stock,Plenty,62% of 3BR stock,Plenty,3.1,15.8,Fremont Unified,69.7,10,Fremont Unified,72.0,10,43.6,28.0,387912,230504,-0.4,address-based attendance area,"Widely available by site, constrained by placement. TK page states: ""All Elementary within Fremont Unified School District have at least one TK class at each school with the exception of Warm Springs Elementary with Grade 3-5."" However the enrollment page warns ""Students may be placed outside their home school based on availability,"" and ""Elementary schools participate in a kindergarten lottery/wait lists when more kindergarten students are enrolled than available space"" (that lottery/waitlist sentence is written about kindergarten, not TK specifically).",Ranked,crimegrade.org; CAASPP 2025 (CDE); fremontunified.org,"enrolment -0.4% 2023-25 (flat); address-based assignment; TK constrained; CAVEAT ON listings_2br_under4k=37: this is apartments.com's 'Cheap 2 Bedroom Apartments for Rent in Fremont CA - 37 Rentals' page title. Apartments.com's 'cheap' filter is a market-relative threshold, NOT an explicit under-$4,000 filter, so 37 is a lower bound on sub-$4k supply and almost certainly understates it (median 2BR is $3,265, so most 2BR stock is under $4k). Treat as directional only. 2BR $3,265 from apartments.com; results also showed $3,535, $3,626+ (apartmentlist.com) and a $1,343-$7,301 range across 1"
19,Alameda,Alameda,City,62.3,53.2,72.3,65.3,73.3,29.5,80.5,2980,3760,85% of 2BR stock,Plenty,59% of 3BR stock,Some,3.2,49.1,Alameda Unified,67.2,9,Alameda Unified,61.7,9,23.7,8.6,536672,78280,3.3,address-based attendance area,"CONSTRAINED — TK offered at only 5 elementary sites for 2026-27 (Bay Farm, Earhart, Love, Paden, Ruby Bridges); ""Since TK is not offered at every school site, these programs are not zoned"" and ""we cannot guarantee that your child's TK year will be in their home school""; placement is ""given space availability""",Ranked,"homesnacks.com (violent rate, 2025 report); areavibes.com (property rate); crimegrade.org (geographic variation, MV theft) (modelled from demographics; place not in FBI UCR reporting); CAASPP 2025 (CDE); alamedaunified.org","enrolment +3.3% 2023-25 (filling); address-based assignment; TK constrained; Only non-SF place in this batch and the best-documented row. School district: Alameda Unified (AUSD) is a UNIFIED K-12 district covering the whole city - ~9,300 students, 10 elementary, 2 middle, 4 high schools - so there is no separate union high school district (en.wikipedia.org, alamedaunified.org, cde.ca.gov CDS 01611190000000). BOTH crime figures are CONVERTED from per-100,000: violent 317.0/100k = 3.17 per 1,000; property 4,914/100k = 49.1 per 1,000. Property crime is contested across sources: AreaVibes 49.1 "
20,Castro Valley,Alameda,Unincorporated community,62.2,59.5,71.8,80.2,57.7,30.5,73.5,2513,3500,95% of 2BR stock,Plenty,68% of 3BR stock,Plenty,4.0,18.2,Castro Valley Unified,67.5,9,Castro Valley Unified,59.7,9,31.4,18.2,438425,66441,4.0,,not established,Ranked,crimegrade.org; CAASPP 2025 (CDE),"enrolment trend only; assignment system and TK position not established; enrolment +4.0% 2023-25 (filling); Cleanest place in the batch - all four lookups hit on the documented patterns first try. Zumper 2BR and 3BR from one page (1BR $2,095), same-publisher rule satisfied. Property crime 18.17 from https://crimegrade.org/property-crime-castro-valley-ca/, same publisher. Castro Valley is an unincorporated CDP but GreatSchools describes it as 'a city in Alameda county' and lists a single K-12 unified district (Castro Valley Unified, 17 schools, 9,570 students), so the same name goes in both elementary and high school fiel"
21,Daly City,San Mateo,City,62.1,60.1,35.9,41.9,88.4,67.4,79.1,3750,5300,59% of 2BR stock,Some,16% of 3BR stock,Few,3.9,18.6,Jefferson Elementary,47.1,7,Jefferson Union High,45.1,7,15.5,8.5,527091,104901,-1.6,,not established,Ranked,crimegrade.org; CAASPP 2025 (CDE),"enrolment trend only; assignment system and TK position not established; enrolment -1.6% 2023-25 (flat); Rent: standard Zumper city pattern; 2BR and 3BR from the same page. Note the page also cites a $2,350 citywide median across all unit types - I used the bedroom-specific table, not that blended figure. Crime: both CrimeGrade pages resolved and named Daly City. District: NAME-COLLISION RESOLVED - California has multiple 'Jefferson' districts; the ones returned here are the San Mateo County Jefferson Elementary (6,088 students) and Jefferson Union High (4,173 students) that serve Daly City, per the Daly City GreatSch"
22,Pleasanton,Alameda,City,62.0,73.9,87.3,56.9,34.2,80.0,40.0,3291,4198,76% of 2BR stock,Plenty,43% of 3BR stock,Some,2.7,18.8,Pleasanton Unified,75.1,10,Pleasanton Unified,76.7,10,45.9,29.8,239923,79871,-5.3,address-based attendance area,CONSTRAINED — site-level TK/K lotteries are held when enrollment exceeds available space; overflowed students are placed at another PUSD school and kept on a waitlist,Ranked,crimegrade.org; CAASPP 2025 (CDE); pleasantonusd.net,"enrolment -5.3% 2023-25 (seats opening); address-based assignment; TK constrained; All three standard patterns worked first try. Rent: 2BR and 3BR from the same Zumper page (1BR $2,630 also shown). Crime: both crimegrade pages self-identified as Pleasanton, CA; violent rate printed as 2.730 and property as 18.80. District: GreatSchools named a single district, Pleasanton Unified School District, 'Grades K-12 & Ungraded', 18 schools, 13,338 students — unified K-12, so the same name is entered in both fields per instructions."
23,Ross,Marin,Town,61.8,30.4,100.0,45.5,66.0,95.7,33.0,3200,5445,79% of 2BR stock,Plenty,14% of 3BR stock,Few,5.6,22.2,Ross Elementary,90.7,10,Ross Elementary,88.3,10,27.0,14.5,197162,2338,-5.4,"address-based attendance area — single-school district, so residence inside district boundaries is the whole test",not established,Ranked,crimegrade.org; CAASPP 2025 (CDE); rossbears.org,"enrolment -5.4% 2023-25 (seats opening); address-based assignment; Zumper page explicitly confirmed 'Ross, California (Marin County)' - collision check passed. 2BR and 3BR both from that one page (1BR $2,495), same-publisher rule satisfied. Property crime 22.25 from https://crimegrade.org/property-crime-ross-ca/, same publisher as violent. HIGH SCHOOL DISTRICT NULL and this is a real gap, not an oversight: the GreatSchools Ross page names only Ross Elementary School District (K-8, 1 school, 340 students) and never identifies a high school district. The only high school it shows in"
24,San Anselmo,Marin,Town,61.5,47.5,77.7,58.7,64.7,89.3,31.2,3595,3595,65% of 2BR stock,Plenty,65% of 3BR stock,Plenty,4.6,19.7,Ross Valley Elementary,77.9,10,Tamalpais Union High,61.5,9,27.8,15.4,183176,12830,-4.1,address-based attendance area,not established,Ranked,crimegrade.org; CAASPP 2025 (CDE); rossvalleyschools.org,"enrolment -4.1% 2023-25 (seats opening); address-based assignment; Rent: standard Zumper city pattern. 2BR and 3BR from the same page and same table. FLAG: 3BR equals 2BR exactly ($3,595 both). I suspected an extraction artifact and re-fetched with a prompt specifically asking whether the 3BR row was blank or duplicated — it is a distinct published row with its own trend data (up 77% in 30 days, down 51% YoY), so the identical value is what Zumper actually publishes, likely a thin-sample coincidence. Reported as seen; do not read the flat 2BR-to-3BR step as a real bedroom premium."
25,Brisbane,San Mateo,City,61.3,23.5,70.9,41.3,90.7,61.4,80.0,4113,4990,46% of 2BR stock,Some,21% of 3BR stock,Few,5.6,29.4,Brisbane Elementary,62.7,9,Brisbane Elementary,60.6,9,13.2,7.9,536262,4851,-1.0,,not established,Ranked,crimegrade.org; CAASPP 2025 (CDE),"enrolment trend only; assignment system and TK position not established; enrolment -1.0% 2023-25 (flat); Zumper slug pattern worked (brisbane-ca); 2BR and 3BR both from that one page, same publisher. Page confirmed Brisbane, California. CrimeGrade violent + property pages both resolved to Brisbane, CA. GreatSchools /california/brisbane/ listed ONLY Brisbane Elementary School District (K-8, 484 students, 3 schools) and named no high school district; a follow-up fetch of the filtered high-school listing returned no school or district names, so high_school_district is left null rather than guessed. Did not substitute any"
26,Kensington,Contra Costa,Unincorporated community,61.3,94.4,10.8,62.9,68.4,59.0,72.1,2795,4159,90% of 2BR stock,Plenty,44% of 3BR stock,Some,1.1,12.4,West Contra Costa Unified,29.8,3,West Contra Costa Unified,29.5,3,25.8,9.9,436673,5077,-2.2,address-based attendance area,"Constrained — a TK seat somewhere is guaranteed, but not at the resident school",Ranked,areavibes.com (modelled from demographics; place not in FBI UCR reporting); CAASPP 2025 (CDE); wccusd.net,"enrolment -2.2% 2023-25 (flat); address-based assignment; TK constrained; PASS-2 TARGET WAS CRIME ONLY; resolved. CRIME CONVERTED: areavibes reports 2024 figures per 100,000 — violent 111/100k and property 1,241/100k — divided by 100 to give 1.11 and 12.41 per 1,000. Both off the same page, same publisher. NAMESAKE CHECK PASSED: the page header confirms Kensington, Contra Costa County, California — this is the Contra Costa CDP, not an out-of-state Kensington. Corroborating detail on the same page: '1 in 900 chance of violent crime; 1 in 81 chance of property crime', consistent with the p"
27,Contra Costa Centre,Contra Costa,Unincorporated community,61.1,95.1,81.5,52.1,47.4,40.5,50.2,3580,4274,65% of 2BR stock,Plenty,41% of 3BR stock,Some,1.6,6.8,Walnut Creek Elementary,70.2,10,Acalanes Union High,73.2,10,36.4,20.6,302482,6097,2.0,,not established,Ranked,areavibes.com (modelled from demographics; place not in FBI UCR reporting); CAASPP 2025 (CDE),"enrolment trend only; assignment system and TK position not established; enrolment +2.0% 2023-25 (flat); CRIME — READ THIS BEFORE USING THE NUMBERS. crimegrade.org/violent-crime-contra-costa-centre-ca/ returned HTTP 404. areavibes.com/contra+costa+centre-ca/crime/ resolved and is confirmed to be Contra Costa Centre, Contra Costa County, CA. It reported violent crime 158 per 100,000 and property crime 676 per 100,000 (2024). I CONVERTED both to per 1,000 by dividing by 100: 158/100,000 -> 1.58 per 1,000; 676/100,000 -> 6.76 per 1,000. Both figures come from the same publisher and the same page. IMPORTANT CAVEAT: that s"
28,San Mateo,San Mateo,City,61.0,60.3,66.9,36.5,73.3,70.0,59.1,3854,5500,55% of 2BR stock,Some,13% of 3BR stock,Few,4.0,18.2,San Mateo-Foster City,49.9,7,San Mateo Union High,62.0,9,23.7,16.5,350380,105661,-3.2,address-based attendance area,Constrained — TK at only 15 named schools (3 of them transfer-only); overflow placement to another school when the TK class is full,Ranked,crimegrade.org; CAASPP 2025 (CDE); smfcsd.net,"enrolment -3.2% 2023-25 (seats opening); address-based assignment; TK constrained; COLLISION RESOLVED — city vs county. San Mateo is both a city and a county, so I explicitly verified scope on every page. Zumper page confirmed as the CITY. Both CrimeGrade pages state 'The grade covers only San Mateo's official city boundaries', confirming city not county. GreatSchools page confirmed as the city in San Mateo County. Rent 2BR and 3BR both from the same Zumper page. Crime from the matched CrimeGrade violent+property pair (property URL: https://crimegrade.org/property-crime-san-mateo-ca/). Districts "
