name,type,group,wave,angle,tier,channel,feed,auto,last,flag
Riviera Partners,company,main,core,Exec job search & leadership hiring,A,Blog / Insights,https://www.rivierapartners.com/feed/,rss,2026-06-09,VP-Product/CPO comp benchmarks
Heidrick & Struggles,company,main,core,Exec job search & leadership hiring,A,Leadership Agenda / podcast,https://feeds.acast.com/public/shows/heidrick,rss,2026-06-18,email newsletter too
Andrew Seaman (Get Hired),newsletter,main,core,Exec job search & leadership hiring,A,LinkedIn newsletter (email),email: LinkedIn Get Hired,email,-,broad labor-market signal
Dharmesh Shah,exec (HubSpot co-founder/CTO),linkedin-exec,linkedin-exec,Agentic AI / SaaS,S,Newsletter 'Connecting Dots' (email) / LinkedIn,email: connectingdots.com,email,live,LinkedIn primary; OnStartups RSS flaky
April Dunford,advisor (positioning),linkedin-exec,linkedin-exec,SaaS GTM,S,Substack,https://aprildunford.substack.com/feed,rss,2026-06-11,LinkedIn primary; Substack automatable
Des Traynor,exec (Intercom co-founder),linkedin-exec,linkedin-exec,Agentic AI / SaaS,S,Intercom blog,https://www.intercom.com/blog/feed/,rss,2026-06-15,multi-author org feed
Pascal Bornet,author/advisor (agentic AI),linkedin-exec,linkedin-exec,Agentic AI,A,Substack (mirror of LI newsletter),https://intelligencenewsletter.substack.com/feed,rss,2026-06-05,
Armand Ruiz,"exec (Meta AI Platform PM, ex-IBM)",linkedin-exec,linkedin-exec,Agentic AI,S,"'AI with Armand' (Beehiiv, email)",email: armand.so,email,live,LinkedIn primary
Allie K. Miller,advisor (ex-AWS ML/Startups head),linkedin-exec,linkedin-exec,AI industry,A,"'AI with ALLIE' (Beehiiv, email)",email: aiwithallie.beehiiv.com,email,live,LinkedIn primary
Conor Grennan,"exec (CEO AI Mindset, NYU Stern)",linkedin-exec,linkedin-exec,Agentic AI adoption,A,AI Mindset newsletter (email),email: ai-mindset.ai,email,live,LinkedIn primary
Yamini Rangan,"exec (CEO, HubSpot)",linkedin-exec,linkedin-exec,SaaS GTM,S,LinkedIn only,LinkedIn: /in/yaminirangan,linkedin,live,no feed; bridge or manual
Jeetu Patel,"exec (President & CPO, Cisco)",linkedin-exec,linkedin-exec,Agentic AI / enterprise,S,LinkedIn + Cisco blog,LinkedIn: /in/jeetupatel,linkedin,live,Cisco blog ~monthly
Cem Kansu,"exec (CPO, Duolingo)",linkedin-exec,linkedin-exec,Product / monetization,S,LinkedIn only,LinkedIn: /in/cemkansu,linkedin,live,no feed; bridge or manual
Karandeep Anand,"exec (CEO Character.AI, ex-CPO Brex)",linkedin-exec,linkedin-exec,AI industry / product,S,LinkedIn only,LinkedIn: /in/karandeep,linkedin,live,no feed; bridge or manual
Hubert Palan,"exec (Founder/CEO, Productboard)",linkedin-exec,linkedin-exec,Agentic AI / product,S,LinkedIn (+ Pulse),LinkedIn: /in/hubertpalan,linkedin,live,no clean feed
May Habib,"exec (Co-founder/CEO, Writer)",linkedin-exec,linkedin-exec,Agentic AI,S,LinkedIn only,LinkedIn: /in/may-habib,linkedin,live,no feed; bridge or manual
Godard Abel,"exec (Co-founder/CEO, G2)",linkedin-exec,linkedin-exec,SaaS GTM,A,LinkedIn only,LinkedIn: /in/godardabel,linkedin,live,no feed; bridge or manual
Pawel Huryn (Product Compass),creator,main,crossverified,Product leadership & PM craft,A,Substack,https://www.productcompass.pm/feed,rss,2026-06-11,AI-for-PM craft; #1 PM on Favikon
Peter Yang (Behind the Craft),creator,main,crossverified,Product leadership & PM craft,A,Substack,https://creatoreconomy.so/feed,rss,2026-06-17,AI-for-PM operator playbooks
Rich Mironov,practitioner,main,crossverified,Product leadership & PM craft,A,Blog (Product Bytes),https://www.mironov.com/rss,rss,2026-06-07,B2B/interim-CPO economics; 'Money Stories'
Roman Pichler,practitioner,main,crossverified,Product leadership & PM craft,A,Blog,https://www.romanpichler.com/feed/,rss,2026-06-08,strategy/vision/roadmap frameworks
Itamar Gilad,practitioner,main,crossverified,Product leadership & PM craft,A,Blog (High Impact PM),https://itamargilad.com/feed/,rss,2026-06-03,evidence-based prioritization (GIST)
Petra Wille,practitioner,main,crossverified,Product leadership & PM craft,A,Blog,https://www.petra-wille.com/blog?format=rss,rss,2026-06-17,product-leadership coaching; people side of CPO
Bruce McCarthy (ONE THING),practitioner,main,crossverified,Product leadership & PM craft,A,Newsletter,https://www.productculture.org/archive?format=rss,rss,2026-06-11,roadmapping/prioritization/alignment; weekly
Ami Vora,practitioner,main,crossverified,Product leadership & PM craft,A,Substack (Hard Parts of Growth),https://amivora.substack.com/feed,rss,2025-10-08,FLAG: infrequent; now CPO @ Anthropic; LinkedIn more active
Leah Tharin (ProducTea),creator,main,crossverified,"B2B SaaS GTM, growth, pricing & scaling",A,Substack,https://www.leahtharin.com/feed,rss,2026-05-23,PLG + product-led-sales; product->revenue
Andrew Chen,vc,main,crossverified,"B2B SaaS GTM, growth, pricing & scaling",A,Substack,https://andrewchen.substack.com/feed,rss,2025-11-05,FLAG: irregular; network effects/consumer-growth (a16z GP)
Peep Laja,exec (Wynter founder),main,crossverified,"B2B SaaS GTM, growth, pricing & scaling",A,LinkedIn,https://www.linkedin.com/in/peeplaja,linkedin,live,B2B positioning/message-market-fit; LinkedIn-primary (hard)
Sebastian Raschka (Ahead of AI),practitioner,main,crossverified,Agentic AI & AI engineering,S,Substack,https://magazine.sebastianraschka.com/feed,rss,2026-06-06,LLM architecture/training internals; deep technical
Jesus Rodriguez (TheSequence),creator,main,crossverified,Agentic AI & AI engineering,A,Substack,https://thesequence.substack.com/feed,rss,2026-06-17,ML systems / LLM system design; ~4x/week
Cameron R. Wolfe (Deep Learning Focus),research-lab,main,crossverified,Agentic AI & AI engineering,A,Substack,https://cameronrwolfe.substack.com/feed,rss,2026-05-18,first-principles agent/RAG/eval deep dives; ~monthly
Chip Huyen,practitioner,main,crossverified,Agentic AI & AI engineering,A,Blog,https://huyenchip.com/feed.xml,rss,2025-01-16,FLAG: owned blog ~1/yr; reference (AI Engineering author); active via talks/X
Lilian Weng (Lil'Log),research-lab,main,crossverified,Agentic AI & AI engineering,A,Blog,https://lilianweng.github.io/index.xml,rss,2025-05-01,FLAG: ~1 deep survey/yr; canonical agent/reasoning surveys
Ksenia Se (Turing Post),newsletter,main,crossverified,AI industry strategy & frontier,S,Substack,https://turingpost.substack.com/feed,rss,2026-06-16,'why it matters' AI research/agent synthesis for leaders
Packy McCormick (Not Boring),creator,main,crossverified,AI industry strategy & frontier,A,Substack,https://www.notboring.co/feed,rss,2026-06-12,tech/business-model strategy narratives
Melanie Mitchell,research-lab,main,crossverified,AI industry strategy & frontier,A,Substack,https://aiguide.substack.com/feed,rss,2026-06-09,AI capabilities realism; anti-hype reasoning check
Cassie Kozyrkov,practitioner,main,crossverified,AI industry strategy & frontier,A,Substack (Decision Intelligence),https://decision.substack.com/feed,rss,2026-06-17,enterprise AI decision-making; rigor over hype
